"fantasyPointsRank","playerName","teamName","position","byeWeek","games","fantasyPoints","passComp","passAtt","passYds","passTd","passInt","passSacked","rushAtt","rushYds","rushTd","recvTargets","recvReceptions","recvYds","recvTd","fumbles","fumblesLost","twoPt","returnYds","returnTd","fgMade019","fgAtt019","fgMade2029","fgAtt2029","fgMade3039","fgAtt3039","fgMade4049","fgAtt4049","fgMade50plus","fgAtt50plus","patMade","patAtt","dstSacks","dstSafeties","dstInt","dstFumblesForced","dstFumblesRecovered","dstTd","dstReturnYds","dstReturnTd","dstPts0","dstPts16","dstPts713","dstPts1420","dstPts2127","dstPts2834","dstPts35plus","idpTacklesSolo","idpTacklesAssist","idpSacks","idpTacklesForLoss","idpPassDefended","idpInt","idpFumblesForced","idpFumblesRecovered","idpSafeties","idpTd"
"1","Isaac Guerendo","SF","rb","9","LA","19.6","0","0","0","0","0","0","15.8023","70.5436","0.6255","5.3795","4.3582","34.3302","0.1748","0.2607","0.1199","0.0382","41.6721","0.0106","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2","Alvin Kamara","NO","rb","12","WAS","19.3","0","0","0","0","0","0","15.0898","69.2895","0.5037","6.5666","5.1743","35.3937","0.1165","0.2599","0.1206","0.0322","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"3","Chuba Hubbard","CAR","rb","11","DAL","18.7","0","0","0","0","0","0","18.2902","83.8414","0.7325","4.1761","3.43","20.4501","0.0804","0.2843","0.1292","0.0299","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"4","Saquon Barkley","PHI","rb","5","PIT","18.6","0","0","0","0","0","0","18.4124","84.3328","0.7674","3.5978","2.9016","20.2278","0.1121","0.2803","0.1268","0.0362","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"5","Derrick Henry","BLT","rb","14","@NYG","18.4","0","0","0","0","0","0","20.1568","116.5456","0.8442","1.1013","0.9321","6.464","0.0351","0.2827","0.1255","0.0273","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"6","De'Von Achane","MIA","rb","6","@HST","18.4","0","0","0","0","0","0","11.8361","52.3691","0.4102","6.2635","5.2875","36.7032","0.294","0.2171","0.1019","0.032","37.2795","0.0095","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"7","Bijan Robinson","ATL","rb","12","@LV","18.1","0","0","0","0","0","0","16.3897","73.0796","0.5461","4.6586","3.944","27.6538","0.1461","0.2642","0.121","0.0324","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"8","Kyren Williams","LA","rb","6","@SF","17.6","0","0","0","0","0","0","17.7195","77.4906","0.817","3.0925","2.5437","17.5698","0.1171","0.2671","0.1206","0.0344","17.3044","0.0149","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"9","Josh Jacobs","GB","rb","10","@SEA","17.3","0","0","0","0","0","0","17.184","79.1791","0.7044","3.4365","2.7923","19.4372","0.0756","0.2625","0.1189","0.0336","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"10","Ja'Marr Chase","CIN","wr","12","@TEN","19.7","0","0","0","0","0","0","0.1677","0.9556","0.0059","10.0958","7.3342","81.8818","0.6753","0.0813","0.0446","0.0284","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"11","Breece Hall","NYJ","rb","12","@JAX","16.3","0","0","0","0","0","0","13.7113","57.6343","0.4068","5.0047","3.9699","30.7658","0.178","0.2282","0.1052","0.033","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
