"fantasyPointsRank","playerName","teamName","position","byeWeek","games","fantasyPoints","passComp","passAtt","passYds","passTd","passInt","passSacked","rushAtt","rushYds","rushTd","recvTargets","recvReceptions","recvYds","recvTd","fumbles","fumblesLost","twoPt","returnYds","returnTd","fgMade019","fgAtt019","fgMade2029","fgAtt2029","fgMade3039","fgAtt3039","fgMade4049","fgAtt4049","fgMade50plus","fgAtt50plus","patMade","patAtt","dstSacks","dstSafeties","dstInt","dstFumblesForced","dstFumblesRecovered","dstTd","dstReturnYds","dstReturnTd","dstPts0","dstPts16","dstPts713","dstPts1420","dstPts2127","dstPts2834","dstPts35plus","idpTacklesSolo","idpTacklesAssist","idpSacks","idpTacklesForLoss","idpPassDefended","idpInt","idpFumblesForced","idpFumblesRecovered","idpSafeties","idpTd"
"1","Ja'Marr Chase","CIN","wr","12","LV","20.7","0","0","0","0","0","0","0.169","0.942","0.0068","10.7469","7.8617","89.3781","0.6215","0.087","0.0478","0.0287","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2","Saquon Barkley","PHI","rb","5","JAX","18.1","0","0","0","0","0","0","19.263","84.1564","0.6643","3.6203","2.9155","20.9472","0.1178","0.292","0.132","0.0398","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"3","CeeDee Lamb","DAL","wr","7","@ATL","19.9","0","0","0","0","0","0","0.5559","3.0405","0.0287","10.5317","7.4231","85.5432","0.5805","0.0875","0.0475","0.0269","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"4","Derrick Henry","BLT","rb","14","DEN","18","0","0","0","0","0","0","18.3036","104.0395","0.7892","1.7888","1.508","10.3833","0.0608","0.2638","0.1179","0.0279","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"5","Alvin Kamara","NO","rb","12","@CAR","17.7","0","0","0","0","0","0","16.1636","69.5525","0.5724","4.6958","3.8163","28.1435","0.1144","0.2597","0.1189","0.0355","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"6","Kyren Williams","LA","rb","6","@SEA","17.6","0","0","0","0","0","0","15.9915","77.2592","0.7021","3.253","2.6774","18.9486","0.1858","0.2451","0.1111","0.0302","17.2291","0.0148","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"7","Bijan Robinson","ATL","rb","12","DAL","17.4","0","0","0","0","0","0","14.7937","68.986","0.4797","4.5598","3.8473","27.8857","0.1717","0.2415","0.1109","0.0317","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"8","Tony Pollard","TEN","rb","5","NE","17.3","0","0","0","0","0","0","19.5313","84.6061","0.5859","3.7534","2.9869","19.7285","0.0802","0.2963","0.134","0.0257","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"9","Malik Nabers","NYG","wr","11","WAS","18.4","0","0","0","0","0","0","0","0","0","10.9737","7.0503","84.2476","0.4826","0","0","0.0246","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"10","Travis Kelce","KC","te","6","TB","17","0","0","0","0","0","0","0","0","0","8.7555","6.7669","69.9472","0.5252","0","0","0.0236","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
