"fantasyPointsRank","playerName","teamName","position","byeWeek","games","fantasyPoints","passComp","passAtt","passYds","passTd","passInt","passSacked","rushAtt","rushYds","rushTd","recvTargets","recvReceptions","recvYds","recvTd","fumbles","fumblesLost","twoPt","returnYds","returnTd","fgMade019","fgAtt019","fgMade2029","fgAtt2029","fgMade3039","fgAtt3039","fgMade4049","fgAtt4049","fgMade50plus","fgAtt50plus","patMade","patAtt","dstSacks","dstSafeties","dstInt","dstFumblesForced","dstFumblesRecovered","dstTd","dstReturnYds","dstReturnTd","dstPts0","dstPts16","dstPts713","dstPts1420","dstPts2127","dstPts2834","dstPts35plus","idpTacklesSolo","idpTacklesAssist","idpSacks","idpTacklesForLoss","idpPassDefended","idpInt","idpFumblesForced","idpFumblesRecovered","idpSafeties","idpTd"
"1","Jordan Mason","SF","rb","9","DAL","20.6","0","0","0","0","0","0","16.3556","78.4809","0.6374","5.5078","4.4078","35.2211","0.1712","0.2687","0.1235","0.0396","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2","Derrick Henry","BLT","rb","14","@CLV","18","0","0","0","0","0","0","18.2973","104.7646","0.7933","1.7656","1.487","10.321","0.0589","0.2635","0.1177","0.0275","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"3","Saquon Barkley","PHI","rb","5","@CIN","17.9","0","0","0","0","0","0","17.4732","80.4855","0.6327","3.9592","3.1867","21.9306","0.1208","0.2707","0.1229","0.0368","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"4","CeeDee Lamb","DAL","wr","7","@SF","19.4","0","0","0","0","0","0","0.5607","3.1145","0.0295","10.36","7.2067","84.8975","0.5367","0.0853","0.0462","0.0265","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"5","Ja'Marr Chase","CIN","wr","12","PHI","19.1","0","0","0","0","0","0","0.1557","0.8959","0.0057","9.9457","7.221","82.6895","0.5799","0.0799","0.0439","0.0253","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"6","Bijan Robinson","ATL","rb","12","@TB","17.2","0","0","0","0","0","0","15.0204","70.6936","0.4694","4.5418","3.7749","26.7993","0.1542","0.2438","0.1118","0.0298","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"7","Tony Pollard","TEN","rb","5","@DET","16.9","0","0","0","0","0","0","17.1933","73.2365","0.5244","4.4524","3.5671","23.5031","0.0996","0.271","0.1235","0.0271","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"8","Breece Hall","NYJ","rb","12","@NE","16.5","0","0","0","0","0","0","14.8932","61.7428","0.4482","4.8982","3.8995","29.4422","0.1457","0.2435","0.1118","0.0308","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"9","Travis Kelce","KC","te","6","@LV","16.4","0","0","0","0","0","0","0","0","0","8.6809","6.6856","67.0784","0.5001","0","0","0.0241","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"10","Kyren Williams","LA","rb","6","MIN","16.3","0","0","0","0","0","0","15.2239","65.9121","0.7078","3.2841","2.6888","19.293","0.1446","0.2349","0.1066","0.0297","17.9062","0.0154","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"11","J.K. Dobbins","LAC","rb","5","NO","16.2","0","0","0","0","0","0","15.4384","72.3023","0.5036","3.8882","3.1531","22.0419","0.1167","0.2428","0.1106","0.025","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
