"fantasyPointsRank","playerName","teamName","position","byeWeek","games","fantasyPoints","salary","passComp","passAtt","passYds","passTd","passInt","passSacked","rushAtt","rushYds","rushTd","recvTargets","recvReceptions","recvYds","recvTd","fumbles","fumblesLost","twoPt","returnYds","returnTd","fgMade019","fgAtt019","fgMade2029","fgAtt2029","fgMade3039","fgAtt3039","fgMade4049","fgAtt4049","fgMade50plus","fgAtt50plus","patMade","patAtt","dstSacks","dstSafeties","dstInt","dstFumblesForced","dstFumblesRecovered","dstTd","dstReturnYds","dstReturnTd","dstPts0","dstPts16","dstPts713","dstPts1420","dstPts2127","dstPts2834","dstPts35plus","idpTacklesSolo","idpTacklesAssist","idpSacks","idpTacklesForLoss","idpPassDefended","idpInt","idpFumblesForced","idpFumblesRecovered","idpSafeties","idpTd"
"160","Justice Hill","BLT","rb","14","BUF","6","0","0","0","0","0","0","0","2.2177","9.9454","0.0679","2.9939","2.4652","16.7335","0.0714","0.0566","0.0279","0.0118","40.9327","0.0105","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"161","Bucky Irving","TB","rb","11","PHI","6","0","0","0","0","0","0","0","6.2495","28.2026","0.126","1.5346","1.2453","8.7906","0.0403","0.0979","0.0446","0.0104","50.3595","0.0129","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"162","Dawson Knox","BUF","te","12","@BLT","5.9","0","0","0","0","0","0","0","0","0","0","3.1417","2.314","22.4921","0.222","0","0","0.0096","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"163","Tucker Kraft","GB","te","10","MIN","5.9","0","0","0","0","0","0","0","0","0","0","3.3121","2.5842","23.021","0.1674","0","0","0.0085","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"164","Theo Johnson","NYG","te","11","DAL","5.8","0","0","0","0","0","0","0","0","0","0","3.4483","2.4591","22.5034","0.1761","0","0","0.0087","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"165","Jauan Jennings","SF","wr","9","NE","8.1","0","0","0","0","0","0","0","0.0584","0.3559","0.0024","4.1535","2.928","35.6648","0.2461","0.0324","0.0178","0.0135","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"166","Sam Darnold","MIN","qb","6","@GB","15.7","0","23.2477","33.3737","225.1098","1.334","0.8615","2.9492","3.6647","12.6643","0.1275","0","0","0","0","0.4142","0.2081","0.0789","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"167","Wan'Dale Robinson","NYG","wr","11","DAL","8","0","0","0","0","0","0","0","0.6221","3.7342","0.0382","4.652","3.3615","30.2129","0.1631","0.0446","0.0237","0.0124","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"168","Josh Reynolds","DEN","wr","14","@NYJ","7.9","0","0","0","0","0","0","0","0","0","0","5.1764","3.2445","36.2827","0.1604","0","0","0.0089","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"169","Jonathan Mingo","CAR","wr","11","CIN","7.9","0","0","0","0","0","0","0","0","0","0","4.9823","3.1594","35.6145","0.1865","0","0","0.0112","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"170","Mike Gesicki","CIN","te","12","@CAR","5.6","0","0","0","0","0","0","0","0","0","0","3.1957","2.21","22.8599","0.1731","0","0","0.0081","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
