"","player","position","team","points","sd_pts","dropoff","floor","ceiling","points_vor","floor_vor","ceiling_vor","rank","floor_rank","ceiling_rank","position_rank","tier","adp","aav","uncertainty"
"1","Christian McCaffrey","RB","SF",22.7,1.09,5.1,21.2,23.8,14.4,13.5,13.8,1,1,1,1,"1",NA,NA,30
"2","CeeDee Lamb","WR","DAL",21.4,1.71,0.881,19.5,23.8,10.5,10.8,10.9,2,2,2,1,"1",NA,NA,75
"3","Tyreek Hill","WR","MIA",20.6,2.33,1.18,16.9,23.3,9.63,8.21,10.3,3,4,3,2,"2",NA,NA,96
"4","Alvin Kamara","RB","NO",17.6,1.42,0.644,14.8,18.7,9.3,7.24,8.69,4,9,7,2,"1",NA,NA,70
"5","Travis Kelce","TE","KC",17.2,2.17,3.52,13.9,19.9,8.74,6.58,8.68,5,12,8,1,"1",NA,NA,99
"6","Austin Ekeler","RB","LAC",17,1.32,0.0268,14.9,18.1,8.65,7.27,8.04,6,8,12,3,"1",NA,NA,66
"7","Jonathan Taylor","RB","IND",17,1.49,0.799,15.5,19.4,8.63,7.86,9.39,7,7,5,4,"2",NA,NA,73
"8","A.J. Brown","WR","PHI",19.4,1.82,0.278,17.6,22.1,8.45,8.89,9.16,8,3,6,3,"2",NA,NA,82
"9","Keenan Allen","WR","LAC",19.1,2.13,0.892,16.6,22.4,8.17,7.93,9.45,9,6,4,4,"3",NA,NA,92
"10","Jahmyr Gibbs","RB","DET",16.2,3.18,0.144,9.72,18.2,7.83,2.11,8.2,10,63,11,5,"2",NA,NA,99
"11","Travis Etienne","RB","JAC",16,1.71,0.181,13.2,18.5,7.68,5.58,8.49,11,17,10,6,"2",NA,NA,86
"12","Saquon Barkley","RB","NYG",15.8,1.46,0.155,13.6,17.4,7.5,5.99,7.37,12,15,15,7,"2",NA,NA,71
"13","Joe Mixon","RB","CIN",15.7,1.51,0.313,14.1,18.6,7.35,6.5,8.54,13,13,9,8,"3",NA,NA,76
"14","Amon-Ra St. Brown","WR","DET",18.2,1.05,0.706,16.8,19.9,7.28,8.09,6.9,14,5,17,5,"3",NA,NA,23
"15","D'Andre Swift","RB","PHI",15.4,1.35,0.0932,14.3,17.5,7.04,6.73,7.53,15,11,14,9,"3",NA,NA,67
"16","Breece Hall","RB","NYJ",15.3,1.22,0.857,13.2,16.6,6.94,5.63,6.62,16,16,21,10,"3",NA,NA,50
"17","Stefon Diggs","WR","BUF",17.5,1.51,2.06,15.4,19.8,6.57,6.77,6.87,17,10,18,6,"4",NA,NA,55
"18","Josh Jacobs","RB","LVR",14.4,1.14,0.108,12.8,16.3,6.09,5.21,6.29,18,18,25,11,"4",NA,NA,34
"19","Raheem Mostert","RB","MIA",14.3,1.86,0.000419,11.8,17.1,5.98,4.23,7.12,19,33,16,12,"4",NA,NA,90
"20","Rachaad White","RB","TB",14.3,2.97,0.0257,8.84,16.8,5.98,1.23,6.73,20,79,20,13,"4",NA,NA,97
"21","Kyren Williams","RB","LAR",14.3,1.59,0.13,11.5,16.5,5.95,3.92,6.49,21,39,22,14,"4",NA,NA,80
"22","Tony Pollard","RB","DAL",14.2,1.71,0.211,12,16.3,5.82,4.43,6.32,22,26,24,15,"4",NA,NA,84
"23","Josh Allen","QB","BUF",23.3,2.49,0.25,19.8,26.9,5.73,4.16,7.88,23,34,13,1,"1",NA,NA,97
"24","Brian Robinson","RB","WAS",13.9,2.04,0.00562,10.9,16.5,5.61,3.27,6.44,24,51,23,16,"4",NA,NA,94
"25","Isiah Pacheco","RB","KC",13.9,1.16,0.0816,11.9,15.4,5.6,4.3,5.39,25,28,30,17,"4",NA,NA,41
"26","Bijan Robinson","RB","ATL",13.9,1.14,0.105,12.1,15.3,5.52,4.49,5.26,26,25,31,18,"4",NA,NA,31
"27","Jalen Hurts","QB","PHI",23.1,1.17,1.22,22,25,5.48,6.34,5.96,27,14,27,2,"2",NA,NA,36
