"","player","position","team","points","sd_pts","dropoff","floor","ceiling","points_vor","floor_vor","ceiling_vor","rank","floor_rank","ceiling_rank","position_rank","tier","adp","aav","uncertainty"
"1","Christian McCaffrey","RB","SF",21.3,1.94,2.62,18.3,23.4,13.3,13.3,13.3,1,1,1,1,"1",NA,NA,83
"2","Austin Ekeler","RB","LAC",18.7,1.15,0.838,17.3,20.8,10.7,12.3,10.6,2,2,2,2,"1",NA,NA,38
"3","Tyreek Hill","WR","MIA",21.9,1.18,0.36,20.4,23.3,9.84,10.5,9.58,3,5,7,1,"1",NA,NA,45
"4","Raheem Mostert","RB","MIA",17.8,1.37,0.194,15.8,20,9.83,10.8,9.78,4,4,5,3,"1",NA,NA,61
"5","Tony Pollard","RB","DAL",17.6,1.52,0.4,16.2,20.2,9.64,11.2,10,5,3,3,4,"2",NA,NA,68
"6","Cooper Kupp","WR","LAR",21.5,1.62,0.123,19.3,23.6,9.48,9.43,9.84,6,12,4,2,"1",NA,NA,79
"7","Ja'Marr Chase","WR","CIN",21.4,1.53,1.3,19.3,23.5,9.36,9.39,9.68,7,14,6,3,"2",NA,NA,72
"8","Travis Kelce","TE","KC",18.2,1.04,4.08,17,19.7,9.28,9.49,9.4,8,11,8,1,"1",NA,NA,32
"9","Travis Etienne","RB","JAC",17.2,1.35,0.295,15.1,19.2,9.24,10,9.01,9,7,11,5,"2",NA,NA,56
"10","Alvin Kamara","RB","NO",16.9,1.13,0.107,15,18.2,8.94,9.92,7.98,10,9,12,6,"2",NA,NA,37
"11","Bijan Robinson","RB","ATL",16.8,2.49,0.0479,13.3,19.4,8.83,8.27,9.17,11,18,9,7,"2",NA,NA,87
"12","David Montgomery","RB","DET",16.8,1.83,0.333,13.9,19.2,8.79,8.83,9.05,12,15,10,8,"3",NA,NA,80
"13","Kyren Williams","RB","LAR",16.5,0.679,0.0411,15.5,17.4,8.45,10.4,7.18,13,6,18,9,"3",NA,NA,14
"14","Josh Jacobs","RB","LVR",16.4,1.04,0.306,15,17.5,8.41,9.93,7.33,14,8,17,10,"3",NA,NA,31
"15","Isiah Pacheco","RB","KC",16.1,1.01,0.0385,14.8,17.9,8.11,9.76,7.74,15,10,14,11,"3",NA,NA,30
"16","D'Andre Swift","RB","PHI",16.1,1.23,1.23,14.5,18,8.07,9.41,7.78,16,13,13,12,"4",NA,NA,44
"17","Stefon Diggs","WR","BUF",20.1,1.11,1.04,18.6,21.3,8.06,8.7,7.57,17,16,15,4,"3",NA,NA,37
