"","player","team","position","id","avg_type","pass_yds","pass_yds_sd","pass_tds","pass_tds_sd","pass_int","pass_int_sd","rush_yds","rush_yds_sd","rush_tds","rush_tds_sd","fumbles_lost","fumbles_lost_sd","two_pts","two_pts_sd","pass_300_yds","pass_300_yds_sd","return_tds","return_tds_sd","rush_100_yds","rush_100_yds_sd","rec","rec_sd","rec_yds","rec_yds_sd","rec_tds","rec_tds_sd","rec_100_yds","rec_100_yds_sd","dst_int","dst_int_sd","dst_sacks","dst_sacks_sd","dst_safety","dst_safety_sd","dst_td","dst_td_sd","dst_blk","dst_blk_sd","fg_0019","fg_0019_sd","fg_2029","fg_2029_sd","fg_3039","fg_3039_sd","fg_4049","fg_4049_sd","fg_50","fg_50_sd","xp","xp_sd","injury_status","injury_details","season_year","week"
"1","Jared Goff","DET","QB","12611","weighted",274.657054515867,18.1348221717364,1.72708706265256,0.43041950010506,0.742563059397884,0.207949224709891,4.23360048820179,1.50816449172425,0.0672091131000814,0.0467719615195172,0.112007729861676,0.0140743463825426,0.09,0,0,0,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Tua Tagovailoa","MIA","QB","14778","weighted",277.304572823434,14.4694406084828,1.94475183075671,0.150873200286534,0.831680227827502,0.120682757345729,6.8419934906428,0.808156024581791,0.0398820179007323,0.0497360109236428,0.174607404393816,0.0294021599083161,0.03,0,0,0,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Patrick Mahomes","KC","QB","13116","weighted",282.803665581774,19.8716724546555,2.01223352318958,0.154197271150738,0.824711147274207,0.137091399768298,24.7690317331164,1.36336757559739,0.102506102522376,0.0516848759395596,0.106253051261188,0.0510730605765253,0.09,0,0,0,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","C.J. Stroud","HOU","QB","16150","weighted",268.611956875509,10.8568439475371,1.85222945484133,0.244511078470601,0.363681855166802,0.26935554777877,9.8023637103336,0.545497165590818,0.107892595606184,0.0579472408581754,0.251232709519935,0.0918897795685518,0.07,0,0,0,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","Dak Prescott","DAL","QB","12620","weighted",264.921724979658,16.4596891428092,1.90888527257933,0.0782430518748405,0.686777868185517,0.345312939388686,15.7624938974776,2.72141506876419,0.154182262001627,0.110690010383235,0.120471928397071,0.0140243968718025,0.06,0,0,0,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","Sam Howell","WAS","QB","15693","weighted",261.627473555736,11.0328639233666,1.75650935720098,0.234504746954037,0.967107404393816,0.207731526386862,18.1061716842962,2.90377003602915,0.105154597233523,0.0552269204992296,0.131676159479251,0.0417328959027535,0.07,0,0,0,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Brock Purdy","SF","QB","15698","weighted",261.422152156225,12.5457270471832,1.77584214808788,0.208729811899619,0.552253864930838,0.315392710072359,11.8639422294548,2.50378954398901,0.13060211554109,0.0697698390393003,0.142849877949552,0.0490970370537837,0.06,0,0,0,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","Justin Herbert","LAC","QB","14779","weighted",261.073331977217,6.43955327139281,1.7336330349878,0.227222097912708,0.806757526444264,0.14881342105147,14.216427990236,2.80708990587397,0.151147274206672,0.0744023979624853,0.0514259560618389,0.0299467959259395,0.13,3.00059589753424e-17,0,0,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","Geno Smith","SEA","QB","11150","weighted",252.920105777054,9.33145931072995,1.34210740439382,0.275539299284494,0.843905614320586,0.137238484859136,11.4624369406021,2.43812004750863,0.0544629780309194,0.0682416489473478,0.166143205858421,0.0392028798777549,0.03,0,0,0,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","Joe Burrow","CIN","QB","14777","weighted",253.684792514239,10.7423924004407,1.70994304312449,0.220303466337701,0.851790073230268,0.121455586296234,14.4721236777868,4.65383664307865,0.0856631407648495,0.066549947526517,0.0802502034174125,0.022868346595357,0.16,0,0,0,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","Matthew Stafford","LAR","QB","9431","weighted",241.220890968267,11.7537995898381,1.28893002441009,0.318703600261191,0.874373474369406,0.131768983656143,5.61908868999186,1.59246785188402,0.0452685109845403,0.0462290930685027,0.114025630593979,0.0427119814367564,0.13,3.00059589753424e-17,0,0,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","Jalen Hurts","PHI","QB","14783","weighted",236.65567534581,18.4515066699728,1.283344182262,0.23257981768327,0.864495524816924,0.13187239578534,39.5967127746135,2.62096917340583,0.598567941415785,0.221127868863663,0.194275834011391,0.0615344927803198,0.13,3.00059589753424e-17,0,0,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
