"","player","team","position","id","avg_type","pass_yds","pass_yds_sd","pass_tds","pass_tds_sd","pass_int","pass_int_sd","rush_yds","rush_yds_sd","rush_tds","rush_tds_sd","fumbles_lost","fumbles_lost_sd","two_pts","two_pts_sd","pass_300_yds","pass_300_yds_sd","return_tds","return_tds_sd","rush_100_yds","rush_100_yds_sd","rec","rec_sd","rec_yds","rec_yds_sd","rec_tds","rec_tds_sd","rec_100_yds","rec_100_yds_sd","fg_0019","fg_0019_sd","fg_2029","fg_2029_sd","fg_3039","fg_3039_sd","fg_4049","fg_4049_sd","fg_50","fg_50_sd","xp","xp_sd","dst_int","dst_int_sd","dst_sacks","dst_sacks_sd","dst_safety","dst_safety_sd","dst_td","dst_td_sd","dst_blk","dst_blk_sd","idp_solo","idp_solo_sd","idp_sack","idp_sack_sd","idp_int","idp_int_sd","idp_pd","idp_pd_sd","idp_td","idp_td_sd","injury_status","injury_details","season_year","week"
"801","Kader Kohou","MIA","DB","16016","weighted",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.46124419684308,0.843713131333406,0.00497678737233055,0.00477573957542939,0.0850696378830084,0.0143272187262882,0.460649953574745,0.133720708112023,0.00497678737233055,0.00477573957542939,NA,NA,NA,NA
"802","Micah Hyde","BUF","DB","11382","weighted",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.33188486536676,1.001582620279,0.0199071494893222,0.0191029583017175,0.0900464252553389,0.00955147915085878,0.420371402042711,0.0764118332068702,0.00497678737233055,0.00477573957542939,NA,NA,NA,NA
"803","Jason Pinnock","NYG","DB","15448","weighted",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.71973509933775,0.848528137423857,0.1,1.98041604282243e-17,0.1,1.98041604282243e-17,0.4,7.92166417128973e-17,0.1,1.98041604282243e-17,NA,NA,NA,NA
"804","Malik Hooker","DAL","DB","13228","weighted",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.91630454967502,1.14056790904487,0.0099535747446611,0.00955147915085877,0.0900464252553389,0.00955147915085878,0.274651810584958,0.0716360936314408,0.00497678737233055,0.00477573957542939,"Q","Illness",2023,1
"805","Quandre Diggs","SEA","DB","12349","weighted",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.94367688022284,1.10713582737333,0.00497678737233055,0.00477573957542939,0.190046425255339,0.00955147915085879,0.484605385329619,0.0811875727822996,0.00497678737233055,0.00477573957542939,NA,NA,NA,NA
"806","Denzel Ward","CLE","DB","13707","weighted",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.14800371402043,0.927104706602825,0.0099535747446611,0.00955147915085877,0.230324976787372,0.0668603540560114,0.705905292479109,0.186253843441746,0.0552089136490251,0.0429816561788645,NA,NA,NA,NA
"807","Julius Brents","IND","DB","16261","weighted",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.33907149489322,1.76769775310633,0.0601857010213556,0.0382059166034351,0.0398142989786444,0.0382059166034351,0.224419684308264,0.119393489385735,0.00497678737233055,0.00477573957542939,NA,NA,NA,NA
"808","Tashaun Gipson","SF","DB","11010","weighted",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.92233983286908,1.0921551920208,0.0248839368616527,0.0238786978771469,0.230324976787372,0.0668603540560114,0.504976787372331,0.00477573957542939,0.00497678737233055,0.00477573957542939,NA,NA,NA,NA
"809","Stephon Gilmore","DAL","DB","10789","weighted",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.20274837511606,0.867140302427359,0.0099535747446611,0.00955147915085877,0.170139275766017,0.0286544374525763,0.540278551532034,0.0573088749051527,0.00497678737233055,0.00477573957542939,NA,NA,NA,NA
"810","Jaire Alexander","GB","DB","13730","weighted",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.98388115134633,0.994606656971785,0.0099535747446611,0.00955147915085877,0.165162488393686,0.0334301770280057,0.530324976787372,0.0668603540560114,0.00497678737233055,0.00477573957542939,NA,NA,NA,NA
