"","player","team","position","id","avg_type","pass_yds","pass_yds_sd","pass_tds","pass_tds_sd","pass_int","pass_int_sd","rush_yds","rush_yds_sd","rush_tds","rush_tds_sd","fumbles_lost","fumbles_lost_sd","two_pts","two_pts_sd","pass_300_yds","pass_300_yds_sd","return_tds","return_tds_sd","rush_100_yds","rush_100_yds_sd","rec","rec_sd","rec_yds","rec_yds_sd","rec_tds","rec_tds_sd","rec_100_yds","rec_100_yds_sd","fg_0019","fg_0019_sd","fg_2029","fg_2029_sd","fg_3039","fg_3039_sd","fg_4049","fg_4049_sd","fg_50","fg_50_sd","xp","xp_sd","dst_int","dst_int_sd","dst_sacks","dst_sacks_sd","dst_safety","dst_safety_sd","dst_td","dst_td_sd","dst_blk","dst_blk_sd","idp_solo","idp_solo_sd","idp_sack","idp_sack_sd","idp_int","idp_int_sd","idp_pd","idp_pd_sd","idp_td","idp_td_sd","injury_status","injury_details","season_year","week"
"1","Patrick Mahomes","KC","QB","13116","weighted",305.719877949552,20.2507026094984,2.42019121236778,0.355767914519498,0.755992676973149,0.172800724925354,25.5197192839707,3.84121394450552,0.163022782750203,0.082823763759393,0.0943572009764036,0.00653381331295915,0.17,3.00059589753424e-17,0,0,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Kirk Cousins","MIN","QB","10700","weighted",296.2060455655,18.1423553548697,2.08943043124491,0.111519809622441,0.855325467860049,0.137633030131255,6.40316924328723,1.03287075271887,0.0751261187957689,0.0527360441015062,0.274414157851912,0.110838431472276,0.13,3.00059589753424e-17,0,0,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Justin Herbert","LAC","QB","14779","weighted",284.052062652563,10.8438637842282,1.96671277461351,0.169086036220335,0.779304312449146,0.178969095821093,12.8236289666395,2.32815273381203,0.131208299430431,0.0706239887682521,0.0802502034174125,0.022868346595357,0.16,0,0,0,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Tua Tagovailoa","MIA","QB","14778","weighted",282.725903173312,14.8294007668325,1.90044751830757,0.142103556351882,0.871159479251424,0.132345991446804,7.98544344995932,3.20728841738966,0.0750691619202604,0.055545618548287,0.171786004882018,0.0326690665647957,0.06,0,0,0,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","Matthew Stafford","LAR","QB","9431","weighted",259.110195280716,20.0532819405616,1.27028885272579,0.236254364622892,0.909646053702197,0.145231260004495,7.23620423108218,1.32212022297132,0.0645606183889341,0.0458319307459498,0.119668429617575,0.038154928885294,0.09,0,0,0,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","Joe Burrow","CIN","QB","14777","weighted",209.193502847844,69.6588923168897,1.39863710333605,0.5397413783429,0.671155410903173,0.274394234224575,8.73046379170057,6.79638573239973,0.0819609438567941,0.0679092062776926,0.0514259560618389,0.0299467959259395,0.16,0,0,0,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Q","Calf",2023,3
"7","Jared Goff","DET","QB","12611","weighted",262.898327908869,17.3489276301571,1.90689585028478,0.119215385720881,0.735772986167616,0.204060682821806,4.77772986167616,2.13121883960935,0.0412205044751831,0.0508079641501843,0.171786004882018,0.0326690665647957,0.14,0,0,0,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","Dak Prescott","DAL","QB","12620","weighted",241.79106997559,16.8971806551648,1.87162327095199,0.138368012501148,0.83893409275834,0.140958453135463,14.2091659886086,2.56996923213835,0.109170056956876,0.0614865506408309,0.149296175752644,0.0309056714824883,0.16,0,0,0,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","Jimmy Garoppolo","LVR","QB","11760","weighted",242.955598047193,24.1854049344671,1.33722945484133,0.291553043922312,0.929674532139951,0.0934537117182419,7.80984133441823,3.28126906668364,0.0711960943856794,0.0489565772925837,0.102821399511798,0.00326690665647957,0.03,0,0,0,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","Baker Mayfield","TB","QB","13590","weighted",237.356126932465,17.5213730675056,1.29884052074858,0.22130115027131,0.845528885272579,0.202320819161055,11.9028803905614,3.90938903385339,0.067233523189585,0.061705320977476,0.10636493083808,0.0174856997601642,0.09,0,0,0,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
