"","player","team","position","id","avg_type","pass_yds","pass_yds_sd","pass_tds","pass_tds_sd","pass_int","pass_int_sd","rush_yds","rush_yds_sd","rush_tds","rush_tds_sd","fumbles_lost","fumbles_lost_sd","two_pts","two_pts_sd","pass_300_yds","pass_300_yds_sd","return_tds","return_tds_sd","rush_100_yds","rush_100_yds_sd","rec","rec_sd","rec_yds","rec_yds_sd","rec_tds","rec_tds_sd","rec_100_yds","rec_100_yds_sd","dst_int","dst_int_sd","dst_sacks","dst_sacks_sd","dst_safety","dst_safety_sd","dst_td","dst_td_sd","dst_blk","dst_blk_sd","fg_0019","fg_0019_sd","fg_2029","fg_2029_sd","fg_3039","fg_3039_sd","fg_4049","fg_4049_sd","fg_50","fg_50_sd","xp","xp_sd","injury_status","injury_details","season_year","week"
"1","Patrick Mahomes","KC","QB","13116","weighted",296.190789259561,16.2651974592727,2.15846623270952,0.178342071177933,0.794174125305126,0.183319638511183,25.7948738812042,3.51717113026123,0.12920260374288,0.0735335388856562,0.0577603742880391,0.0289059489788171,0.16,0,0,0,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Tua Tagovailoa","MIA","QB","14778","weighted",298.044918633035,8.81000876044727,1.95397477624085,0.14043033300608,0.877721724979658,0.107801402762392,5.26845402766477,0.979012838040567,0.0333034987794955,0.0430479489262776,0.109186330349878,0.0155320887840963,0.03,0,0,0,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Jalen Hurts","PHI","QB","14783","weighted",255.249747762408,14.5128000239297,1.3656509357201,0.332762870424658,0.694149715215622,0.335170738036113,41.4062530512612,2.46646735703741,0.724100895036615,0.175343810356203,0.128854759967453,0.0441328129415405,0.13,3.00059589753424e-17,0,0,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Kirk Cousins","MIN","QB","10700","weighted",260.415321399512,17.2449516746636,1.34888527257933,0.335189373057893,0.855996745321399,0.12492525077098,5.14271358828316,1.26084167264542,0.0325345809601302,0.0437639960953268,0.271592758340114,0.114014436419663,0.13,3.00059589753424e-17,0,0,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","Josh Allen","BUF","QB","13589","weighted",254.465288852726,20.201317638281,1.88151342554923,0.14993819492633,0.926415785191212,0.0819072793126885,26.9783848657445,6.21694541172498,0.241696501220504,0.123980458237239,0.16896460537022,0.0359359732212753,0.16,0,0,0,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","Justin Herbert","LAC","QB","14779","weighted",263.924304312449,17.56251441162,1.69496338486574,0.262172520067362,0.824043938161107,0.144877916249221,15.2318917819365,2.65033080304366,0.151147274206672,0.0744023979624853,0.0802502034174125,0.022868346595357,0.16,0,0,0,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Jared Goff","DET","QB","12611","weighted",251.590317331164,18.8112158170403,1.30581773799837,0.271641931353364,0.750679414157852,0.206709564744666,5.18692432872254,1.83208141937828,0.0645606183889341,0.0458319307459498,0.171786004882018,0.0326690665647957,0.13,3.00059589753424e-17,0,0,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","Matthew Stafford","LAR","QB","9431","weighted",261.648995117982,11.596911872669,1.53791293734744,0.361215299454264,0.892270138323841,0.134997325243714,5.80180227827502,0.557034704465228,0.0606021155410903,0.0452500352165845,0.0887144019528072,0.0130676266259183,0.09,0,0,0,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","Derek Carr","NO","QB","11644","weighted",236.888897477624,16.2001753958916,1.22656631407648,0.229447915988175,0.800032546786005,0.15756894150578,4.25578112286412,1.42666028610717,0.0333319772172498,0.0434264418222133,0.109074450772986,0.048424479489838,0.03,0,0,0,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","Geno Smith","SEA","QB","11150","weighted",256.859292107404,8.23525371466841,1.8013588283157,0.196333514970148,0.779247355573637,0.20928921632069,13.3733889340928,3.18700452843494,0.071106590724166,0.068898489966896,0.0971786004882018,0.00326690665647957,0.03,0,0,0,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
