,player,position,team,points,sd_pts,dropoff,floor,ceiling,points_vor,floor_vor,ceiling_vor,rank,floor_rank,ceiling_rank,position_rank,tier,adp,aav,uncertainty
1,Austin Ekeler,RB,LAC,19.8,1.68,0.758,18,22.3,9.32,10.4,9.95,1,1,1,1,1,NA,NA,51
2,Justin Jefferson,WR,MIN,20.2,2.11,0.868,17.6,22.2,9.09,8.41,8.22,2,2,4,1,1,NA,NA,70
3,Christian McCaffrey,RB,SF,19,2.34,2.11,15.4,21.6,8.56,7.82,9.21,3,3,2,2,2,NA,NA,83
4,Tyreek Hill,WR,MIA,19.4,2.93,0.608,14.5,22.2,8.22,5.39,8.25,4,13,3,2,1,NA,NA,96
5,Ja'Marr Chase,WR,CIN,18.7,2.64,0.945,14.3,21.4,7.61,5.13,7.45,5,14,8,3,2,NA,NA,89
6,Davante Adams,WR,LVR,17.8,2.66,0.234,14.2,21.5,6.67,5.08,7.51,6,15,7,4,2,NA,NA,90
7,Tony Pollard,RB,DAL,16.9,2.43,0.163,14.2,20.3,6.45,6.59,7.9,7,5,5,3,2,NA,NA,84
8,CeeDee Lamb,WR,DAL,17.6,2.5,0.874,13.3,20.1,6.43,4.13,6.13,8,20,12,5,2,NA,NA,85
9,Nick Chubb,RB,CLE,16.7,1.54,0.0772,14.1,18.4,6.29,6.56,6.02,9,6,13,4,2,NA,NA,41
10,Josh Jacobs,RB,LVR,16.7,2.22,0.0609,13.4,19.5,6.21,5.81,7.08,10,10,9,5,2,NA,NA,74
11,Saquon Barkley,RB,NYG,16.6,1.63,0.248,14.4,18.6,6.15,6.81,6.26,11,4,11,6,2,NA,NA,49
12,Derrick Henry,RB,TEN,16.3,1.68,0.132,13.8,18.1,5.9,6.17,5.74,12,7,15,7,3,NA,NA,50
13,Bijan Robinson,RB,ATL,16.2,3.18,0.403,11.5,20.3,5.77,3.88,7.9,13,24,6,8,3,NA,NA,99
14,Amon-Ra St. Brown,WR,DET,16.7,1.79,0.705,13.9,18.6,5.56,4.77,4.61,14,17,22,6,3,NA,NA,54
15,Joe Mixon,RB,CIN,15.8,1.92,0.272,13.6,19,5.37,5.99,6.62,15,9,10,9,3,NA,NA,61
16,Aaron Jones,RB,GB,15.5,1.49,0.399,13.6,17.3,5.1,6.06,4.89,16,8,21,10,3,NA,NA,36
17,DK Metcalf,WR,SEA,16,2.05,0.106,12.6,17.8,4.85,3.49,3.88,17,30,29,7,3,NA,NA,68
18,Patrick Mahomes,QB,KC,23.7,0.894,0.107,22.6,25,4.79,5.7,4.3,18,11,23,1,1,NA,NA,9
19,Stefon Diggs,WR,BUF,15.9,2.01,0.0956,12.5,17.8,4.75,3.31,3.81,19,34,31,8,3,NA,NA,66
20,Rhamondre Stevenson,RB,NE,15.1,2.49,0.816,11,17.7,4.7,3.41,5.36,20,32,18,11,4,NA,NA,87
21,Jalen Hurts,QB,PHI,23.6,1.94,0.731,21.9,26.6,4.68,5.03,5.92,21,16,14,2,1,NA,NA,88
22,Chris Olave,WR,NO,15.8,2.55,0.12,12.4,19.6,4.65,3.24,5.6,22,36,16,9,3,NA,NA,86
23,T.J. Hockenson,TE,MIN,12.7,1.05,1.74,11.4,14,4.6,4.39,3.78,23,19,33,1,1,NA,NA,35
24,Keenan Allen,WR,LAC,15.7,2.25,0.075,12.4,18.2,4.53,3.2,4.2,24,37,25,10,3,NA,NA,75
25,A.J. Brown,WR,PHI,15.6,1.97,0.161,13,17.8,4.46,3.88,3.87,25,25,30,11,3,NA,NA,62
26,Jaylen Waddle,WR,MIA,15.4,1.89,0.0756,13.2,18.2,4.3,4.09,4.2,26,22,24,12,3,NA,NA,61
27,Garrett Wilson,WR,NYJ,15.4,2.38,1.05,12.9,19.3,4.22,3.79,5.37,27,28,17,13,4,NA,NA,80
28,Lamar Jackson,QB,BAL,22.9,2.02,0.477,20.3,24.7,3.95,3.38,4.07,28,33,27,3,2,NA,NA,94
29,Travis Etienne,RB,JAC,14.3,1.53,0.0128,12.1,16.1,3.88,4.49,3.73,29,18,34,12,4,NA,NA,40
30,J.K. Dobbins,RB,BAL,14.3,1.46,0.00758,13.2,16.5,3.87,5.58,4.1,30,12,26,13,4,NA,NA,31
31,James Conner,RB,ARI,14.3,2.5,0.37,10.3,17.3,3.86,2.74,4.96,31,41,20,14,4,NA,NA,89
32,Alexander Mattison,RB,MIN,13.9,1.49,0.0989,11.7,15.9,3.49,4.12,3.53,32,21,36,15,4,NA,NA,39
33,Josh Allen,QB,BUF,22.4,2.08,2.08,19,24.5,3.47,2.15,3.8,33,52,32,4,3,NA,NA,97
34,Kenneth Walker III,RB,SEA,13.8,1.73,0.126,11,16,3.39,3.43,3.57,34,31,35,16,4,NA,NA,54
35,Rachaad White,RB,TB,13.7,1.49,0.589,11.4,15.6,3.27,3.8,3.24,35,27,38,17,5,NA,NA,37
36,Chris Godwin,WR,TB,14.3,1.53,0.0562,12.8,16.6,3.17,3.61,2.68,36,29,45,14,4,NA,NA,41
37,Tyler Lockett,WR,SEA,14.2,1.64,0.279,12,16.7,3.11,2.86,2.7,37,40,44,15,4,NA,NA,45
38,George Kittle,TE,SF,11,1.35,0.2,9.41,13.1,2.86,2.37,2.83,38,44,42,2,1,NA,NA,50
39,Amari Cooper,WR,CLE,14,1.66,0.177,11.5,16.1,2.83,2.3,2.14,40,46,51,16,4,NA,NA,48
