"","player","team","position","id","avg_type","pass_yds","pass_yds_sd","pass_tds","pass_tds_sd","pass_int","pass_int_sd","rush_yds","rush_yds_sd","rush_tds","rush_tds_sd","fumbles_lost","fumbles_lost_sd","two_pts","two_pts_sd","pass_300_yds","pass_300_yds_sd","return_tds","return_tds_sd","rush_100_yds","rush_100_yds_sd","rec","rec_sd","rec_yds","rec_yds_sd","rec_tds","rec_tds_sd","rec_100_yds","rec_100_yds_sd","fg_0019","fg_0019_sd","fg_2029","fg_2029_sd","fg_3039","fg_3039_sd","fg_4049","fg_4049_sd","fg_50","fg_50_sd","xp","xp_sd","dst_int","dst_int_sd","dst_sacks","dst_sacks_sd","dst_safety","dst_safety_sd","dst_td","dst_td_sd","dst_blk","dst_blk_sd","idp_solo","idp_solo_sd","idp_sack","idp_sack_sd","idp_int","idp_int_sd","idp_pd","idp_pd_sd","idp_td","idp_td_sd","injury_status","injury_details","season_year","week"
"1","Kirk Cousins","MIN","QB","10700","weighted",286.707921074044,15.4073610201176,2.00689585028478,0.125043579065866,0.8266639544345,0.141339845502131,5.3279902359642,1.15826143665097,0.0632221318144833,0.0457940756430836,0.271592758340114,0.114014436419663,0.13,3.00059589753424e-17,0,0,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Justin Herbert","LAC","QB","14779","weighted",283.538832384052,15.0958656117466,1.99727827502034,0.145238298168887,0.651578519121237,0.32896382699384,12.9797111472742,2.49215996978979,0.125101708706265,0.0729244489197959,0.0802502034174125,0.022868346595357,0.16,0,0,0,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Tua Tagovailoa","MIA","QB","14778","weighted",289.418653376729,6.53649910941009,1.92148901545972,0.211682638397926,0.933852725793328,0.104603792162732,7.60801871440195,2.22156418295759,0.0558624898291294,0.0523533165146265,0.166143205858421,0.0392028798777549,0.06,0,0,0,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Patrick Mahomes","KC","QB","13116","weighted",280.050691619203,8.73033353525703,2.01228641171684,0.177969268827975,0.788213995117982,0.1710937677997,25.5012449145647,2.81467522300059,0.119092758340114,0.0663714753186495,0.10636493083808,0.0174856997601642,0.17,3.00059589753424e-17,0,0,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","Joe Burrow","CIN","QB","14777","weighted",274.281761594792,9.68508163385646,1.84287225386493,0.19915409849539,0.819882017900732,0.151247715028973,9.5996948738812,5.29905977164016,0.091826688364524,0.0715961677566128,0.0802502034174125,0.022868346595357,0.16,0,0,0,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","Matthew Stafford","LAR","QB","9431","weighted",265.054609438568,17.9613236730675,1.34888120423108,0.28672354459922,0.860150528885273,0.141395005666241,6.79917412530513,1.38253151479798,0.0645890968266884,0.0458395009691397,0.135189178193653,0.0397669724717054,0.09,0,0,0,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Jared Goff","DET","QB","12611","weighted",258.147689178194,12.71843869196,1.55139951179821,0.309365602408935,0.767994304312449,0.207909388762232,5.42884865744508,2.63810968402124,0.0672375915378356,0.0467846099392674,0.171786004882018,0.0326690665647957,0.14,0,0,0,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","Josh Allen","BUF","QB","13589","weighted",261.45376729048,10.1884383230074,2.05980065093572,0.135294038906987,0.948185516680228,0.0644267430629249,34.4628356387307,4.15487287575287,0.311635475996745,0.141299775083773,0.177428803905614,0.0261352532518366,0.16,0,0,0,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","Dak Prescott","DAL","QB","12620","weighted",239.051993490643,17.8853060831343,1.62595199349064,0.322678602867102,0.883567941415785,0.0922484314034404,14.268506916192,2.38167788707619,0.0959560618388934,0.0460834833530787,0.120471928397071,0.0140243968718025,0.16,0,0,0,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","Geno Smith","SEA","QB","11150","weighted",255.911659886086,9.71218002014,1.77691619202604,0.165547695051362,0.64633034987795,0.336135450047074,15.3214849471115,4.30739028986683,0.0831285598047193,0.0605786909804499,0.143653376729048,0.0337879428655155,NA,NA,0,0,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","Sam Howell","WAS","QB","15693","weighted",226.572945484133,20.8903697195443,1.16076484947111,0.154101841849706,1.02513425549227,0.310665760954375,14.364967453214,1.99145398954452,0.107144019528072,0.100521176322423,0.156987388120423,0.0743158801794856,0.08,0,0,0,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","C.J. Stroud","HOU","QB","16150","weighted",246.044231082181,11.3020295831487,1.22324654190399,0.202887500133155,0.817904800650936,0.248702677617882,12.9885313262815,2.36347006645715,0.0765785191212368,0.0513394861730997,0.228051261187958,0.0854239628735128,0.08,0,0,0,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","Russell Wilson","DEN","QB","10703","weighted",253.738633034988,6.78176628116904,1.76471928397071,0.199591407616714,0.73786411716843,0.211536064332284,17.8305532953621,1.90397782346547,0.128551668022783,0.0702924146392768,0.134385679414158,0.0585977194333456,0.03,0,0,0,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","Aidan O'Connell","LVR","QB","16159","weighted",205.720730492529,104.894930142013,1.08744881018262,0.611342987659634,0.930962921970116,0.499387434667903,6.63684006640841,2.67261593516556,0.0418926397343664,0.0552389685886751,0.053699501936912,0.0369581087954758,0.06,0,0,0,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","Derek Carr","NO","QB","11644","weighted",206.247935241671,55.7895541678722,1.07166588456124,0.41418729466862,0.662125762552792,0.278254695936942,5.95951196621304,1.7815314330604,0.0370014077897701,0.0484317665430592,0.0542468324730174,0.0221672139296664,0.03,3.80484750053033e-18,0,0,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Q","Shoulder - AC Joint",2023,4
"16","Trevor Lawrence","JAC","QB","15237","weighted",248.176049633849,8.07860124968009,1.62145240032547,0.324638424437658,0.831232709519935,0.125493272910924,19.8635760781123,0.867287861286478,0.150671277461351,0.0731710418625299,0.299806753458096,0.0825741764881679,0.19,0,0,0,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","Gardner Minshew","IND","QB","14067","weighted",115.908033333333,125.6125447397,0.307366666666667,0.258677912587534,0.482033333333333,0.462092453726023,2.59163333333333,2.12497831863669,0,0,0.0873333333333333,0.101859481067412,NA,NA,0,0,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
