"offTeam","offPlayer","offPosition","offHeightInches","offWeight","offSpeed","offRoutes","offLeft","offSlot","offRight","offTr","offFr","offCPct","offYprr","offGrade","adv","defTeam","defPlayer","defPosition","defHeightInches","defWeight","defSpeed","defRoutes","defLeft","defSlot","defRight","defTr","defFr","defCPct","defYprr","defGrade"
"ARZ","DeAndre Hopkins","LWR","73","212","4.57","49","80","6","14","33","0.59","88","3.08","79.5","-1","WAS","Fabian Moreau","RCB","72","200","4.35","26","","8","92","12","","","","84.5"
"ARZ","Christian Kirk","RWR","71","200","4.47","45","2","20","78","9","0.02","25","","53.2","-22","WAS","Ronald Darby","LCB","71","193","4.38","50","84","4","","12","0.22","50","1.62","68.6"
"ARZ","Larry Fitzgerald","Slot","75","218","4.48","41","7","90","2","12","0.18","80","0.83","57.3","-14","WAS","Jimmy Moreland","Slot","70","179","","49","","49","43","16","0.18","50","1.02","69.2"
"ATL","Julio Jones","LWR","75","220","4.34","47","45","23","32","26","0.53","75","3.34","83.8","43","DAL","Trevon Diggs","RCB","74","207","","34","6","9","82","9","0.27","100","1.85","58.3"
"ATL","Calvin Ridley","RWR","73","190","4.43","50","42","8","50","24","0.68","75","2.6","89.5","27","DAL","Chidobe Awuzie","LCB","72","202","4.43","30","93","","","7","0.07","50","0.37","74.3"
"ATL","Russell Gage","Slot","72","184","","46","2","80","17","26","0.44","75","2.48","76.4","19","DAL","Anthony Brown","Slot","71","196","4.33","34","3","65","12","18","0.29","83","1.47","51.8"
"BLT","Miles Boykin","LWR","76","220","4.42","26","65","12","23","15","0.26","75","1.42","64.5","26","HST","Vernon Hargreaves III","RCB","70","204","4.5","26","31","12","42","23","0.59","83","1.65","39.5"
"BLT","MARQUISE BROWN","RWR","69","170","","24","4","38","58","25","0.63","83","4.21","88.3","47","HST","BRADLEY ROBY","LCB","71","194","4.39","33","24","42","27","18","0.43","83","1","52.4"
"BLT","Willie Snead IV","Slot","71","205","4.62","20","10","80","10","20","0.82","100","3.2","85.8","25","HST","John Reid","Slot","70","180","4.49","15","","87","7","20","0.42","100","2.2","60.6"
"BUF","John Brown","LWR","71","178","4.34","50","60","10","30","16","0.38","75","1.4","64.6","-13","MIA","Byron Jones","RCB","72","205","","23","","","100","4","0.07","100","0.26","63"
"BUF","Stefon Diggs","RWR","72","191","4.46","52","25","31","44","17","0.32","89","1.65","74.7","10","MIA","Xavien Howard","LCB","73","192","4.58","10","70","20","","20","0.36","100","1.6","59.4"
"BUF","Cole Beasley","Slot","68","174","","37","8","89","3","19","0.26","57","1.57","64.6","0","MIA","Jamal Perry","Slot","70","190","","15","","100","","13","0.3","100","1.67","51.8"
"CAR","D.J. MOORE","LWR","71","215","4.42","37","38","30","32","24","0.25","44","1.46","62.5","2","TB","CARLTON DAVIS","RCB","73","206","4.53","33","39","12","48","15","0.32","60","0.42","56.9"
"CAR","Robby Anderson","RWR","75","190","","35","34","34","31","23","0.67","75","3.29","76.3","10","TB","Jamel Dean","LCB","73","206","4.3","24","38","17","38","21","0.48","80","3.08","57.2"
"CAR","Curtis Samuel","Slot","71","195","4.31","29","7","72","21","24","0.3","71","1.31","53.9","-40","TB","Sean Murphy-Bunting","Slot","72","195","4.42","32","12","66","16","16","0.37","80","0.59","77"
"CHI","Allen Robinson II","LWR","75","211","4.6","36","25","42","31","25","0.34","56","2.06","79.1","32","NYG","Corey Ballentine","RCB","71","196","4.47","32","","6","91","16","0.28","80","1.56","47.9"
"CHI","Ted Ginn Jr.","RWR","71","180","","16","31","12","56","6","","","","51.6","-14","NYG","James Bradberry","LCB","73","212","4.5","36","92","6","","19","0.64","57","1.94","65.9"
"CHI","Anthony Miller","Slot","71","190","","22","5","91","5","27","0.8","67","3.45","90","43","NYG","Darnay Holmes","Slot","70","198","4.48","30","","100","","20","0.35","83","1.87","51.1"
"CIN","A.J. Green","LWR","76","210","4.48","30","37","13","50","30","0.34","56","1.7","70.8","15","CLV","Terrance Mitchell","RCB","71","191","4.63","30","","7","90","13","0.2","75","1.03","60.9"
"CIN","Tee Higgins","RWR","76","215","","9","33","11","56","","","","","55.5","-14","CLV","Denzel Ward","LCB","71","190","4.32","30","90","","","10","0.22","100","1.23","58.2"
"CIN","Tyler Boyd","Slot","74","203","4.58","39","13","82","5","13","0.19","80","0.85","65.2","20","CLV","Tavierre Thomas","Slot","70","205","","16","6","94","","19","0.91","100","3.44","42.7"
"CLV","Odell Beckham Jr.","LWR","71","198","4.43","33","24","15","61","30","0.16","30","0.67","46.6","-17","CIN","William Jackson III","RCB","72","196","4.37","34","","12","82","21","0.21","57","0.94","64.1"
"CLV","KhaDarel Hodge","RWR","74","205","","21","52","29","19","14","0.1","33","0.57","52.7","-18","CIN","Darius Phillips","LCB","70","190","4.54","34","94","","","18","0.21","33","1.53","53.4"
"CLV","Jarvis Landry","Slot","71","196","4.77","33","24","61","15","18","0.34","83","1.85","69.2","-6","CIN","Mackensie Alexander","Slot","70","192","","31","","84","6","3","","","","73.2"
"DAL","Michael Gallup","LWR","73","198","4.51","43","58","2","40","7","0.19","100","1.16","66.6","23","ATL","Isaiah Oliver","RCB","72","210","4.5","39","","8","87","21","0.51","75","2.05","50.8"
"DAL","Amari Cooper","RWR","73","210","4.42","43","26","16","56","30","0.42","77","1.88","71.3","38","ATL","A.J. Terrell","LCB","73","190","4.42","39","90","3","","15","0.56","100","2.56","44.7"
"DAL","CeeDee Lamb","Slot","74","191","4.5","40","5","92","","18","0.27","71","1.48","55.8","12","ATL","Darqueze Dennard","Slot","71","200","4.51","27","","93","","22","0.34","83","1.56","50.6"
"DEN","Tim Patrick","LWR","77","210","","28","57","4","39","18","0.25","80","1.04","64.4","-10","PIT","Steven Nelson","RCB","71","194","4.49","47","","","96","15","0.56","86","1.74","54.4"
"DEN","DaeSean Hamilton","RWR","73","203","","29","38","10","52","7","0.1","50","0.62","55.9","-30","PIT","Joe Haden","LCB","71","195","4.52","48","88","","2","6","0.07","67","0.29","56.2"
"DEN","Jerry Jeudy","Slot","73","192","4.45","28","4","82","14","32","0.34","44","2","57.1","-16","PIT","Mike Hilton","Slot","69","184","","25","","64","","16","0.32","75","1.96","54.6"
"DET","Quintez Cephus","LWR","73","207","4.73","35","54","14","31","26","0.21","33","1.23","57.1","-10","GB","Kevin King","RCB","75","200","4.43","31","29","3","55","16","0.28","60","1.81","56.8"
"DET","MARVIN JONES JR.","RWR","74","198","","47","28","38","32","17","0.2","50","1.17","65.7","-2","GB","JAIRE ALEXANDER","LCB","70","196","4.38","28","61","","39","25","0.59","57","2.36","71"
"DET","Danny Amendola","Slot","71","190","4.58","31","9","76","6","23","0.42","71","2.61","82.9","34","GB","Chandon Sullivan","Slot","71","194","4.6","25","4","68","","8","0.24","100","1.56","36.1"
"GB","Davante Adams","LWR","73","215","4.56","43","49","23","28","40","0.97","82","3.63","85.1","24","DET","Amani Oruwariye","RCB","73","205","4.47","40","","10","80","10","0.2","75","1.27","64.9"
"GB","Marquez Valdes-Scantling","RWR","76","206","4.37","29","28","41","31","21","0.68","67","3.31","57.5","-29","DET","Darryl Roberts","LCB","72","182","","22","36","55","","23","0.15","20","1","75.8"
"GB","Allen Lazard","Slot","77","227","4.55","38","18","58","24","11","0.43","100","1.66","70","33","DET","Tony McRae","Slot","70","185","","14","","71","7","36","1.56","80","4.21","43.7"
"HST","Brandin Cooks","LWR","70","183","4.33","19","32","26","42","21","0.21","50","1.05","68.5","6","BLT","Jimmy Smith","RCB","74","210","4.42","15","","40","","7","0.13","100","0.6","60.8"
"HST","Will Fuller V","RWR","72","184","4.32","32","47","28","25","34","0.6","73","3.5","73.5","18","BLT","Marcus Peters","LCB","72","195","4.53","40","98","2","","18","0.18","57","0.8","52.9"
"HST","Randall Cobb","Slot","70","192","4.46","34","21","74","6","9","0.13","67","0.68","56","9","BLT","Marlon Humphrey","Slot","72","197","4.41","38","","11","84","11","0.04","25","0.16","59"
"IND","Michael Pittman Jr.","LWR","76","220","4.52","24","50","8","42","8","0.12","100","0.42","53.1","-12","MIN","Mike Hughes","RCB","70","189","4.53","36","42","50","3","17","0.56","100","2.25","54.8"
"IND","T.Y. Hilton","RWR","70","183","4.34","40","42","10","48","22","0.23","44","1.32","64.1","34","MIN","Holton Hill","LCB","74","196","4.49","34","21","15","65","32","0.64","64","2.56","29"
"IND","Parris Campbell","Slot","72","205","4.31","39","5","95","","23","0.34","67","1.82","72.3","-3","MIN","Jeff Gladney","Slot","72","183","4.48","4","25","75","","","","","","69.9"
"JAX","Laviska Shenault Jr.","LWR","74","220","4.58","18","17","28","50","22","0.71","75","2.06","67.8","-3","TEN","Malcolm Butler","RCB","71","190","","33","","9","91","12","0.15","75","0.64","54.2"
"JAX","D.J. Chark Jr.","RWR","76","198","4.34","26","38","19","42","12","0.44","100","0.96","70.7","-3","TEN","Johnathan Joseph","LCB","71","186","4.31","24","96","","","12","0.14","67","0.54","60.4"
"JAX","Keelan Cole","Slot","73","194","","22","32","68","","23","0.71","100","2.14","72.6","36","TEN","Chris Jackson","Slot","72","186","","20","5","65","","25","0.22","40","1.2","28.7"
"KC","Demarcus Robinson","LWR","73","203","4.59","17","41","29","24","35","0.29","50","1.18","68.5","16","LAC","Michael Davis","RCB","74","196","","41","","2","98","","","","","73.4"
"KC","Sammy Watkins","RWR","73","211","4.43","28","28","34","38","32","0.76","78","2.93","84.3","62","LAC","Casey Hayward Jr.","LCB","71","192","","44","89","5","","36","0.37","50","1.86","31.3"
"KC","Tyreek Hill","Slot","70","185","","30","23","60","17","20","0.52","83","1.53","71.2","24","LAC","Chris Harris Jr.","Slot","70","199","","41","2","85","7","5","0.06","50","0.34","73.7"
"LA","Josh Reynolds","LWR","75","196","4.52","17","41","35","24","6","0.16","100","1","64.7","21","PHI","Avonte Maddox","RCB","69","180","4.39","35","51","6","26","23","0.43","50","1.49","36.8"
"LA","ROBERT WOODS","RWR","72","195","4.51","29","21","48","31","21","0.57","100","3.62","76.7","15","PHI","DARIUS SLAY","LCB","72","190","4.36","36","33","8","58","14","0.17","60","0.83","65.4"
"LA","Cooper Kupp","Slot","74","208","4.62","30","23","52","26","13","0.27","100","1.33","67","22","PHI","Nickell Robey-Coleman","Slot","68","180","","29","","100","","10","0.21","100","1.07","63.1"
"LAC","Jalen Guyton","LWR","73","202","","23","22","35","43","4","0.11","100","0.7","54.4","-25","KC","Rashad Fenton","RCB","71","193","4.52","23","4","","83","9","0.22","100","1.35","55.9"
"LAC","Mike Williams","RWR","76","220","","30","33","20","47","27","0.36","50","2.3","63.3","-3","KC","L'Jarius Sneed","LCB","73","193","4.37","37","76","3","14","16","0.11","33","0.51","58.5"
"LAC","Keenan Allen","Slot","74","211","4.58","31","34","50","16","23","0.25","57","1.19","69.5","-4","KC","Tyrann Mathieu","Slot","69","185","4.5","36","","36","","11","0.14","75","0.58","63.6"
"LV","Henry Ruggs III","LWR","72","190","4.27","22","9","59","32","23","0.39","60","2.5","63.8","21","NO","Marshon Lattimore","RCB","72","192","4.36","41","32","12","54","10","0.24","50","0.41","41.6"
"LV","Bryan Edwards","RWR","75","215","","20","70","10","20","5","0.1","100","0.45","60.2","-28","NO","Janoris Jenkins","LCB","70","190","","39","41","5","41","23","0.43","78","2.51","82"
"LV","Hunter Renfrow","Slot","70","184","4.59","18","11","61","28","11","0.23","100","1.17","69.9","7","NO","Chauncey Gardner-Johnson","Slot","72","208","4.48","36","3","81","3","19","0.31","100","1.19","69.4"
"MIA","Preston Williams","LWR","76","210","","33","48","","52","18","0.18","33","1.24","57.4","-12","BUF","Levi Wallace","RCB","72","179","4.63","39","","3","92","13","0.06","40","0.1","63.4"
"MIA","DeVante Parker","RWR","75","216","4.45","12","33","17","50","33","0.72","100","3.92","87.6","19","BUF","Tre'Davious White","LCB","71","192","4.47","30","93","","","7","0.03","50","","73.6"
"MIA","Isaiah Ford","Slot","74","189","4.61","29","3","97","","17","0.11","40","0.45","45.3","-29","BUF","Taron Johnson","Slot","71","192","4.5","34","","97","","35","0.4","67","1.65","58.3"
"MIN","Olabisi Johnson","LWR","72","204","4.51","20","60","5","35","20","0.43","75","2.8","72.1","33","IND","Xavier Rhodes","RCB","73","218","4.43","22","","","86","14","0.56","100","1.5","48"
"MIN","Adam Thielen","RWR","74","200","","31","32","10","58","26","0.94","75","3.55","91.7","37","IND","Rock Ya-Sin","LCB","72","192","4.51","27","93","","","11","0.26","100","1.48","61.5"
"MIN","Justin Jefferson","Slot","75","192","4.43","26","8","88","4","12","0.18","67","1","53.4","-15","IND","Kenny Moore II","Slot","69","190","","24","","92","","12","0.13","67","0.5","65"
"NE","Damiere Byrd","LWR","69","180","","21","71","10","19","","","","","39.8","-16","SEA","Quinton Dunbar","RCB","74","197","","47","","2","96","21","0.38","60","2.53","40.5"
"NE","N'Keal Harry","RWR","74","228","4.53","19","37","26","37","26","0.47","100","2.05","57.6","-12","SEA","Shaquill Griffin","LCB","72","198","4.38","55","96","","","15","0.41","88","1.78","52.5"
"NE","Julian Edelman","Slot","70","198","","19","5","74","21","32","0.56","83","3","73.5","15","SEA","Marquise Blair","Slot","73","196","4.48","42","","93","2","19","0.53","88","2.19","45.6"
"NO","Tre'Quan Smith","LWR","74","210","4.49","25","19","48","30","4","0.06","100","0.16","54.5","12","LV","Damon Arnette","RCB","72","195","4.56","31","3","6","87","16","0.68","80","3.55","52.7"
"NO","Emmanuel Sanders","RWR","71","180","4.4","23","30","48","22","22","0.46","60","0.65","60.2","11","LV","Trayvon Mullen","LCB","74","199","4.46","38","92","3","","13","0.11","40","0.55","60.2"
"NO","Deonte Harris","Slot","66","170","","4","25","50","25","25","0.68","100","4.25","70.9","27","LV","Lamarcus Joyner","Slot","68","191","4.55","34","","88","6","21","0.27","71","1.24","62.4"
"NYG","Darius Slayton","LWR","73","190","4.39","42","57","2","40","19","0.67","75","2.43","76.6","2","CHI","Jaylon Johnson","RCB","72","195","4.5","47","","4","91","13","0.13","33","0.85","75.7"
"NYG","Damion Ratley","RWR","74","200","","15","67","7","27","","","","","46.8","-44","CHI","Kyle Fuller","LCB","71","190","4.49","47","89","","","13","0.04","17","0.15","76.9"
"NYG","Sterling Shepard","Slot","70","201","4.48","42","12","74","14","14","0.25","100","1.12","66.2","6","CHI","Buster Skrine","Slot","69","185","","38","","95","","21","0.27","62","1.34","55.1"
"NYJ","Chris Hogan","LWR","73","210","","37","51","16","32","11","0.03","25","","50.9","-23","SF","Emmanuel Moseley","RCB","71","184","","51","24","","65","25","0.34","69","1.61","63.6"
"NYJ","Breshad Perriman","RWR","74","215","","39","33","26","41","13","0.12","60","0.44","55.4","-14","SF","Ahkello Witherspoon","LCB","74","195","4.45","","","","","","","","",""
"NYJ","Braxton Berrios","Slot","69","190","","","","","","","","","","","-1","SF","K'Waun Williams","Slot","69","185","","29","3","97","","14","0.1","50","0.31","57.1"
"PHI","Jalen Reagor","LWR","71","195","4.47","30","53","3","43","13","0.22","25","1.83","45.6","-27","LA","Darious Williams","RCB","69","187","","41","41","","59","10","0.14","75","0.66","69.1"
"PHI","DeSean Jackson","RWR","70","175","4.35","30","27","27","47","20","0.22","33","1.53","63.4","20","LA","Jalen Ramsey","LCB","73","208","4.41","45","51","","38","20","0.36","89","1.8","66.6"
"PHI","Greg Ward","Slot","71","186","","25","","100","","28","0.32","71","1.24","55.4","-9","LA","Troy Hill","Slot","71","183","4.55","43","7","91","2","14","0.33","100","1.86","57"
"PIT","Diontae Johnson","LWR","70","183","4.6","34","47","12","41","29","0.34","60","1.68","59","2","DEN","Michael Ojemudia","RCB","73","199","4.45","38","13","","82","11","0.09","50","0.42","67.7"
"PIT","James Washington","RWR","71","213","4.54","25","28","24","48","12","0.46","67","1.36","68.1","-5","DEN","Bryce Callahan","LCB","69","188","","44","55","20","25","14","0.24","83","1.23","66.3"
"PIT","JuJu Smith-Schuster","Slot","73","215","4.54","36","11","83","6","17","0.69","100","1.92","78.1","19","DEN","Essang Bassey","Slot","70","190","4.46","27","","93","","15","0.23","100","0.81","64.5"
"SEA","D.K. Metcalf","LWR","75","229","4.33","39","54","23","23","18","0.5","57","2.44","68.8","-23","NE","J.C. Jackson","RCB","73","198","4.46","30","43","7","50","13","0.13","50","0.6","81.9"
"SEA","David Moore","RWR","72","215","","22","9","36","50","9","0.2","100","1.14","64.1","-2","NE","Stephon Gilmore","LCB","73","202","4.38","34","50","15","35","21","0.33","71","1.85","52.8"
"SEA","Tyler Lockett","Slot","70","182","4.4","38","11","68","16","21","0.45","100","2.42","74.6","3","NE","Jonathan Jones","Slot","70","190","4.33","27","","85","4","15","0.07","25","0.3","76.2"
"SF","Dante Pettis","LWR","73","195","","31","45","13","42","3","","","","50.2","-18","NYJ","Blessuan Austin","RCB","73","195","","52","","4","96","10","0.08","60","0.23","60.7"
"SF","Kendrick Bourne","RWR","73","203","4.68","36","22","44","33","14","0.15","40","0.94","58.7","25","NYJ","Pierre Desir","LCB","73","198","4.59","21","100","","","19","0.97","100","2.05","34.3"
"SF","Mohamed Sanu","Slot","74","215","4.62","","","","","","","","","","-6","NYJ","Brian Poole","Slot","69","213","","48","","81","2","15","0.17","57","0.9","59.8"
"TB","Mike Evans","LWR","77","231","4.53","39","36","33","31","10","0.18","25","0.05","48.4","2","CAR","Donte Jackson","RCB","70","180","4.32","5","","","60","","","","","66.4"
"TB","Justin Watson","RWR","75","215","","7","43","14","43","29","0.23","50","0.86","64.1","38","CAR","Troy Pride Jr.","LCB","72","190","4.4","29","76","7","14","21","0.78","100","3.66","31.2"
"TB","Scotty Miller","Slot","71","174","","32","38","19","44","16","0.38","100","2.28","70.7","26","CAR","Juston Burris","Slot","72","212","4.53","25","4","28","4","4","0.07","100","0.32","46.7"
"TEN","Kalif Raymond","LWR","68","182","","8","38","12","50","25","","","","42.4","1","JAX","Tre Herndon","RCB","71","185","","47","","2","91","13","0.24","50","0.49","52.4"
"TEN","Corey Davis","RWR","75","209","","39","18","18","64","21","0.44","88","2.59","82.1","-8","JAX","C.J. Henderson","LCB","73","191","4.39","38","87","11","3","26","0.28","50","1.53","84.2"
"TEN","Adam Humphries","Slot","71","195","","33","6","88","6","18","0.32","100","1.42","70.6","40","JAX","D.J. Hayden","Slot","71","190","4.4","41","5","95","","20","0.43","88","2.59","29.7"
"WAS","Terry McLaurin","LWR","72","208","4.35","36","56","22","22","19","0.31","71","1.69","67.7","12","ARZ","Dre Kirkpatrick","RCB","74","196","4.5","15","","33","60","27","0.35","75","1.53","64.4"
"WAS","Dontrelle Inman","RWR","75","205","","27","26","19","56","19","0.15","40","0.78","67.3","3","ARZ","Patrick Peterson","LCB","73","203","4.31","37","78","19","3","8","","","","62.9"
"WAS","Steven Sims","Slot","70","176","","34","3","76","18","9","0.24","100","1.47","62.9","-22","ARZ","Byron Murphy","Slot","71","190","4.55","36","3","50","47","14","0.13","40","0.75","72.5"
