player,player_id,position,team_name,player_game_count,block_percent,declined_penalties,franchise_id,grades_offense,grades_pass_block,grades_run_block,hits_allowed,hurries_allowed,non_spike_pass_block,non_spike_pass_block_percentage,pass_block_percent,pbe,penalties,pressures_allowed,sacks_allowed,snap_counts_block,snap_counts_ce,snap_counts_lg,snap_counts_lt,snap_counts_offense,snap_counts_pass_block,snap_counts_pass_play,snap_counts_rg,snap_counts_rt,snap_counts_run_block,snap_counts_te
Michael Woods II,84117,WR,CLV,1,24.2,0,8,61.8,66.2,53.6,0,0,1,2.0,2.0,100.0,0,0,0,16,0,0,0,66,1,51,0,0,15,5
C.J. Uzomah,9590,TE,PHI,1,80.0,0,24,69.9,69.6,72.3,0,0,1,25.0,20.0,100.0,0,0,0,16,0,0,0,20,1,5,0,0,15,19
Jaxon Smith-Njigba,129758,WR,SEA,1,33.3,0,29,72.5,,50.0,0,0,0,0.0,0.0,,0,0,0,16,0,0,0,48,0,31,0,0,16,0
Ricky Pearsall,100660,WR,SF,1,45.7,0,28,52.6,,60.4,0,0,0,0.0,0.0,,0,0,0,16,0,0,0,35,0,19,0,0,16,0
CeeDee Lamb,61570,WR,DAL,1,31.4,0,9,47.0,,34.9,0,0,0,0.0,0.0,,0,0,0,16,0,0,0,51,0,35,0,0,16,0
Kendrick Bourne,12270,WR,NE,1,34.8,0,19,68.9,,47.0,0,0,0,0.0,0.0,,0,0,0,16,0,0,0,46,0,29,0,0,16,0
Kylen Granson,40630,TE,IND,1,50.0,0,14,48.8,69.8,70.1,0,0,1,6.3,5.9,100.0,0,0,0,16,0,0,0,32,1,17,0,0,15,19
Patrick Ricard,48862,FB,BLT,1,84.2,0,3,59.1,64.2,60.1,0,0,5,62.5,62.5,100.0,0,0,0,16,0,0,0,19,5,8,0,0,11,9
Malik Nabers,146759,WR,NYG,1,26.7,0,21,78.3,,54.8,0,0,0,0.0,0.0,,0,0,0,16,0,0,0,60,0,44,0,0,16,1
Dalton Schultz,47304,TE,HST,1,37.2,0,13,67.9,37.8,44.6,0,0,3,10.0,10.0,100.0,0,0,0,16,0,0,0,43,3,30,0,0,13,34
