"offPlayer","offHeightInches","offWeight","offRoutes","offBlockPct","offInline","offSlot","offWide","offTr","offFr","offCPct","offYprr","offGrade","adv","defPlayer","defHeightInches","defWeight","defRoutes","defTr","defFr","defCPct","defYprr","defGrade"
"Trey McBride","75","246","84","2","44","49","7","24","0.31","70","1.45","71.2","-10","Bobby Wagner","72","241","93","12","0.21","82","1.14","74.8"
"Kyle Pitts","78","246","76","6","40","40","21","14","0.32","73","1.39","60.4","-13","Demario Davis","74","248","102","9","0.13","78","0.65","73.3"
"Isaiah Likely","76","241","63","6","39","49","12","25","0.51","75","2.24","88.5","52","Baylon Spector","72","233","79","14","0.19","73","0.9","50.3"
"Dalton Kincaid","75","240","56","5","25","59","12","18","0.4","80","1.52","78.7","21","Trenton Simpson","74","238","73","18","0.28","85","1.32","59.7"
"Tommy Tremble","76","250","43","10","54","33","10","16","0.26","86","1.21","54.1","-51","Logan Wilson","74","245","84","7","0.13","100","0.6","80.9"
"Cole Kmet","78","260","81","11","41","47","8","21","0.42","88","1.58","74.6","25","Christian Rozeboom","74","230","68","15","0.27","90","1.4","44.7"
"Mike Gesicki","78","245","59","3","16","61","23","31","0.5","78","2.64","67.6","24","Josey Jewell","74","236","67","12","0.19","75","0.97","57.6"
"Jordan Akins","76","245","84","8","53","35","10","11","0.17","89","0.79","58.4","-15","Robert Spillane","73","229","90","12","0.28","82","1.12","56.8"
"Jake Ferguson","77","244","61","6","28","55","12","26","0.33","56","1.8","64.4","-1","Micah McFadden","74","232","45","9","0.15","100","0.64","89.5"
"Greg Dulcich","76","245","71","8","36","47","17","14","0.11","50","0.39","40.3","-48","Quincy Williams","71","225","95","22","0.3","81","1.18","75.3"
"Sam LaPorta","75","245","89","8","46","25","26","10","0.2","89","1.06","57.1","14","Tyrel Dodson","72","237","109","9","0.09","60","0.31","69.5"
"Tucker Kraft","77","259","56","11","52","30","14","12","0.24","86","1.38","58.1","-20","Ivan Pace Jr.","70","231","39","15","0.47","83","1.87","55.7"
"Dalton Schultz","77","244","102","11","66","21","5","11","0.12","64","0.47","49.2","19","Antonio Johnson","74","195","114","9","0.17","70","1.1","44.3"
"Kylen Granson","74","242","49","8","26","64","9","8","0.14","50","1","47.6","-47","Elandon Roberts","73","238","21","24","0.28","80","0.9","61.7"
"Brenton Strange","76","247","59","16","33","59","7","20","0.32","42","1.31","58.2","-31","Azeez Al-Shaair","74","228","87","9","0.25","75","1.14","67.6"
"Travis Kelce","77","250","91","4","34","41","22","14","0.16","62","0.76","60.7","21","Denzel Perryman","71","240","51","12","0.2","100","0.8","65.9"
"Colby Parkinson","79","251","93","11","73","16","11","13","0.17","67","0.86","60.4","20","T.J. Edwards","73","242","90","17","0.37","93","1.5","52.9"
"Hayden Hurst","76","245","56","","29","55","16","12","0.18","71","0.95","42.1","-22","Nick Bolton","71","237","101","11","0.25","82","1.06","66.8"
"Brock Bowers","76","240","84","3","26","61","11","24","0.45","90","2.35","77.9","-2","Grant Delpit","75","208","100","9","0.13","78","0.57","70.4"
"Jonnu Smith","75","248","64","3","9","62","24","20","0.26","69","1.22","50.4","-20","Ernest Jones","74","230","63","5","0.12","100","0.75","67.2"
"Johnny Mundt","76","233","65","6","39","38","23","12","0.21","62","0.45","45.1","2","Quay Walker","76","241","107","12","0.17","69","0.9","41.8"
"Hunter Henry","77","258","75","5","32","61","3","23","0.34","71","1.81","70.1","-29","Fred Warner","75","230","86","8","0.07","43","0.33","94.2"
"Foster Moreau","76","250","32","33","73","27","","16","0.48","100","1.41","66","-9","Kaden Elliss","75","238","94","12","0.28","91","1.07","57.7"
"Theo Johnson","78","264","85","21","48","43","8","7","0.06","33","0.36","43.2","-34","Damone Clark","75","240","33","6","0.06","50","0.27","67.3"
"Tyler Conklin","75","254","94","3","41","52","7","10","0.19","78","1.16","60.4","-10","P.J. Locke","70","202","92","7","0.14","83","0.22","74.6"
"Dallas Goedert","77","256","106","1","41","43","14","18","0.39","89","2.25","66.3","34","K.J. Britt","72","235","51","12","0.21","83","1.12","44.3"
"Pat Freiermuth","77","258","72","3","34","39","27","18","0.3","92","1.38","62","-16","E.J. Speed","75","227","97","15","0.24","80","1.18","58.4"
"Noah Fant","76","249","76","11","32","56","11","17","0.23","69","1.12","59.2","2","Brian Branch","72","203","109","14","0.17","67","0.83","72"
"George Kittle","76","250","62","9","57","26","13","21","0.46","85","1.87","70.8","47","Kyle Dugger","74","222","109","14","0.29","73","1.31","59"
"Cade Otton","77","247","91","6","48","31","21","12","0.15","73","0.57","50.4","-13","Zack Baun","75","225","78","22","0.3","76","1.31","63.3"
"Chigoziem Okonkwo","75","238","60","3","37","44","16","12","0.29","100","0.77","49.2","-8","David Long Jr.","71","227","71","20","0.46","93","1.97","50.1"
"Zach Ertz","77","250","82","6","29","54","15","16","0.3","92","1.56","58.2","15","Kyzir White","74","234","70","17","0.39","83","2.44","32.6"
