"offPlayer","offHeightInches","offWeight","offRoutes","offBlockPct","offInline","offSlot","offWide","offTr","offFr","offCPct","offYprr","offGrade","adv","defPlayer","defHeightInches","defWeight","defRoutes","defTr","defFr","defCPct","defYprr","defGrade"
"Trey McBride","75","246","172","2","41","52","6","25","0.38","77","1.87","77.9","27","David Long Jr.","71","227","102","15","0.35","93","1.5","41.6"
"Kyle Pitts","78","246","213","6","39","38","23","17","0.3","69","1.54","60.8","30","K.J. Britt","72","235","202","10","0.2","80","0.91","38.4"
"Isaiah Likely","76","241","148","3","30","59","11","19","0.41","71","1.51","75.6","15","Grant Delpit","75","208","177","8","0.09","71","0.38","64"
"Dalton Kincaid","75","240","156","4","30","56","12","23","0.36","67","1.72","75.3","9","Tyrel Dodson","72","237","226","9","0.12","70","0.62","67.6"
"Tommy Tremble","76","250","85","9","54","33","12","11","0.15","78","0.69","44.7","-65","Brandon Jones","73","191","242","7","0.07","69","0.24","89.8"
"Cole Kmet","78","260","157","9","43","45","7","18","0.46","90","1.84","76","2","Bobby Wagner","72","241","189","10","0.18","74","0.79","83.7"
"Mike Gesicki","78","245","128","2","10","65","25","17","0.28","82","1.41","61.5","7","Zack Baun","75","225","171","16","0.19","74","0.76","64.5"
"David Njoku","76","246","109","3","56","29","13","24","0.39","77","1.51","70.2","9","Trenton Simpson","74","238","151","14","0.3","86","1.02","64.7"
"Jake Ferguson","77","244","161","3","29","58","11","21","0.3","74","1.49","58.7","-7","Fred Warner","75","230","210","13","0.22","81","0.84","92"
"Lucas Krull","78","260","61","","49","33","16","13","0.19","75","0.93","56.3","-42","Chandler Wooten","75","230","13","8","0.1","100","0.23","62.2"
"Sam LaPorta","75","245","151","10","52","21","23","10","0.28","93","1.48","62.8","10","Ernest Jones","74","230","144","10","0.19","86","1.05","62.5"
"Tucker Kraft","77","259","192","7","55","31","13","14","0.37","78","1.38","57.6","33","Darnell Savage","71","198","134","11","0.19","67","0.7","47.4"
"Dalton Schultz","77","244","222","12","58","27","9","15","0.16","58","0.77","54.1","7","E.J. Speed","75","227","193","17","0.26","84","1.23","50.4"
"Mo Alie-Cox","77","267","72","27","85","15","","15","0.32","64","1.39","72.2","-37","Neville Hewitt","74","234","58","9","0.08","60","0.26","78.1"
"Evan Engram","75","240","66","6","40","41","17","29","0.46","84","2.15","70.1","19","Isaiah McDuffie","73","227","165","18","0.35","79","1.36","52.3"
"Travis Kelce","77","250","190","4","31","38","29","19","0.28","76","1.29","69.5","32","Divine Deablo","75","223","77","13","0.26","100","1.31","62.8"
"Colby Parkinson","79","251","168","10","72","19","9","20","0.24","64","1.17","66","21","Ivan Pace Jr.","70","231","65","17","0.45","91","2","55.4"
"Will Dissly","76","265","85","14","65","22","12","29","0.47","84","2.26","71.7","7","Demario Davis","74","248","210","10","0.19","86","0.95","59"
"Brock Bowers","76","240","211","4","23","60","17","28","0.48","80","2.26","88.3","15","Nick Bolton","71","237","180","9","0.18","82","0.71","76.3"
"Jonnu Smith","75","248","118","9","13","58","24","23","0.43","78","2","69.2","37","Kyzir White","74","234","186","13","0.28","88","1.6","44.3"
"Johnny Mundt","76","233","129","4","41","36","24","13","0.21","76","0.64","49.4","-17","Christian Rozeboom","74","230","116","21","0.46","88","1.79","47.8"
"Hunter Henry","77","258","203","5","35","57","5","18","0.32","75","1.54","65.9","-26","Quincy Williams","71","225","202","16","0.29","88","1.22","76.9"
"Juwan Johnson","76","231","149","10","56","35","10","13","0.23","79","0.91","60.6","10","Denzel Perryman","71","240","94","13","0.22","100","0.97","61.2"
"Theo Johnson","78","264","214","14","45","44","9","7","0.11","69","0.54","44.1","-48","Payton Wilson","76","238","114","15","0.23","88","1.02","65.4"
"Tyler Conklin","75","254","242","5","43","47","11","13","0.2","74","0.82","58.5","-1","Kyle Dugger","74","222","167","10","0.2","75","0.9","63.7"
"Grant Calcaterra","76","240","87","7","46","45","7","11","0.25","90","1.46","53.8","-38","Logan Wilson","74","245","238","8","0.17","95","0.61","76.1"
"Pat Freiermuth","77","258","179","4","34","42","23","15","0.34","89","1.37","66.8","-10","Isaiah Simmons","76","238","46","13","0.15","50","0.8","68.5"
"Noah Fant","76","249","208","6","28","52","16","13","0.24","86","1.26","63.6","23","Terrel Bernard","73","224","139","13","0.18","67","0.9","59.2"
"George Kittle","76","250","174","13","55","31","13","24","0.58","81","2.16","84.4","52","DeMarvion Overshown","75","220","136","18","0.38","92","1.62","57.2"
"Cade Otton","77","247","238","11","52","29","19","16","0.25","69","1.11","58.6","16","Kaden Elliss","75","238","209","12","0.27","88","1.05","58.8"
"Chigoziem Okonkwo","75","238","124","3","41","39","17","14","0.26","88","0.92","54.9","-42","Brian Branch","72","203","179","12","0.15","62","0.77","91.9"
"Zach Ertz","77","250","192","4","31","54","14","17","0.3","76","1.4","54.9","-16","T.J. Edwards","73","242","179","14","0.26","88","1.06","64.8"
