"offPlayer","offHeightInches","offWeight","offRoutes","offBlockPct","offInline","offSlot","offWide","offTr","offFr","offCPct","offYprr","offGrade","adv","defPlayer","defHeightInches","defWeight","defRoutes","defTr","defFr","defCPct","defYprr","defGrade"
"Trey McBride","75","246","290","2","42","51","7","26","0.45","80","2.36","85.2","16","Ivan Pace Jr.","70","231","142","16","0.37","83","1.55","62.1"
"Kyle Pitts","78","246","308","5","36","40","23","16","0.33","70","1.6","64.1","-4","Troy Dye","75","225","52","12","0.2","100","0.85","72.3"
"Mark Andrews","77","247","250","6","20","60","20","18","0.46","84","1.69","81.1","-3","Zack Baun","75","225","326","14","0.19","77","0.79","87.2"
"Dalton Kincaid","75","240","223","3","29","58","12","25","0.37","62","1.6","74.9","27","De'Vondre Campbell","75","232","343","15","0.25","86","1.09","54.2"
"Tommy Tremble","76","250","130","10","50","36","12","11","0.14","71","0.59","45.7","-36","K.J. Britt","72","235","292","10","0.19","77","0.89","45.8"
"Cole Kmet","78","260","328","11","36","51","9","14","0.3","83","1.29","68","-25","Brian Branch","72","203","320","13","0.13","55","0.62","89.7"
"Mike Gesicki","78","245","265","2","10","66","23","18","0.32","72","1.45","67.8","4","Elandon Roberts","73","238","101","13","0.23","77","1.35","79.9"
"David Njoku","76","246","260","3","54","32","14","20","0.33","77","1.33","64","13","Justin Strnad","75","235","219","18","0.26","80","1.13","63.3"
"Luke Schoonmaker","77","250","114","11","45","43","10","21","0.35","71","1.46","57.6","-33","Isaiah Simmons","76","238","74","11","0.12","50","0.65","68.7"
"Adam Trautman","77","253","135","32","68","18","14","10","0.23","64","1.17","60","-28","Jordan Hicks","73","236","145","10","0.16","79","0.89","67.8"
"Sam LaPorta","75","245","239","9","53","23","20","15","0.35","80","1.61","69.1","29","T.J. Edwards","73","242","319","13","0.29","88","1.35","62"
"Tucker Kraft","77","259","296","5","55","32","12","13","0.36","79","1.36","61.1","11","Tyrel Dodson","72","237","329","10","0.16","79","0.82","66.7"
"Dalton Schultz","77","244","371","12","58","27","10","15","0.19","63","0.98","60.9","0","Foyesade Oluokun","74","230","209","11","0.21","86","0.92","71.4"
"Kylen Granson","74","242","162","5","42","46","11","9","0.1","47","0.58","54.7","-35","Kyle Dugger","74","222","229","10","0.26","79","1.02","50.9"
"Evan Engram","75","240","174","5","41","39","20","28","0.41","73","1.67","74.6","0","Henry To'oTo'o","73","228","262","13","0.3","82","1.06","59.4"
"Travis Kelce","77","250","382","4","32","39","28","23","0.36","78","1.49","70.3","56","Divine Deablo","75","223","184","14","0.34","92","1.42","51.8"
"Davis Allen","78","245","110","9","75","14","10","11","0.09","50","0.35","44.9","-11","Demario Davis","74","248","353","9","0.14","77","0.7","69.3"
"Will Dissly","76","265","207","10","53","29","16","24","0.42","82","1.93","71.2","12","Kaden Elliss","75","238","340","13","0.27","84","1.01","65.6"
"Brock Bowers","76","240","368","6","24","56","18","26","0.45","78","2.02","83.1","15","Nick Bolton","71","237","325","12","0.22","85","0.85","65.6"
"Jonnu Smith","75","248","255","7","21","52","23","24","0.49","79","2.1","77.8","34","Isaiah McDuffie","73","227","224","17","0.32","81","1.33","57"
"T.J. Hockenson","77","248","107","2","52","34","14","23","0.4","80","2.11","78.4","33","Kyzir White","74","234","314","12","0.23","87","1.24","52.1"
"Hunter Henry","77","258","380","5","38","55","5","18","0.29","75","1.41","69.2","4","E.J. Speed","75","227","363","16","0.28","84","1.25","53.9"
"Taysom Hill","74","221","87","4","23","38","22","28","0.38","75","1.72","76","34","Christian Rozeboom","74","230","238","18","0.35","81","1.57","55.7"
"Theo Johnson","78","264","331","14","45","46","8","11","0.17","63","0.84","51.9","-45","Eric Kendricks","72","232","279","9","0.16","62","0.89","67.9"
"Tyler Conklin","75","254","349","5","42","48","11","11","0.19","72","0.72","55.9","-1","Ernest Jones","74","230","283","11","0.2","84","1.03","65.4"
"Dallas Goedert","77","256","198","1","45","43","11","21","0.41","85","2.05","60.9","11","Trenton Simpson","74","238","312","11","0.23","88","0.99","59.7"
"Pat Freiermuth","77","258","284","4","32","48","20","13","0.31","92","1.25","67.7","6","Logan Wilson","74","245","348","9","0.18","88","0.65","71.6"
"AJ Barner","78","251","172","9","43","45","11","14","0.24","79","0.97","59.4","-18","Quincy Williams","71","225","329","15","0.25","81","1.09","67.2"
"George Kittle","76","250","259","13","58","30","10","22","0.62","84","2.48","90.8","56","Terrel Bernard","73","224","227","15","0.24","70","0.9","61"
"Cade Otton","77","247","374","9","50","32","17","19","0.33","71","1.3","61.8","10","Josey Jewell","74","236","246","12","0.24","77","1.19","65.9"
"Chigoziem Okonkwo","75","238","245","6","44","35","18","13","0.25","75","1.07","49.6","-45","Bobby Wagner","72","241","325","8","0.14","72","0.66","82.5"
"Zach Ertz","77","250","350","2","29","57","13","19","0.32","74","1.33","62.3","-1","Jerome Baker","74","225","211","15","0.22","75","1.1","60.9"
