id,player,team,opponent,position,salary,ownership
24484524,Deebo Samuel,SF,CAR,WR,7700,21.1
24484156,Josh Allen,BUF,PIT,QB,8200,20.7
24484250,Alvin Kamara,NO,SEA,RB,6600,20.3
24484516,Cooper Kupp,LAR,DAL,WR,9600,19.2
24484248,Leonard Fournette,TB,ATL,RB,6900,19.0
24484520,Stefon Diggs,BUF,PIT,WR,8400,17.1
24484990,Tyler Higbee,LAR,DAL,TE,4300,14.2
24484238,Derrick Henry,TEN,WAS,RB,8200,13.5
24484518,Justin Jefferson,MIN,CHI,WR,8900,12.9
24484528,A.J. Brown,PHI,ARI,WR,7500,12.6
24484244,Dalvin Cook,MIN,CHI,RB,7300,12.5
24484252,Miles Sanders,PHI,ARI,RB,6500,12.3
24484157,Jalen Hurts,PHI,ARI,QB,8100,12.2
24484522,Tyreek Hill,MIA,NYJ,WR,8000,10.9
24485242,Buffalo Bills,BUF,PIT,D,4100,10.7
24484988,Kyle Pitts,ATL,TB,TE,4400,10.7
24484536,Mike Evans,TB,ATL,WR,6900,10.6
24484270,Devin Singletary,BUF,PIT,RB,6100,10.4
24484284,Damien Harris,NE,DET,RB,5600,9.6
24484290,Rhamondre Stevenson,NE,DET,RB,5500,9.6
24484242,Austin Ekeler,LAC,CLE,RB,7800,9.3
24484560,Chris Godwin,TB,ATL,WR,5900,9.2
24484542,Christian Kirk,JAC,HOU,WR,6600,9.2
24484268,Dameon Pierce,HOU,JAC,RB,6200,9.0
24484562,Drake London,ATL,TB,WR,5900,8.3
24484159,Justin Herbert,LAC,CLE,QB,7100,8.0
24484264,James Robinson,JAC,HOU,RB,6300,7.9
24484556,DeVonta Smith,PHI,ARI,WR,6000,7.6
24484540,Jaylen Waddle,MIA,NYJ,WR,6700,7.2
24484526,Amon-Ra St. Brown,DET,NE,WR,7600,7.2
24484534,CeeDee Lamb,DAL,LAR,WR,7000,7.2
24484236,Christian McCaffrey,CAR,SF,RB,8500,7.2
24484312,Raheem Mostert,MIA,NYJ,RB,5000,7.1
24485252,Tennessee Titans,TEN,WAS,D,3000,6.8
24484532,Mike Williams,LAC,CLE,WR,7100,6.8
24484544,Keenan Allen,LAC,CLE,WR,6600,6.8
24485244,San Francisco 49ers,SF,CAR,D,3800,6.5
24484254,Jamaal Williams,DET,NE,RB,6500,6.4
24484294,Breece Hall,NYJ,MIA,RB,5400,6.4
24484165,Tom Brady,TB,ATL,QB,6000,6.4
24485258,Carolina Panthers,CAR,SF,D,2600,6.1
24485250,Miami Dolphins,MIA,NYJ,D,3200,6.1
24485246,Minnesota Vikings,MIN,CHI,D,3600,5.8
24485248,Jacksonville Jaguars,JAC,HOU,D,3400,5.7
24484326,Zack Moss,BUF,PIT,RB,4700,5.6
24484632,Nick Westbrook-Ikhine,TEN,WAS,WR,4200,5.6
24484158,Kyler Murray,ARI,PHI,QB,7400,5.5
24484288,Jeff Wilson Jr.,SF,CAR,RB,5500,5.5
24484334,Tyler Allgeier,ATL,TB,RB,4700,5.5
24484558,Amari Cooper,CLE,LAC,WR,6000,5.5
24485245,Los Angeles Rams,LAR,DAL,D,3700,5.5
24484240,Nick Chubb,CLE,LAC,RB,8000,5.4
24484170,Trevor Lawrence,JAC,HOU,QB,5600,5.4
24484552,Brandin Cooks,HOU,JAC,WR,6100,5.4
24484570,Chris Olave,NO,SEA,WR,5700,5.4
24485243,Tampa Bay Buccaneers,TB,ATL,D,3900,5.4
24484282,Cam Akers,LAR,DAL,RB,5600,5.4
24484298,Chase Edmonds,MIA,NYJ,RB,5200,5.3
24485249,New Orleans Saints,NO,SEA,D,3300,5.3
24484548,Adam Thielen,MIN,CHI,WR,6300,5.2
24485255,Washington Commanders,WAS,TEN,D,2700,4.8
24484256,Najee Harris,PIT,BUF,RB,6500,4.8
