"RK","PLAYER NAME",TEAM,"OPP","MATCHUP RATING","START/SIT","PROJ. FPTS","AVG. POINTS (?)","% GAMES (?)"
"1","Alvin Kamara",NO,"vs. CAR"," 7.8","A+","23.2","+0.5","38% (5/13)"
"2","Aaron Jones",GB,"at HOU"," 7.2","A+","21.0","+3.2","60% (9/15)"
"3","Kareem Hunt",CLE,"at CIN"," 7.6","A+","20.0","+1.7","78% (11/14)"
"4","Ezekiel Elliott",DAL,"at WAS"," 6.0","A+","19.8","+0.1","50% (8/16)"
"5","Mike Davis",CAR,"at NO"," 4.2","A","19.6","+1.5","38% (5/13)"
"6","Derrick Henry",TEN,"vs. PIT"," 5.8","A","19.2","+5.2","71% (10/14)"
"7","James Conner",PIT,"at TEN"," 4.4","A","18.6","-1.6","55% (5/9)"
"8","Todd Gurley II",ATL,"vs. DET"," 9.2","A","17.4","-0.4","50% (8/16)"
"9","Chris Carson",SEA,"at ARI"," 6.8","A-","16.9","+0.8","53% (7/13)"
"10","Clyde Edwards-Helaire",KC,"at DEN"," 4.0","A","16.6","-1.4","50% (3/6)"
"11","Ronald Jones II",TB,"at LV"," 6.8","A-","15.8","+1.3","56% (9/16)"
"12","Joe Mixon",CIN,"vs. CLE"," 4.6","A-","15.7","+2.2","50% (8/16)"
"13","James Robinson",JAC,"at LAC"," 5.4","A-","15.6","+1.9","50% (3/6)"
"14","David Johnson",HOU,"vs. GB"," 7.6","B+","15.2","-3.6","21% (3/14)"
"15","Josh Jacobs",LV,"vs. TB"," 3.4","B+","15.2","-0.9","38% (5/13)"
"16","David Montgomery",CHI,"at LAR"," 8.2","B+","15.1","-0.3","35% (6/17)"
"17","Antonio Gibson",WAS,"vs. DAL"," 7.2","B","14.7","+0.4","50% (3/6)"
"18","Kenyan Drake",ARI,"vs. SEA"," 4.0","B","14.5","+3.0","33% (5/15)"
"19","Boston Scott",PHI,"vs. NYG"," 8.0","B","13.8","+1.7","31% (5/16)"
"20","D'Andre Swift",DET,"at ATL"," 7.0","B","13.1","+5.6","80% (4/5)"
"21","Devin Singletary",BUF,"at NYJ"," 6.4","B","13.0","-1.3","43% (7/16)"
"22","James White",NE,"vs. SF"," 7.0","B-","12.9","+0.9","46% (6/13)"
"23","Justin Jackson",LAC,"vs. JAC"," 4.6","B-","12.8","0.0","62% (5/8)"
"24","Darrell Henderson",LAR,"vs. CHI"," 7.0","B-","11.6","+0.9","40% (6/15)"
"25","Jerick McKinnon",SF,"at NE"," 7.0","C+","11.5","+1.4","66% (4/6)"
"26","Devonta Freeman",NYG,"at PHI"," 5.0","C+","11.4","-1.1","33% (4/12)"
"27","J.D. McKissic",WAS,"vs. DAL"," 5.0","C","10.9","-0.2","47% (8/17)"
"28","Phillip Lindsay",DEN,"vs. KC"," 8.0","C","10.6","-3.2","25% (3/12)"
"29","Chase Edmonds",ARI,"vs. SEA"," 3.2","C","9.5","+1.6","33% (4/12)"
"30","Adrian Peterson",DET,"at ATL"," 4.0","C","9.3","+1.9","60% (9/15)"
