"RK","PLAYER NAME",TEAM,"OPP","MATCHUP RATING","START/SIT","PROJ. FPTS","AVG. POINTS (?)","% GAMES (?)"
"1","DeAndre Hopkins",ARI,"vs. SEA"," 6.2","A+","22.4","0.0","53% (8/15)"
"2","Davante Adams",GB,"at HOU"," 8.4","A+","21.8","-0.8","54% (6/11)"
"3","Julio Jones",ATL,"vs. DET"," 4.0","A+","19.2","-1.0","38% (5/13)"
"4","Calvin Ridley",ATL,"vs. DET"," 3.8","A+","19.1","+1.4","58% (7/12)"
"5","Tyreek Hill",KC,"at DEN"," 6.2","A+","18.9","-1.8","43% (7/16)"
"6","Kenny Golladay",DET,"at ATL"," 7.4","A","18.2","+0.2","57% (8/14)"
"7","Stefon Diggs",BUF,"at NYJ"," 6.2","A","18.0","-1.5","31% (5/16)"
"8","D.K. Metcalf",SEA,"at ARI"," 5.8","A","17.8","+1.2","46% (7/15)"
"9","Keenan Allen",LAC,"vs. JAC"," 8.0","A","17.4","-0.8","46% (7/15)"
"10","Allen Robinson II",CHI,"at LAR"," 7.2","A","17.2","-0.4","47% (8/17)"
"11","Terry McLaurin",WAS,"vs. DAL"," 8.4","A","17.1","-2.2","26% (4/15)"
"12","Chris Godwin",TB,"at LV"," 7.0","A","17.1","-2.2","18% (2/11)"
"13","A.J. Brown",TEN,"vs. PIT"," 8.4","A","17.0","+3.4","69% (9/13)"
"14","Will Fuller V",HOU,"vs. GB"," 5.4","A","16.8","-1.2","54% (6/11)"
"15","Tyler Lockett",SEA,"at ARI"," 6.4","A","16.8","-2.0","26% (4/15)"
"16","Robert Woods",LAR,"vs. CHI"," 4.4","A-","16.4","+1.0","60% (9/15)"
"17","Robby Anderson",CAR,"at NO"," 9.8","A-","16.0","+0.9","58% (10/17)"
"18","Michael Thomas",NO,"vs. CAR"," 4.0","A","16.2","-1.9","72% (8/11)"
"19","Mike Evans",TB,"at LV"," 8.0","A-","15.9","+0.4","50% (6/12)"
"20","Amari Cooper",DAL,"at WAS"," 5.8","A-","15.9","-1.8","37% (6/16)"
"21","Cooper Kupp",LAR,"vs. CHI"," 5.4","A-","15.8","-2.1","43% (7/16)"
"22","D.J. Moore",CAR,"at NO"," 9.4","B+","15.8","-0.6","53% (8/15)"
"23","Chase Claypool",PIT,"at TEN"," 6.2","B+","15.5","+9.9","80% (4/5)"
"24","Tyler Boyd",CIN,"vs. CLE"," 6.2","B","15.3","-0.5","37% (6/16)"
"25","Odell Beckham Jr.",CLE,"at CIN"," 5.8","B","15.2","-1.2","31% (5/16)"
"26","Jamison Crowder",NYJ,"vs. BUF"," 6.2","B","14.7","+0.9","53% (8/15)"
"27","CeeDee Lamb",DAL,"at WAS"," 5.4","B","14.4","+3.7","83% (5/6)"
"28","D.J. Chark Jr.",JAC,"at LAC"," 5.4","B-","14.2","-1.7","21% (3/14)"
"29","Tee Higgins",CIN,"vs. CLE"," 6.6","B-","14.2","+3.7","66% (4/6)"
"30","Travis Fulgham",PHI,"vs. NYG"," 5.0","B-","14.1","+5.4","42% (3/7)"
"31","Darius Slayton",NYG,"at PHI"," 7.0","C+","13.8","+2.0","43% (7/16)"
"32","Brandin Cooks",HOU,"vs. GB"," 4.8","C+","13.4","-1.4","35% (5/14)"
"33","JuJu Smith-Schuster",PIT,"at TEN"," 6.4","C+","13.4","-4.1","27% (3/11)"
"34","Mike Williams",LAC,"vs. JAC"," 7.4","C+","13.0","+0.2","42% (6/14)"
"35","Christian Kirk",ARI,"vs. SEA"," 9.2","C+","12.7","-0.1","50% (7/14)"
"36","Deebo Samuel",SF,"at NE"," 5.6","C+","12.4","+2.5","69% (9/13)"
"37","Julian Edelman",NE,"vs. SF"," 4.8","C+","12.4","-2.5","26% (4/15)"
"38","Michael Gallup",DAL,"at WAS"," 5.2","C","12.1","-0.8","43% (7/16)"
"39","Laviska Shenault Jr.",JAC,"at LAC"," 5.2","C","12.0","+0.1","66% (4/6)"
"40","Tim Patrick",DEN,"vs. KC"," 4.0","C","11.2","+2.0","66% (8/12)"
"41","Jarvis Landry",CLE,"at CIN"," 6.6","C","11.0","+0.2","37% (6/16)"
