"RK","PLAYER NAME",TEAM,"OPP","MATCHUP ","START/SIT","PROJ. FPTS"
"1","Pittsburgh Steelers",PIT,"at JAC","4 out of 5 stars","A+","8.9"
"2","Los Angeles Chargers",LAC,"vs. NYJ","2 out of 5 stars","A","8.3"
"3","Miami Dolphins",MIA,"at DEN","5 out of 5 stars","A-","7.8"
"4","Washington Football Team",WAS,"vs. CIN","2 out of 5 stars","B+","7.5"
"5","Tampa Bay Buccaneers",TB,"vs. LAR","4 out of 5 stars","B+","7.3"
"6","Cleveland Browns",CLE,"vs. PHI","4 out of 5 stars","B","7.0"
"7","Minnesota Vikings",MIN,"vs. DAL","4 out of 5 stars","B","6.9"
"8","Baltimore Ravens",BAL,"vs. TEN","1 out of 5 stars","B","6.8"
"9","New Orleans Saints",NO,"vs. ATL","2 out of 5 stars","B-","6.4"
"10","Philadelphia Eagles",PHI,"at CLE","1 out of 5 stars","B-","6.4"
"11","New England Patriots",NE,"at HOU","2 out of 5 stars","C+","6.2"
"12","Kansas City Chiefs",KC,"at LV","2 out of 5 stars","C+","6.2"
"13","Los Angeles Rams",LAR,"at TB","4 out of 5 stars","C+","6.1"
"14","Green Bay Packers",GB,"at IND","3 out of 5 stars","C","6.0"
"15","Detroit Lions",DET,"at CAR","2 out of 5 stars","C","6.0"
"16","Cincinnati Bengals",CIN,"at WAS","5 out of 5 stars","C","5.9"
"17","Carolina Panthers",CAR,"vs. DET","2 out of 5 stars","C","5.8"
"18","Atlanta Falcons",ATL,"at NO","2 out of 5 stars","C-","5.8"
"19","Indianapolis Colts",IND,"vs. GB","1 out of 5 stars","D+","5.8"
"20","Denver Broncos",DEN,"vs. MIA","3 out of 5 stars","D+","5.7"
"21","Tennessee Titans",TEN,"at BAL","4 out of 5 stars","D","5.7"
"22","Houston Texans",HOU,"vs. NE","4 out of 5 stars","D-","5.7"
"23","Arizona Cardinals",ARI,"at SEA","4 out of 5 stars","D-","5.6"
"24","Seattle Seahawks",SEA,"vs. ARI","4 out of 5 stars","F","5.6"
"25","Dallas Cowboys",DAL,"at MIN","3 out of 5 stars","F","5.5"
"26","Las Vegas Raiders",LV,"vs. KC","1 out of 5 stars","F","5.2"
"27","New York Jets",NYJ,"at LAC","1 out of 5 stars","F","5.0"
"28","Jacksonville Jaguars",JAC,"vs. PIT","1 out of 5 stars","F","4.4"
