"RK","PLAYER NAME",TEAM,"OPP","MATCHUP ","START/SIT","PROJ. FPTS"
"1","Davante Adams",GB,"at DET","4 out of 5 stars","A+","15.6"
"2","Tyreek Hill",KC,"at MIA","3 out of 5 stars","A+","14.1"
"3","D.K. Metcalf",SEA,"vs. NYJ","4 out of 5 stars","A+","12.3"
"4","A.J. Brown",TEN,"at JAC","4 out of 5 stars","A+","11.3"
"5","Keenan Allen",LAC,"vs. ATL","5 out of 5 stars","A+","11.1"
"6","Calvin Ridley",ATL,"at LAC","2 out of 5 stars","A+","11.0"
"7","Julio Jones",ATL,"at LAC","2 out of 5 stars","A","11.0"
"8","Stefon Diggs",BUF,"vs. PIT","4 out of 5 stars","A","10.9"
"9","Adam Thielen",MIN,"at TB","4 out of 5 stars","A","10.8"
"10","Tyler Lockett",SEA,"vs. NYJ","4 out of 5 stars","A","10.7"
"11","DeAndre Hopkins",ARI,"at NYG","3 out of 5 stars","A","10.5"
"12","Allen Robinson II",CHI,"vs. HOU","4 out of 5 stars","A","10.3"
"13","Justin Jefferson",MIN,"at TB","4 out of 5 stars","A","9.9"
"14","Terry McLaurin",WAS,"at SF","3 out of 5 stars","A-","9.7"
"15","Robby Anderson",CAR,"vs. DEN","2 out of 5 stars","A-","9.8"
"16","Mike Evans",TB,"vs. MIN","4 out of 5 stars","A-","9.6"
"17","Chris Godwin",TB,"vs. MIN","4 out of 5 stars","A-","9.6"
"18","Michael Thomas",NO,"at PHI","3 out of 5 stars","A-","9.6"
"19","Robert Woods",LAR,"vs. NE","3 out of 5 stars","A-","9.4"
"20","Diontae Johnson",PIT,"at BUF","3 out of 5 stars","B+","9.3"
"21","Corey Davis",TEN,"at JAC","4 out of 5 stars","B+","9.0"
"22","Amari Cooper",DAL,"at CIN","4 out of 5 stars","B+","8.9"
"23","Cooper Kupp",LAR,"vs. NE","3 out of 5 stars","B","8.9"
"24","Brandin Cooks",HOU,"at CHI","1 out of 5 stars","B","8.8"
"25","DeVante Parker",MIA,"vs. KC","2 out of 5 stars","B","8.7"
"26","Marvin Jones Jr.",DET,"vs. GB","2 out of 5 stars","B","8.6"
"27","Deebo Samuel",SF,"vs. WAS","2 out of 5 stars","B","8.6"
"28","Brandon Aiyuk",SF,"vs. WAS","2 out of 5 stars","B","8.5"
"29","Chase Claypool",PIT,"at BUF","3 out of 5 stars","B","8.5"
"30","JuJu Smith-Schuster",PIT,"at BUF","3 out of 5 stars","B","8.4"
"31","D.J. Chark Jr.",JAC,"vs. TEN","5 out of 5 stars","B","8.3"
"32","Jarvis Landry",CLE,"vs. BAL","2 out of 5 stars","B","8.3"
"33","Cole Beasley",BUF,"vs. PIT","4 out of 5 stars","B-","8.1"
"34","Antonio Brown",TB,"vs. MIN","4 out of 5 stars","C+","8.0"
"35","T.Y. Hilton",IND,"at LV","3 out of 5 stars","B","8.0"
"36","Mike Williams",LAC,"vs. ATL","5 out of 5 stars","C+","7.7"
"37","CeeDee Lamb",DAL,"at CIN","4 out of 5 stars","C+","7.6"
"38","Tee Higgins",CIN,"vs. DAL","5 out of 5 stars","C+","7.6"
"39","Tyler Boyd",CIN,"vs. DAL","5 out of 5 stars","C+","7.5"
"40","Keke Coutee",HOU,"at CHI","1 out of 5 stars","C+","7.5"
"41","Michael Pittman Jr.",IND,"at LV","3 out of 5 stars","C+","7.4"
"42","Jamison Crowder",NYJ,"at SEA","5 out of 5 stars","C","7.3"
"43","Marquise Brown",BAL,"at CLE","4 out of 5 stars","C","7.2"
"44","Tim Patrick",DEN,"at CAR","2 out of 5 stars","C","7.2"
"45","Breshad Perriman",NYJ,"at SEA","5 out of 5 stars","C","7.2"
"46","Allen Lazard",GB,"at DET","4 out of 5 stars","C","7.1"
"47","Sterling Shepard",NYG,"vs. ARI","3 out of 5 stars","C","7.0"
"48","Jerry Jeudy",DEN,"at CAR","2 out of 5 stars","C","7.0"
"49","Michael Gallup",DAL,"at CIN","4 out of 5 stars","C","7.0"
"50","Darius Slayton",NYG,"vs. ARI","3 out of 5 stars","C-","6.8"
"51","Christian Kirk",ARI,"at NYG","3 out of 5 stars","C-","6.7"
"52","Jakobi Meyers",NE,"at LAR","1 out of 5 stars","C-","6.7"
"53","Nelson Agholor",LV,"vs. IND","2 out of 5 stars","C-","6.5"
"54","Sammy Watkins",KC,"at MIA","3 out of 5 stars","C-","6.5"
"55","Henry Ruggs III",LV,"vs. IND","2 out of 5 stars","D+","6.5"
"56","Gabriel Davis",BUF,"vs. PIT","4 out of 5 stars","D+","6.3"
"57","Rashard Higgins",CLE,"vs. BAL","2 out of 5 stars","D","6.0"
"58","Curtis Samuel",CAR,"vs. DEN","2 out of 5 stars","C","5.9"
"59","Anthony Miller",CHI,"vs. HOU","4 out of 5 stars","D","5.9"
"60","Darnell Mooney",CHI,"vs. HOU","4 out of 5 stars","D","5.9"
"61","Jalen Reagor",PHI,"vs. NO","2 out of 5 stars","D","5.9"
"62","Russell Gage",ATL,"at LAC","2 out of 5 stars","D","5.6"
"63","Laviska Shenault Jr.",JAC,"vs. TEN","5 out of 5 stars","D","5.5"
"64","Keelan Cole Sr.",JAC,"vs. TEN","5 out of 5 stars","D","5.5"
"65","Emmanuel Sanders",NO,"at PHI","3 out of 5 stars","D","5.5"
"66","Marquez Valdes-Scantling",GB,"at DET","4 out of 5 stars","D","5.4"
"67","KJ Hamler",DEN,"at CAR","2 out of 5 stars","D-","5.3"
"68","Collin Johnson",JAC,"vs. TEN","5 out of 5 stars","F","5.3"
"69","Golden Tate",NYG,"vs. ARI","3 out of 5 stars","D-","5.2"
"70","Chad Hansen",HOU,"at CHI","1 out of 5 stars","F","5.2"
"71","Hunter Renfrow",LV,"vs. IND","2 out of 5 stars","F","5.1"
"72","Mecole Hardman",KC,"at MIA","3 out of 5 stars","F","5.1"
"73","Josh Reynolds",LAR,"vs. NE","3 out of 5 stars","F","5.1"
"74","Cam Sims",WAS,"at SF","3 out of 5 stars","F","5.0"
"75","David Moore",SEA,"vs. NYJ","4 out of 5 stars","F","5.0"
"76","Cordarrelle Patterson",CHI,"vs. HOU","4 out of 5 stars","F","4.7"
"77","Damiere Byrd",NE,"at LAR","1 out of 5 stars","F","4.7"
"78","Greg Ward",PHI,"vs. NO","2 out of 5 stars","F","4.7"
"79","Travis Fulgham",PHI,"vs. NO","2 out of 5 stars","F","4.6"
"80","Jakeem Grant",MIA,"vs. KC","2 out of 5 stars","F","4.6"
"81","Demarcus Robinson",KC,"at MIA","3 out of 5 stars","F","4.6"
"82","Danny Amendola",DET,"vs. GB","2 out of 5 stars","F","4.6"
"83","Zach Pascal",IND,"at LV","3 out of 5 stars","F","4.4"
"84","A.J. Green",CIN,"vs. DAL","5 out of 5 stars","F","4.3"
"85","James Washington",PIT,"at BUF","3 out of 5 stars","F","4.3"
"86","Tre'Quan Smith",NO,"at PHI","3 out of 5 stars","F","4.2"
"87","Quintez Cephus",DET,"vs. GB","2 out of 5 stars","F","4.2"
"88","Kendrick Bourne",SF,"vs. WAS","2 out of 5 stars","F","3.8"
"89","Jalen Guyton",LAC,"vs. ATL","5 out of 5 stars","F","3.8"
"90","Andy Isabella",ARI,"at NYG","3 out of 5 stars","F","3.8"
"91","N'Keal Harry",NE,"at LAR","1 out of 5 stars","F","3.7"
"92","Donovan Peoples-Jones",CLE,"vs. BAL","2 out of 5 stars","F","3.7"
"93","Alshon Jeffery",PHI,"vs. NO","2 out of 5 stars","F","3.7"
"94","Devin Duvernay",BAL,"at CLE","4 out of 5 stars","F","3.6"
"95","Mohamed Sanu",DET,"vs. GB","2 out of 5 stars","F","3.5"
"96","Larry Fitzgerald",ARI,"at NYG","3 out of 5 stars","F","3.5"
"97","Steven Sims",WAS,"at SF","3 out of 5 stars","F","3.4"
"98","Van Jefferson",LAR,"vs. NE","3 out of 5 stars","F","3.4"
"99","Chad Beebe",MIN,"at TB","4 out of 5 stars","F","3.3"
"100","Mack Hollins",MIA,"vs. KC","2 out of 5 stars","F","3.3"
"101","Chris Conley",JAC,"vs. TEN","5 out of 5 stars","F","3.2"
"102","Cedrick Wilson",DAL,"at CIN","4 out of 5 stars","F","3.2"
"103","Kenny Golladay",DET,"vs. GB","2 out of 5 stars","F","3.1"
"104","Dez Bryant",BAL,"at CLE","4 out of 5 stars","F","3.2"
"105","Miles Boykin",BAL,"at CLE","4 out of 5 stars","F","3.1"
"106","Brandon Zylstra",CAR,"vs. DEN","2 out of 5 stars","F","3.1"
"107","Willie Snead IV",BAL,"at CLE","4 out of 5 stars","F","3.0"
"108","Richie James Jr.",SF,"vs. WAS","2 out of 5 stars","F","3.0"
"109","Christian Blake",ATL,"at LAC","2 out of 5 stars","F","2.9"
"110","D.J. Moore",CAR,"vs. DEN","2 out of 5 stars","F","2.9"
"111","Olabisi Johnson",MIN,"at TB","4 out of 5 stars","F","2.8"
"112","Cam Batson",TEN,"at JAC","4 out of 5 stars","F","2.5"
"113","Mike Thomas",CIN,"vs. DAL","5 out of 5 stars","F","2.4"
"114","Braxton Berrios",NYJ,"at SEA","5 out of 5 stars","F","2.4"
"115","Kalif Raymond",TEN,"at JAC","4 out of 5 stars","F","2.4"
"116","Isaiah McKenzie",BUF,"vs. PIT","4 out of 5 stars","F","2.4"
"117","Jeff Smith",NYJ,"at SEA","5 out of 5 stars","F","2.3"
"118","Isaiah Wright",WAS,"at SF","3 out of 5 stars","F","2.3"
"119","Scotty Miller",TB,"vs. MIN","4 out of 5 stars","F","2.3"
"120","DaeSean Hamilton",DEN,"at CAR","2 out of 5 stars","F","2.1"
"121","Tyron Johnson",LAC,"vs. ATL","5 out of 5 stars","F","2.0"
"122","Bryan Edwards",LV,"vs. IND","2 out of 5 stars","F","2.0"
"123","Malcolm Perry",MIA,"vs. KC","2 out of 5 stars","F","1.9"
"124","Equanimeous St. Brown",GB,"at DET","4 out of 5 stars","F","1.8"
"125","Pharoh Cooper",CAR,"vs. DEN","2 out of 5 stars","F","1.9"
"126","Donte Moncrief",NE,"at LAR","1 out of 5 stars","F","1.8"
"127","Alex Erickson",CIN,"vs. DAL","5 out of 5 stars","F","1.7"
"128","C.J. Board",NYG,"vs. ARI","3 out of 5 stars","F","1.7"
"129","Ray-Ray McCloud",PIT,"at BUF","3 out of 5 stars","F","1.7"
"130","Freddie Swain",SEA,"vs. NYJ","4 out of 5 stars","F","1.6"
"131","KeeSean Johnson",ARI,"at NYG","3 out of 5 stars","F","1.5"
"132","Antonio Callaway",MIA,"vs. KC","2 out of 5 stars","F","1.5"
"133","DeMichael Harris",IND,"at LV","3 out of 5 stars","F","1.5"
"134","Dontrelle Inman",WAS,"at SF","3 out of 5 stars","F","1.4"
"135","Austin Mack",NYG,"vs. ARI","3 out of 5 stars","F","1.4"
"136","KhaDarel Hodge",CLE,"vs. BAL","2 out of 5 stars","F","1.3"
"137","Brandon Powell",ATL,"at LAC","2 out of 5 stars","F","1.4"
"138","John Hightower",PHI,"vs. NO","2 out of 5 stars","F","1.2"
"139","Gunner Olszewski",NE,"at LAR","1 out of 5 stars","F","1.2"
"140","Juwan Johnson",NO,"at PHI","3 out of 5 stars","F","1.2"
"141","Noah Brown",DAL,"at CIN","4 out of 5 stars","F","-"
"142","Jake Kumerow",BUF,"vs. PIT","4 out of 5 stars","F","1.1"
"143","James Proche",BAL,"at CLE","4 out of 5 stars","F","1.0"
"144","Jamal Agnew",DET,"vs. GB","2 out of 5 stars","F","-"
"145","Javon Wims",CHI,"vs. HOU","4 out of 5 stars","F","-"
"146","Tyler Johnson",TB,"vs. MIN","4 out of 5 stars","F","-"
"147","Steven Mitchell Jr.",HOU,"at CHI","1 out of 5 stars","F","-"
"148","Marcus Johnson",IND,"at LV","3 out of 5 stars","F","-"
"149","Deonte Harris",NO,"at PHI","3 out of 5 stars","F","-"
"150","Dante Pettis",NYG,"vs. ARI","3 out of 5 stars","F","-"
"151","Marcus Kemp",KC,"at MIA","3 out of 5 stars","F","-"
"152","Zay Jones",LV,"vs. IND","2 out of 5 stars","F","-"
"153","Malik Taylor",GB,"at DET","4 out of 5 stars","F","-"
"154","Nick Westbrook-Ikhine",TEN,"at JAC","4 out of 5 stars","F","-"
"155","Marvin Hall",CLE,"vs. BAL","2 out of 5 stars","F","-"
"156","Trent Taylor",SF,"vs. WAS","2 out of 5 stars","F","-"
"157","Justin Watson",TB,"vs. MIN","4 out of 5 stars","F","-"
"158","Penny Hart",SEA,"vs. NYJ","4 out of 5 stars","F","-"
"159","Tyrie Cleveland",DEN,"at CAR","2 out of 5 stars","F","-"
"160","Ashton Dulin",IND,"at LV","3 out of 5 stars","F","-"
"161","River Cracraft",SF,"vs. WAS","2 out of 5 stars","F","-"
"162","Terry Godwin",JAC,"vs. TEN","5 out of 5 stars","F","-"
"163","K.J. Hill",LAC,"vs. ATL","5 out of 5 stars","F","-"
"164","Joe Reed",LAC,"vs. ATL","5 out of 5 stars","F","-"
"165","Tommylee Lewis",NO,"at PHI","3 out of 5 stars","F","-"
"166","Trent Sherfield",ARI,"at NYG","3 out of 5 stars","F","-"
"167","Andre Roberts",BUF,"vs. PIT","4 out of 5 stars","F","-"
"168","Tajae Sharpe",MIN,"at TB","4 out of 5 stars","F","-"
"169","Chris Moore",BAL,"at CLE","4 out of 5 stars","F","-"
"170","Malik Turner",DAL,"at CIN","4 out of 5 stars","F","-"
"171","Austin Carr",NO,"at PHI","3 out of 5 stars","F","-"
"172","Riley Ridley",CHI,"vs. HOU","4 out of 5 stars","F","-"
"173","Nsimba Webster",LAR,"vs. NE","3 out of 5 stars","F","-"
