"RK","PLAYER NAME",TEAM,"OPP","MATCHUP ","START/SIT","PROJ. FPTS"
"1","Patrick Mahomes II",KC,"vs. DEN","3 out of 5 stars","A+","24.2"
"2","Russell Wilson",SEA,"vs. NYG","3 out of 5 stars","A","22.3"
"3","Aaron Rodgers",GB,"vs. PHI","4 out of 5 stars","A","21.5"
"4","Josh Allen",BUF,"at SF","2 out of 5 stars","A","20.7"
"5","Deshaun Watson",HOU,"vs. IND","2 out of 5 stars","B+","20.1"
"6","Justin Herbert",LAC,"vs. NE","2 out of 5 stars","B+","19.9"
"7","Ryan Tannehill",TEN,"vs. CLE","3 out of 5 stars","B","19.5"
"8","Lamar Jackson",BAL,"vs. DAL","4 out of 5 stars","B","19.0"
"9","Kyler Murray",ARI,"vs. LAR","1 out of 5 stars","B","18.6"
"10","Kirk Cousins",MIN,"vs. JAC","5 out of 5 stars","B-","18.3"
"11","Taysom Hill",NO,"at ATL","5 out of 5 stars","B","17.9"
"12","Ben Roethlisberger",PIT,"vs. WAS","3 out of 5 stars","B-","17.6"
"13","Derek Carr",LV,"at NYJ","4 out of 5 stars","C+","17.4"
"14","Cam Newton",NE,"at LAC","4 out of 5 stars","C","17.1"
"15","Philip Rivers",IND,"at HOU","3 out of 5 stars","C","16.7"
"16","Jared Goff",LAR,"at ARI","4 out of 5 stars","C","16.4"
"17","Matt Ryan",ATL,"vs. NO","3 out of 5 stars","C","16.2"
"18","Mitchell Trubisky",CHI,"vs. DET","4 out of 5 stars","C-","15.8"
"19","Baker Mayfield",CLE,"at TEN","5 out of 5 stars","D+","15.5"
"20","Carson Wentz",PHI,"at GB","2 out of 5 stars","D","15.2"
"21","Matthew Stafford",DET,"at CHI","2 out of 5 stars","D","14.8"
"22","Nick Mullens",SF,"vs. BUF","4 out of 5 stars","D-","14.4"
"23","Tua Tagovailoa",MIA,"vs. CIN","4 out of 5 stars","F","14.0"
"24","Sam Darnold",NYJ,"vs. LV","2 out of 5 stars","F","13.7"
"25","Mike Glennon",JAC,"at MIN","3 out of 5 stars","F","13.3"
"26","Andy Dalton",DAL,"at BAL","3 out of 5 stars","F","13.1"
"27","Drew Lock",DEN,"at KC","3 out of 5 stars","F","13.0"
"28","Colt McCoy",NYG,"at SEA","5 out of 5 stars","F","12.7"
"29","Ryan Fitzpatrick",MIA,"vs. CIN","4 out of 5 stars","F","12.4"
"30","Alex Smith",WAS,"at PIT","1 out of 5 stars","F","11.6"
"31","Brandon Allen",CIN,"at MIA","2 out of 5 stars","F","5.8"
"32","Jacoby Brissett",IND,"at HOU","3 out of 5 stars","F","5.3"
"33","Jalen Hurts",PHI,"at GB","2 out of 5 stars","F","1.8"
"34","Trace McSorley",BAL,"vs. DAL","4 out of 5 stars","F","0.9"
"35","Jameis Winston",NO,"at ATL","5 out of 5 stars","F","0.9"
"36","Nick Foles",CHI,"vs. DET","4 out of 5 stars","F","0.9"
"37","Jake Luton",JAC,"at MIN","3 out of 5 stars","F","0.9"
"38","Daniel Jones",NYG,"at SEA","5 out of 5 stars","F","0.9"
"39","Ryan Finley",CIN,"at MIA","2 out of 5 stars","F","0.8"
"40","C.J. Beathard",SF,"vs. BUF","4 out of 5 stars","F","0.8"
"41","Gardner Minshew II",JAC,"at MIN","3 out of 5 stars","F","0.8"
