"RK","PLAYER NAME",TEAM,"OPP","MATCHUP ","START/SIT","PROJ. FPTS"
"1","Miami Dolphins",MIA,"vs. CIN","3 out of 5 stars","A+","9.1"
"2","Pittsburgh Steelers",PIT,"vs. WAS","5 out of 5 stars","A","9.1"
"3","Kansas City Chiefs",KC,"vs. DEN","5 out of 5 stars","A","8.9"
"4","Baltimore Ravens",BAL,"vs. DAL","4 out of 5 stars","A-","8.8"
"5","Seattle Seahawks",SEA,"vs. NYG","3 out of 5 stars","A-","8.8"
"6","Green Bay Packers",GB,"vs. PHI","5 out of 5 stars","B+","8.0"
"7","Los Angeles Rams",LAR,"at ARI","3 out of 5 stars","B","7.5"
"8","New Orleans Saints",NO,"at ATL","3 out of 5 stars","B","7.4"
"9","Minnesota Vikings",MIN,"vs. JAC","3 out of 5 stars","B","7.3"
"10","Chicago Bears",CHI,"vs. DET","3 out of 5 stars","B","7.2"
"11","Las Vegas Raiders",LV,"at NYJ","3 out of 5 stars","B-","7.1"
"12","Indianapolis Colts",IND,"at HOU","2 out of 5 stars","C+","6.9"
"13","Buffalo Bills",BUF,"at SF","4 out of 5 stars","C+","6.6"
"14","Arizona Cardinals",ARI,"vs. LAR","4 out of 5 stars","C+","6.6"
"15","Detroit Lions",DET,"at CHI","5 out of 5 stars","C","6.6"
"16","San Francisco 49ers",SF,"vs. BUF","3 out of 5 stars","C-","6.4"
"17","Los Angeles Chargers",LAC,"vs. NE","3 out of 5 stars","C-","6.3"
"18","Tennessee Titans",TEN,"vs. CLE","1 out of 5 stars","C-","6.1"
"19","New England Patriots",NE,"at LAC","1 out of 5 stars","D+","6.0"
"20","Washington Football Team",WAS,"at PIT","2 out of 5 stars","D","5.9"
"21","Atlanta Falcons",ATL,"vs. NO","3 out of 5 stars","D","5.8"
"22","Cincinnati Bengals",CIN,"at MIA","3 out of 5 stars","D-","5.8"
"23","Houston Texans",HOU,"vs. IND","3 out of 5 stars","F","5.7"
"24","New York Giants",NYG,"at SEA","3 out of 5 stars","F","5.7"
"25","Cleveland Browns",CLE,"at TEN","1 out of 5 stars","F","5.7"
"26","New York Jets",NYJ,"vs. LV","3 out of 5 stars","F","5.5"
"27","Dallas Cowboys",DAL,"at BAL","4 out of 5 stars","F","5.4"
"28","Philadelphia Eagles",PHI,"at GB","1 out of 5 stars","F","5.1"
"29","Jacksonville Jaguars",JAC,"at MIN","4 out of 5 stars","F","4.8"
"30","Denver Broncos",DEN,"at KC","1 out of 5 stars","F","4.8"
