"RK","PLAYER NAME",TEAM,"OPP","MATCHUP ","START/SIT","PROJ. FPTS"
"1","Miami Dolphins",MIA,"at NYJ","2 out of 5 stars","A+","8.8"
"2","New Orleans Saints",NO,"at DEN","5 out of 5 stars","A","8.3"
"3","Los Angeles Rams",LAR,"vs. SF","4 out of 5 stars","A","8.3"
"4","New York Giants",NYG,"at CIN","3 out of 5 stars","A-","8.2"
"5","Cleveland Browns",CLE,"at JAC","4 out of 5 stars","B+","8.0"
"6","Pittsburgh Steelers",PIT,"vs. BAL","4 out of 5 stars","B","7.9"
"7","Green Bay Packers",GB,"vs. CHI","4 out of 5 stars","B","7.6"
"8","Seattle Seahawks",SEA,"at PHI","5 out of 5 stars","B-","7.4"
"9","Washington Football Team",WAS,"at DAL","4 out of 5 stars","B-","7.3"
"10","Indianapolis Colts",IND,"vs. TEN","1 out of 5 stars","C+","7.1"
"11","Baltimore Ravens",BAL,"at PIT","2 out of 5 stars","C","6.9"
"12","Kansas City Chiefs",KC,"at TB","3 out of 5 stars","C","6.7"
"13","Arizona Cardinals",ARI,"at NE","3 out of 5 stars","C","6.6"
"14","Dallas Cowboys",DAL,"vs. WAS","5 out of 5 stars","C-","6.2"
"15","San Francisco 49ers",SF,"at LAR","4 out of 5 stars","D+","6.1"
"16","Buffalo Bills",BUF,"vs. LAC","1 out of 5 stars","C-","6.0"
"17","Minnesota Vikings",MIN,"vs. CAR","3 out of 5 stars","D","6.0"
"18","New England Patriots",NE,"vs. ARI","3 out of 5 stars","D+","5.9"
"19","Houston Texans",HOU,"at DET","3 out of 5 stars","D","5.8"
"20","Los Angeles Chargers",LAC,"at BUF","2 out of 5 stars","D","5.8"
"21","Las Vegas Raiders",LV,"at ATL","2 out of 5 stars","D-","5.8"
"22","Philadelphia Eagles",PHI,"vs. SEA","4 out of 5 stars","D-","5.8"
"23","Cincinnati Bengals",CIN,"vs. NYG","3 out of 5 stars","F","5.7"
"24","Chicago Bears",CHI,"at GB","1 out of 5 stars","F","5.7"
"25","Denver Broncos",DEN,"vs. NO","3 out of 5 stars","F","5.7"
"26","Carolina Panthers",CAR,"at MIN","3 out of 5 stars","F","5.6"
"27","Tampa Bay Buccaneers",TB,"vs. KC","1 out of 5 stars","F","5.6"
"28","Tennessee Titans",TEN,"at IND","3 out of 5 stars","F","5.5"
"29","New York Jets",NYJ,"vs. MIA","3 out of 5 stars","F","5.4"
"30","Detroit Lions",DET,"vs. HOU","1 out of 5 stars","F","5.1"
"31","Jacksonville Jaguars",JAC,"vs. CLE","1 out of 5 stars","F","4.7"
"32","Atlanta Falcons",ATL,"vs. LV","1 out of 5 stars","F","4.7"
