"RK","PLAYER NAME",TEAM,"OPP","MATCHUP (?)","START/SIT","PROJ. FPTS"
"1","Travis Kelce",KC,"vs. CAR","2 out of 5 stars","A+","16.7"
"2","Darren Waller",LV,"at LAC","4 out of 5 stars","A","15.7"
"3","Mark Andrews",BAL,"at IND","1 out of 5 stars","A","12.0"
"4","Rob Gronkowski",TB,"vs. NO","4 out of 5 stars","A-","11.8"
"5","T.J. Hockenson",DET,"at MIN","3 out of 5 stars","A-","11.7"
"6","Hunter Henry",LAC,"vs. LV","3 out of 5 stars","B+","11.5"
"7","Noah Fant",DEN,"at ATL","5 out of 5 stars","B+","10.3"
"8","Hayden Hurst",ATL,"vs. DEN","3 out of 5 stars","B","9.7"
"9","Jonnu Smith",TEN,"vs. CHI","4 out of 5 stars","B-","9.7"
"10","Jared Cook",NO,"at TB","3 out of 5 stars","B-","9.6"
"11","Robert Tonyan",GB,"at SF","1 out of 5 stars","C+","9.4"
"12","Evan Engram",NYG,"at WAS","3 out of 5 stars","C","9.2"
"13","Mike Gesicki",MIA,"at ARI","4 out of 5 stars","C","8.8"
"14","Jimmy Graham",CHI,"at TEN","5 out of 5 stars","C","8.2"
"15","Eric Ebron",PIT,"at DAL","4 out of 5 stars","C","8.2"
"16","Trey Burton",IND,"vs. BAL","3 out of 5 stars","C-","8.2"
"17","Logan Thomas",WAS,"vs. NYG","2 out of 5 stars","D+","7.2"
"18","Dalton Schultz",DAL,"vs. PIT","1 out of 5 stars","D","7.1"
"19","Irv Smith Jr.",MIN,"vs. DET","2 out of 5 stars","D","7.1"
"20","Greg Olsen",SEA,"at BUF","5 out of 5 stars","D-","6.7"
"21","Jordan Akins",HOU,"at JAC","5 out of 5 stars","F","6.1"
"22","Albert Okwuegbunam",DEN,"at ATL","5 out of 5 stars","F","5.6"
"23","Darren Fells",HOU,"at JAC","5 out of 5 stars","F","5.5"
"24","Ross Dwelley",SF,"vs. GB","1 out of 5 stars","F","5.4"
"25","Jordan Reed",SF,"vs. GB","1 out of 5 stars","F","5.3"
"26","Ian Thomas",CAR,"at KC","2 out of 5 stars","F","5.2"
"27","Jack Doyle",IND,"vs. BAL","3 out of 5 stars","F","5.0"
"28","Mo Alie-Cox",IND,"vs. BAL","3 out of 5 stars","F","4.9"
"29","Will Dissly",SEA,"at BUF","5 out of 5 stars","F","4.8"
"30","Kyle Rudolph",MIN,"vs. DET","2 out of 5 stars","F","4.6"
"31","Tyler Kroft",BUF,"vs. SEA","2 out of 5 stars","F","4.5"
"32","Anthony Firkser",TEN,"vs. CHI","4 out of 5 stars","F","4.4"
"33","Tyler Eifert",JAC,"vs. HOU","4 out of 5 stars","F","4.2"
"34","Chris Herndon IV",NYJ,"vs. NE","1 out of 5 stars","F","4.2"
"35","James O'Shaughnessy",JAC,"vs. HOU","4 out of 5 stars","F","4.1"
"36","Cameron Brate",TB,"vs. NO","4 out of 5 stars","F","3.6"
"37","Dan Arnold",ARI,"vs. MIA","2 out of 5 stars","F","3.5"
"38","Dawson Knox",BUF,"vs. SEA","2 out of 5 stars","F","3.4"
"39","Cole Kmet",CHI,"at TEN","5 out of 5 stars","F","3.4"
"40","Nick Boyle",BAL,"at IND","1 out of 5 stars","F","3.2"
"41","Jace Sternberger",GB,"at SF","1 out of 5 stars","F","3.1"
"42","Ryan Izzo",NE,"at NYJ","4 out of 5 stars","F","3.1"
"43","Jason Witten",LV,"at LAC","4 out of 5 stars","F","3.1"
"44","Vance McDonald",PIT,"at DAL","4 out of 5 stars","F","3.1"
"45","Adam Shaheen",MIA,"at ARI","4 out of 5 stars","F","3.1"
"46","Foster Moreau",LV,"at LAC","4 out of 5 stars","F","3.0"
"47","Kaden Smith",NYG,"at WAS","3 out of 5 stars","F","2.9"
"48","Jesse James",DET,"at MIN","3 out of 5 stars","F","2.9"
"49","Darrell Daniels",ARI,"vs. MIA","2 out of 5 stars","F","2.8"
"50","Ryan Griffin",NYJ,"vs. NE","1 out of 5 stars","F","2.8"
"51","Donald Parham Jr.",LAC,"vs. LV","3 out of 5 stars","F","2.7"
"52","Jacob Hollister",SEA,"at BUF","5 out of 5 stars","F","2.7"
"53","Durham Smythe",MIA,"at ARI","4 out of 5 stars","F","2.5"
"54","Nick Keizer",KC,"vs. CAR","2 out of 5 stars","F","2.4"
"55","Josh Hill",NO,"at TB","3 out of 5 stars","F","2.4"
"56","Chris Manhertz",CAR,"at KC","2 out of 5 stars","F","2.4"
"57","Demetrius Harris",CHI,"at TEN","5 out of 5 stars","F","2.3"
"58","Blake Bell",DAL,"vs. PIT","1 out of 5 stars","F","2.3"
"59","Adam Trautman",NO,"at TB","3 out of 5 stars","F","2.3"
"60","Nick Vannett",DEN,"at ATL","5 out of 5 stars","F","2.2"
"61","MyCole Pruitt",TEN,"vs. CHI","4 out of 5 stars","F","2.2"
"62","Jeremy Sprinkle",WAS,"vs. NYG","2 out of 5 stars","F","2.2"
"63","Marcedes Lewis",GB,"at SF","1 out of 5 stars","F","2.2"
"64","Luke Stocker",ATL,"vs. DEN","3 out of 5 stars","F","2.1"
"65","Deon Yelder",KC,"vs. CAR","2 out of 5 stars","F","2.1"
"66","Lee Smith",BUF,"vs. SEA","2 out of 5 stars","F","2.1"
"67","Trevon Wesco",NYJ,"vs. NE","1 out of 5 stars","F","2.0"
"68","Gabe Nabers",LAC,"vs. LV","3 out of 5 stars","F","2.0"
"69","Tanner Hudson",TB,"vs. NO","4 out of 5 stars","F","2.0"
"70","Levine Toilolo",NYG,"at WAS","3 out of 5 stars","F","2.0"
"71","Charlie Woerner",SF,"vs. GB","1 out of 5 stars","F","2.0"
"72","Temarrick Hemingway",WAS,"vs. NYG","2 out of 5 stars","F","2.0"
"73","Jaeden Graham",ATL,"vs. DEN","3 out of 5 stars","F","2.0"
"74","Tyler Conklin",MIN,"vs. DET","2 out of 5 stars","F","1.9"
"75","Isaac Nauta",DET,"at MIN","3 out of 5 stars","F","1.8"
"76","Pharaoh Brown",HOU,"at JAC","5 out of 5 stars","F","1.2"
