"RK","PLAYER NAME",TEAM,"OPP","MATCHUP ","START/SIT","PROJ. FPTS"
"1","Patrick Mahomes II",KC,"at TB","3 out of 5 stars","A+","23.6"
"2","Josh Allen",BUF,"vs. LAC","4 out of 5 stars","A","23.4"
"3","Russell Wilson",SEA,"at PHI","4 out of 5 stars","A","23.0"
"4","Kyler Murray",ARI,"at NE","2 out of 5 stars","A","22.3"
"5","Deshaun Watson",HOU,"at DET","3 out of 5 stars","A","21.4"
"6","Justin Herbert",LAC,"at BUF","4 out of 5 stars","A-","20.5"
"7","Aaron Rodgers",GB,"vs. CHI","1 out of 5 stars","B+","19.6"
"8","Derek Carr",LV,"at ATL","5 out of 5 stars","B+","18.8"
"9","Tom Brady",TB,"vs. KC","3 out of 5 stars","B","18.4"
"10","Taysom Hill",NO,"at DEN","3 out of 5 stars","B","18.2"
"11","Lamar Jackson",BAL,"at PIT","1 out of 5 stars","B-","17.9"
"12","Cam Newton",NE,"vs. ARI","4 out of 5 stars","B-","17.7"
"13","Matt Ryan",ATL,"vs. LV","3 out of 5 stars","C+","17.6"
"14","Ben Roethlisberger",PIT,"vs. BAL","3 out of 5 stars","C+","17.3"
"15","Carson Wentz",PHI,"vs. SEA","5 out of 5 stars","C","17.1"
"16","Matthew Stafford",DET,"vs. HOU","3 out of 5 stars","C","16.8"
"17","Daniel Jones",NYG,"at CIN","4 out of 5 stars","C","16.5"
"18","Jared Goff",LAR,"vs. SF","3 out of 5 stars","C","16.3"
"19","Philip Rivers",IND,"vs. TEN","4 out of 5 stars","C-","16.1"
"20","Kirk Cousins",MIN,"vs. CAR","2 out of 5 stars","D+","15.9"
"21","Ryan Tannehill",TEN,"at IND","2 out of 5 stars","D","15.8"
"22","Tua Tagovailoa",MIA,"at NYJ","4 out of 5 stars","D","15.6"
"23","Teddy Bridgewater",CAR,"at MIN","3 out of 5 stars","D-","15.3"
"24","Baker Mayfield",CLE,"at JAC","5 out of 5 stars","F","14.9"
"25","Alex Smith",WAS,"at DAL","4 out of 5 stars","F","14.2"
"26","Andy Dalton",DAL,"vs. WAS","3 out of 5 stars","F","13.6"
"27","Drew Lock",DEN,"vs. NO","3 out of 5 stars","F","13.0"
"28","Nick Mullens",SF,"at LAR","1 out of 5 stars","F","12.4"
"29","Joe Flacco",NYJ,"vs. MIA","3 out of 5 stars","F","11.9"
"30","Nick Foles",CHI,"at GB","3 out of 5 stars","F","11.6"
"31","Brandon Allen",CIN,"vs. NYG","3 out of 5 stars","F","10.8"
"32","Mike Glennon",JAC,"vs. CLE","3 out of 5 stars","F","9.7"
"33","Mitchell Trubisky",CHI,"at GB","3 out of 5 stars","F","8.6"
"34","Jake Luton",JAC,"vs. CLE","3 out of 5 stars","F","7.1"
"35","Phillip Walker",CAR,"at MIN","3 out of 5 stars","F","6.5"
"36","Ryan Finley",CIN,"vs. NYG","3 out of 5 stars","F","3.9"
"37","Sam Darnold",NYJ,"vs. MIA","3 out of 5 stars","F","1.9"
"38","Jameis Winston",NO,"at DEN","3 out of 5 stars","F","1.8"
"39","Jacoby Brissett",IND,"vs. TEN","4 out of 5 stars","F","1.0"
"40","Jalen Hurts",PHI,"vs. SEA","5 out of 5 stars","F","1.0"
