"RK","PLAYER NAME",TEAM,"OPP","MATCHUP ","START/SIT","PROJ. FPTS"
"1","Travis Kelce",KC,"at LV","2 out of 5 stars","A+","12.3"
"2","Darren Waller",LV,"vs. KC","2 out of 5 stars","A","9.7"
"3","Mark Andrews",BAL,"vs. TEN","5 out of 5 stars","A-","9.0"
"4","T.J. Hockenson",DET,"at CAR","3 out of 5 stars","B+","8.0"
"5","Hunter Henry",LAC,"vs. NYJ","3 out of 5 stars","B","7.4"
"6","Dallas Goedert",PHI,"at CLE","4 out of 5 stars","B","7.1"
"7","Rob Gronkowski",TB,"vs. LAR","3 out of 5 stars","B","6.3"
"8","Noah Fant",DEN,"vs. MIA","3 out of 5 stars","B-","5.9"
"9","Hayden Hurst",ATL,"at NO","3 out of 5 stars","C+","5.7"
"10","Eric Ebron",PIT,"at JAC","4 out of 5 stars","C","5.6"
"11","Austin Hooper",CLE,"vs. PHI","5 out of 5 stars","C","5.4"
"12","Jared Cook",NO,"vs. ATL","5 out of 5 stars","C-","5.4"
"13","Jonnu Smith",TEN,"at BAL","3 out of 5 stars","D+","5.2"
"14","Mike Gesicki",MIA,"at DEN","2 out of 5 stars","D+","4.9"
"15","Logan Thomas",WAS,"vs. CIN","4 out of 5 stars","D+","4.6"
"16","Robert Tonyan",GB,"at IND","1 out of 5 stars","D","4.4"
"17","Dalton Schultz",DAL,"at MIN","3 out of 5 stars","D","4.4"
"18","Tyler Higbee",LAR,"at TB","4 out of 5 stars","D","4.3"
"19","Trey Burton",IND,"vs. GB","1 out of 5 stars","D","4.3"
"20","Kyle Rudolph",MIN,"vs. DAL","5 out of 5 stars","D-","3.9"
"21","Mo Alie-Cox",IND,"vs. GB","1 out of 5 stars","D-","3.9"
"22","Gerald Everett",LAR,"at TB","4 out of 5 stars","D-","3.9"
"23","Greg Olsen",SEA,"vs. ARI","3 out of 5 stars","F","3.3"
"24","Richard Rodgers",PHI,"at CLE","4 out of 5 stars","F","3.2"
"25","Jordan Akins",HOU,"vs. NE","1 out of 5 stars","F","3.2"
"26","Tyler Eifert",JAC,"vs. PIT","1 out of 5 stars","F","3.2"
"27","Dan Arnold",ARI,"at SEA","2 out of 5 stars","F","3.2"
"28","Anthony Firkser",TEN,"at BAL","3 out of 5 stars","F","3.1"
"29","Drew Sample",CIN,"at WAS","3 out of 5 stars","F","3.0"
"30","Darren Fells",HOU,"vs. NE","1 out of 5 stars","F","3.0"
"31","Ian Thomas",CAR,"vs. DET","3 out of 5 stars","F","2.8"
"32","Cameron Brate",TB,"vs. LAR","3 out of 5 stars","F","2.7"
"33","Harrison Bryant",CLE,"vs. PHI","5 out of 5 stars","F","2.6"
"34","Jacob Hollister",SEA,"vs. ARI","3 out of 5 stars","F","2.6"
"35","Chris Herndon IV",NYJ,"at LAC","4 out of 5 stars","F","2.5"
"36","Will Dissly",SEA,"vs. ARI","3 out of 5 stars","F","2.5"
"37","Irv Smith Jr.",MIN,"vs. DAL","5 out of 5 stars","F","2.5"
"38","David Njoku",CLE,"vs. PHI","5 out of 5 stars","F","2.4"
"39","Durham Smythe",MIA,"at DEN","2 out of 5 stars","F","2.4"
"40","Donald Parham Jr.",LAC,"vs. NYJ","3 out of 5 stars","F","2.3"
"41","James O'Shaughnessy",JAC,"vs. PIT","1 out of 5 stars","F","2.2"
"42","Adam Shaheen",MIA,"at DEN","2 out of 5 stars","F","2.1"
"43","Jace Sternberger",GB,"at IND","1 out of 5 stars","F","2.1"
"44","Ryan Griffin",NYJ,"at LAC","4 out of 5 stars","F","2.0"
"45","Jason Witten",LV,"vs. KC","2 out of 5 stars","F","2.0"
"46","Ryan Izzo",NE,"at HOU","3 out of 5 stars","F","2.0"
"47","Jesse James",DET,"at CAR","3 out of 5 stars","F","1.9"
"48","Adam Trautman",NO,"vs. ATL","5 out of 5 stars","F","1.8"
"49","Pharaoh Brown",HOU,"vs. NE","1 out of 5 stars","F","1.8"
"50","Jack Doyle",IND,"vs. GB","1 out of 5 stars","F","1.8"
"51","Foster Moreau",LV,"vs. KC","2 out of 5 stars","F","1.8"
"52","Maxx Williams",ARI,"at SEA","2 out of 5 stars","F","1.8"
"53","Nick Keizer",KC,"at LV","2 out of 5 stars","F","1.8"
"54","Josh Hill",NO,"vs. ATL","5 out of 5 stars","F","1.7"
"55","Marcedes Lewis",GB,"at IND","1 out of 5 stars","F","1.7"
"56","Tyler Conklin",MIN,"vs. DAL","5 out of 5 stars","F","1.7"
"57","Chris Manhertz",CAR,"vs. DET","3 out of 5 stars","F","1.6"
"58","Nick Vannett",DEN,"vs. MIA","3 out of 5 stars","F","1.6"
"59","Blake Bell",DAL,"at MIN","3 out of 5 stars","F","1.5"
"60","Gabe Nabers",LAC,"vs. NYJ","3 out of 5 stars","F","1.5"
"61","Troy Fumagalli",DEN,"vs. MIA","3 out of 5 stars","F","1.4"
"62","Tanner Hudson",TB,"vs. LAR","3 out of 5 stars","F","1.4"
"63","Colin Thompson",CAR,"vs. DET","3 out of 5 stars","F","1.4"
"64","Isaac Nauta",DET,"at CAR","3 out of 5 stars","F","1.4"
"65","Ben Ellefson",JAC,"vs. PIT","1 out of 5 stars","F","1.4"
"66","Luke Stocker",ATL,"at NO","3 out of 5 stars","F","1.4"
"67","Deon Yelder",KC,"at LV","2 out of 5 stars","F","1.4"
"68","Geoff Swaim",TEN,"at BAL","3 out of 5 stars","F","1.4"
"69","Cethan Carter",CIN,"at WAS","3 out of 5 stars","F","1.3"
"70","Vance McDonald",PIT,"at JAC","4 out of 5 stars","F","1.3"
"71","Jeremy Sprinkle",WAS,"vs. CIN","4 out of 5 stars","F","1.3"
"72","Temarrick Hemingway",WAS,"vs. CIN","4 out of 5 stars","F","1.3"
"73","Zach Gentry",PIT,"at JAC","4 out of 5 stars","F","1.3"
"74","Xavier Grimble",BAL,"vs. TEN","5 out of 5 stars","F","1.3"
"75","Sean Culkin",BAL,"vs. TEN","5 out of 5 stars","F","1.3"
"76","Luke Willson",BAL,"vs. TEN","5 out of 5 stars","F","1.3"
"77","Johnny Mundt",LAR,"at TB","4 out of 5 stars","F","1.3"
"78","Trevon Wesco",NYJ,"at LAC","4 out of 5 stars","F","1.3"
"79","Mason Schreck",CIN,"at WAS","3 out of 5 stars","F","1.1"
"80","Stephen Anderson",LAC,"vs. NYJ","3 out of 5 stars","F","1.1"
"81","Jaeden Graham",ATL,"at NO","3 out of 5 stars","F","0.8"
"82","Jordan Thomas",NE,"at HOU","3 out of 5 stars","F","0.8"
"83","Chris Myarick",MIA,"at DEN","2 out of 5 stars","F","0.7"
"84","Antony Auclair",TB,"vs. LAR","3 out of 5 stars","F","0.6"
"85","MyCole Pruitt",TEN,"at BAL","3 out of 5 stars","F","0.6"
"86","Noah Togiai",IND,"vs. GB","1 out of 5 stars","F","0.5"
"87","Evan Baylis",ARI,"at SEA","2 out of 5 stars","F","0.3"
"88","Sean McKeon",DAL,"at MIN","3 out of 5 stars","F","0.2"
