"RK","PLAYER NAME",TEAM,"OPP","MATCHUP RATING","START/SIT","PROJ. FPTS","AVG. POINTS (?)","% GAMES (?)"
"1","Buffalo Bills",BUF,"at NYJ"," 6.3","A+","8.1","-1.6","37% (6/16)"
"2","Los Angeles Rams",LAR,"vs. CHI"," 5.3","A","7.6","+1.5","60% (9/15)"
"3","Philadelphia Eagles",PHI,"vs. NYG"," 7.1","A","7.6","-1.6","33% (5/15)"
"4","Kansas City Chiefs",KC,"at DEN"," 9.9","A-","7.6","+1.7","56% (9/16)"
"5","Los Angeles Chargers",LAC,"vs. JAC"," 7.6","B+","7.4","-1.7","21% (3/14)"
"6","New England Patriots",NE,"vs. SF"," 8.0","B+","7.3","+2.5","42% (6/14)"
"7","Tampa Bay Buccaneers",TB,"at LV"," 3.2","B+","7.3","+2.5","46% (7/15)"
"8","New York Giants",NYG,"at PHI"," 6.5","B","7.2","-1.3","40% (6/15)"
"9","Washington Football Team",WAS,"vs. DAL"," 6.5","B","7.0","-1.0","40% (6/15)"
"10","Pittsburgh Steelers",PIT,"at TEN"," 2.3","B-","6.9","+3.0","64% (9/14)"
"11","Cleveland Browns",CLE,"at CIN"," 6.9","B-","6.7","-1.4","26% (4/15)"
"12","Chicago Bears",CHI,"at LAR"," 3.6","B-","6.7","-2.3","18% (3/16)"
"13","New Orleans Saints",NO,"vs. CAR"," 5.5","C+","6.6","-0.7","28% (4/14)"
"14","San Francisco 49ers",SF,"at NE"," 9.9","C+","6.5","-0.5","35% (6/17)"
"15","Dallas Cowboys",DAL,"at WAS"," 9.0","C","6.3","-2.8","26% (4/15)"
"16","Cincinnati Bengals",CIN,"vs. CLE"," 2.3","C","6.3","-2.4","26% (4/15)"
"17","Green Bay Packers",GB,"at HOU"," 2.7","C-","6.3","-1.2","28% (4/14)"
"18","Seattle Seahawks",SEA,"at ARI"," 6.3","D+","6.2","+0.6","57% (8/14)"
"19","Tennessee Titans",TEN,"vs. PIT"," 2.3","D+","6.0","+0.2","42% (6/14)"
"20","Arizona Cardinals",ARI,"vs. SEA"," 5.7","D","5.7","-0.6","40% (6/15)"
"21","New York Jets",NYJ,"vs. BUF"," 2.3","D","5.7","-0.1","43% (7/16)"
"22","Atlanta Falcons",ATL,"vs. DET"," 3.8","D","5.6","-0.6","40% (6/15)"
"23","Detroit Lions",DET,"at ATL"," 2.3","D","5.5","-3.9","13% (2/15)"
"24","Las Vegas Raiders",LV,"vs. TB"," 9.2","D-","5.1","-2.6","20% (3/15)"
"25","Jacksonville Jaguars",JAC,"at LAC"," 5.0","F","4.7","-2.4","26% (4/15)"
"26","Carolina Panthers",CAR,"at NO"," 2.3","F","4.6","-3.7","13% (2/15)"
"27","Denver Broncos",DEN,"vs. KC"," 2.3","F","4.6","-0.2","42% (6/14)"
"28","Houston Texans",HOU,"vs. GB"," 2.3","F","4.3","-1.5","26% (4/15)"
