"RK","PLAYER NAME",TEAM,"OPP","MATCHUP RATING","START/SIT","PROJ. FPTS","AVG. POINTS ","% GAMES ","OPPORTUNITY ","EFFICIENCY "
"1","Davante Adams",GB,"vs. TEN"," 5.2","A+","23.2","+2.1","64% (9/14)","22%","Good"
"2","Tyreek Hill",KC,"vs. ATL"," 7.8","A+","20.6","+2.6","56% (9/16)","19%","Good"
"3","DeAndre Hopkins",ARI,"vs. SF"," 4.4","A+","18.5","-1.8","60% (9/15)","14%","Average"
"4","Calvin Ridley",ATL,"at KC"," 6.4","A+","16.8","+0.9","53% (7/13)","23%","Poor"
"5","Stefon Diggs",BUF,"at NE"," 7.2","A+","16.7","-0.5","43% (7/16)","9%","Poor"
"6","Allen Robinson II",CHI,"at JAC"," 6.0","A+","16.4","-0.7","37% (6/16)","17%","Poor"
"7","Keenan Allen",LAC,"vs. DEN"," 6.0","A","16.4","-0.5","43% (7/16)","12%","Average"
"8","Justin Jefferson",MIN,"at NO"," 6.8","A","16.0","+2.9","57% (8/14)","12%","Average"
"9","A.J. Brown",TEN,"at GB"," 4.2","A","15.4","+1.6","64% (9/14)","7%","Great"
"10","Robert Woods",LAR,"at SEA"," 6.2","A","15.4","+0.4","50% (8/16)","11%","Great"
"11","Brandon Aiyuk",SF,"at ARI"," 8.4","A","15.3","+4.6","81% (9/11)","14%","Average"
"12","D.K. Metcalf",SEA,"vs. LAR"," 4.6","A","14.7","+0.7","50% (8/16)","13%","Good"
"13","Terry McLaurin",WAS,"vs. CAR"," 6.0","A","15.3","-1.7","26% (4/15)","11%","Awful"
"14","D.J. Moore",CAR,"at WAS"," 4.2","A","14.6","-1.3","50% (7/14)","10%","Poor"
"15","Jarvis Landry",CLE,"at NYJ"," 7.6","A","14.5","-0.8","31% (5/16)","9%","Poor"
"16","Mike Evans",TB,"at DET"," 5.8","A","14.4","0.0","64% (9/14)","13%","Good"
"17","Adam Thielen",MIN,"at NO"," 6.0","A-","14.1","-0.9","40% (6/15)","19%","Good"
"18","Cooper Kupp",LAR,"at SEA"," 4.6","A-","14.1","-2.1","37% (6/16)","12%","Awful"
"19","Diontae Johnson",PIT,"vs. IND"," 5.0","A-","13.9","+0.7","53% (8/15)","10%","Good"
