"RK","PLAYER NAME","OPP","MATCHUP RATING","START/SIT","PROJ. FPTS","AVG. POINTS (?)","% GAMES (?)"
"1","DeAndre Hopkins (ARI) ","at DAL"," 9.9","A+","13.2","+0.3","53% (8/15)"
"2","Tyreek Hill (KC) ","at BUF"," 4.8","A+","13.0","-0.3","50% (8/16)"
"3","Adam Thielen (MIN) ","vs. ATL"," 7.4","A+","12.7","-2.0","36% (4/11)"
"4","Calvin Ridley (ATL) ","at MIN"," 6.4","A+","12.3","+1.6","58% (7/12)"
"5","Stefon Diggs (BUF) ","vs. KC"," 4.4","A+","11.9","+0.5","37% (6/16)"
"6","Mike Evans (TB) ","vs. GB"," 6.2","A","11.5","+1.7","58% (7/12)"
"7","Allen Robinson II (CHI) ","at CAR"," 4.2","A","11.0","0.0","50% (8/16)"
"8","Davante Adams (GB) ","at TB"," 4.8","A","10.8","-0.1","60% (6/10)"
"9","Amari Cooper (DAL) ","vs. ARI"," 6.0","A","10.3","-3.1","31% (5/16)"
"10","Kenny Golladay (DET) ","at JAC"," 8.8","A","10.1","+0.5","64% (9/14)"
"11","Terry McLaurin (WAS) ","at NYG"," 6.4","A","10.1","-1.3","33% (5/15)"
"12","Cooper Kupp (LAR) ","at SF"," 5.8","A","9.9","-2.2","43% (7/16)"
"13","Will Fuller V (HOU) ","at TEN"," 4.6","A","9.7","-2.5","45% (5/11)"
"14","A.J. Brown (TEN) ","vs. HOU"," 6.6","A-","9.7","+2.7","61% (8/13)"
"15","Marquise Brown (BAL) ","at PHI"," 6.4","A","9.6","-2.2","38% (5/13)"
"16","Robert Woods (LAR) ","at SF"," 5.8","A-","9.6","+0.7","60% (9/15)"
"17","Robby Anderson (CAR) ","vs. CHI"," 4.8","A-","9.3","+1.8","64% (11/17)"
"18","CeeDee Lamb (DAL) ","vs. ARI"," 5.8","A-","9.3","+4.8","100% (5/5)"
"19","Odell Beckham Jr. (CLE) ","at PIT"," 6.8","A-","9.3","-0.6","37% (6/16)"
"20","D.J. Moore (CAR) ","vs. CHI"," 4.6","B+","9.0","-0.7","46% (7/15)"
"21","Justin Jefferson (MIN) ","vs. ATL"," 7.0","B","9.0","+2.2","40% (2/5)"
"22","Darius Slayton (NYG) ","vs. WAS"," 7.0","B","8.9","+2.1","43% (7/16)"
"23","JuJu Smith-Schuster (PIT) ","vs. CLE"," 7.0","B","8.7","-3.8","27% (3/11)"
"24","DeVante Parker (MIA) ","vs. NYJ"," 7.6","B+","8.7","+2.4","58% (10/17)"
"25","Michael Gallup (DAL) ","vs. ARI"," 6.0","B","8.5","-0.9","43% (7/16)"
"26","Tyler Boyd (CIN) ","at IND"," 4.0","B","8.4","-1.1","37% (6/16)"
"27","Mecole Hardman (KC) ","at BUF"," 5.2","B-","8.4","+1.3","50% (8/16)"
"28","Laviska Shenault Jr. (JAC) ","vs. DET"," 6.2","B","8.0","+1.6","80% (4/5)"
"29","Jarvis Landry (CLE) ","at PIT"," 7.6","B-","8.0","+0.1","37% (6/16)"
"30","Chase Claypool (PIT) ","vs. CLE"," 7.8","B-","7.9","+11.6","75% (3/4)"
"31","T.Y. Hilton (IND) ","vs. CIN"," 5.2","B-","7.8","-4.4","36% (4/11)"
"32","Jamison Crowder (NYJ) ","at MIA"," 4.0","C+","7.8","+1.5","60% (9/15)"
"33","Brandin Cooks (HOU) ","at TEN"," 5.4","C+","7.7","-2.2","28% (4/14)"
"34","Tee Higgins (CIN) ","at IND"," 5.8","C+","7.6","+3.2","60% (3/5)"
"35","D.J. Chark Jr. (JAC) ","vs. DET"," 5.8","B+","7.6","-2.0","21% (3/14)"
"36","Deebo Samuel (SF) ","vs. LAR"," 6.4","C+","7.4","+1.9","61% (8/13)"
"37","Julian Edelman (NE) ","vs. DEN"," 5.0","C+","7.3","-1.9","26% (4/15)"
"38","Brandon Aiyuk (SF) ","vs. LAR"," 5.4","C+","7.3","+2.7","50% (2/4)"
"39","John Brown (BUF) ","vs. KC"," 4.0","C+","7.2","0.0","42% (6/14)"
"40","Jerry Jeudy (DEN) ","at NE"," 7.6","C","7.1","+0.9","50% (2/4)"
"41","Golden Tate (NYG) ","vs. WAS"," 6.4","C","6.9","+0.3","42% (6/14)"
