"RK","PLAYER NAME",TEAM,"OPP","MATCHUP (?)","START/SIT","PROJ. FPTS"
"1","Kansas City Chiefs",KC,"vs. NYJ","4 out of 5 stars","A+","8.4"
"2","Tampa Bay Buccaneers",TB,"at NYG","4 out of 5 stars","A","8.3"
"3","Philadelphia Eagles",PHI,"vs. DAL","4 out of 5 stars","A","8.0"
"4","Los Angeles Rams",LAR,"at MIA","3 out of 5 stars","A-","7.4"
"5","Los Angeles Chargers",LAC,"at DEN","5 out of 5 stars","A-","7.0"
"6","Baltimore Ravens",BAL,"vs. PIT","1 out of 5 stars","B+","6.7"
"7","Buffalo Bills",BUF,"vs. NE","5 out of 5 stars","B+","6.6"
"8","Indianapolis Colts",IND,"at DET","2 out of 5 stars","B","6.4"
"9","New Orleans Saints",NO,"at CHI","3 out of 5 stars","B","6.2"
"10","Pittsburgh Steelers",PIT,"at BAL","4 out of 5 stars","B-","6.2"
"11","Tennessee Titans",TEN,"at CIN","3 out of 5 stars","B-","6.0"
"12","Green Bay Packers",GB,"vs. MIN","3 out of 5 stars","C+","5.9"
"13","New England Patriots",NE,"at BUF","1 out of 5 stars","C+","5.9"
"14","Chicago Bears",CHI,"vs. NO","1 out of 5 stars","C","5.8"
"15","Denver Broncos",DEN,"vs. LAC","1 out of 5 stars","C-","5.8"
"16","Cleveland Browns",CLE,"vs. LV","1 out of 5 stars","C-","5.7"
"17","Seattle Seahawks",SEA,"vs. SF","4 out of 5 stars","C-","5.7"
"18","Las Vegas Raiders",LV,"at CLE","1 out of 5 stars","D+","5.7"
"19","Carolina Panthers",CAR,"vs. ATL","1 out of 5 stars","D","5.7"
"20","Detroit Lions",DET,"vs. IND","3 out of 5 stars","D","5.6"
"21","Miami Dolphins",MIA,"vs. LAR","3 out of 5 stars","D","5.6"
"22","San Francisco 49ers",SF,"at SEA","2 out of 5 stars","D-","5.6"
"23","New York Giants",NYG,"vs. TB","4 out of 5 stars","D-","5.6"
"24","Atlanta Falcons",ATL,"at CAR","2 out of 5 stars","F","5.1"
"25","Dallas Cowboys",DAL,"at PHI","3 out of 5 stars","F","4.7"
"26","Cincinnati Bengals",CIN,"vs. TEN","1 out of 5 stars","F","4.5"
"27","New York Jets",NYJ,"at KC","1 out of 5 stars","F","4.3"
"28","Minnesota Vikings",MIN,"at GB","1 out of 5 stars","F","4.2"
