"RK","PLAYER NAME","OPP","MATCHUP RATING","START/SIT","PROJ. FPTS","AVG. POINTS (?)","% GAMES (?)"
"1","Travis Kelce (KC) ","at BUF"," 6.6","A+","11.4","-0.2","50% (8/16)"
"2","George Kittle (SF) ","vs. LAR"," 7.0","A","9.7","+1.2","53% (7/13)"
"3","Mark Andrews (BAL) ","at PHI"," 8.4","A-","9.0","+0.1","53% (8/15)"
"4","Jonnu Smith (TEN) ","vs. HOU"," 8.0","B+","8.6","+2.4","53% (8/15)"
"5","Zach Ertz (PHI) ","vs. BAL"," 5.6","B","7.0","-1.7","33% (5/15)"
"6","Evan Engram (NYG) ","vs. WAS"," 8.0","B","6.5","-3.4","37% (3/8)"
"7","T.J. Hockenson (DET) ","at JAC"," 7.8","B-","6.5","-0.8","36% (4/11)"
"8","Eric Ebron (PIT) ","vs. CLE"," 6.2","C+","6.4","-0.1","44% (4/9)"
"9","Robert Tonyan (GB) ","at TB"," 4.6","C","6.1","+3.2","41% (5/12)"
"10","Dalton Schultz (DAL) ","vs. ARI"," 6.4","C","6.1","+0.9","26% (4/15)"
"11","Mike Gesicki (MIA) ","vs. NYJ"," 6.2","C","5.7","+1.5","47% (8/17)"
"12","Hayden Hurst (ATL) ","at MIN"," 5.2","C-","5.6","-1.1","18% (3/16)"
"13","Austin Hooper (CLE) ","at PIT"," 3.4","D+","5.4","-0.9","46% (6/13)"
"14","Tyler Higbee (LAR) ","at SF"," 5.8","D+","5.2","+1.9","56% (9/16)"
"15","Rob Gronkowski (TB) ","vs. GB"," 6.4","D+","5.1","-2.6","20% (1/5)"
"16","Jimmy Graham (CHI) ","at CAR"," 4.6","D+","5.0","+0.7","43% (7/16)"
"17","Logan Thomas (WAS) ","at NYG"," 3.6","D","4.8","-0.5","31% (5/16)"
"18","Irv Smith Jr. (MIN) ","vs. ATL"," 8.2","D","4.5","-0.1","43% (7/16)"
"19","Drew Sample (CIN) ","at IND"," 5.6","D-","4.5","0.0","33% (3/9)"
"20","Trey Burton (IND) ","vs. CIN"," 5.2","D-","4.2","-1.0","40% (2/5)"
"21","Tyler Eifert (JAC) ","vs. DET"," 5.0","D-","3.8","+0.5","37% (6/16)"
"22","Gerald Everett (LAR) ","at SF"," 4.4","F","3.8","-0.1","38% (5/13)"
"23","Kyle Rudolph (MIN) ","vs. ATL"," 8.2","F","3.7","+1.6","50% (8/16)"
"24","Darren Fells (HOU) ","at TEN"," 8.2","F","3.6","+0.2","37% (6/16)"
"25","Jordan Akins (HOU) ","at TEN"," 9.0","F","3.4","+0.6","46% (7/15)"
"26","Ian Thomas (CAR) ","vs. CHI"," 7.4","F","3.3","-0.6","25% (4/16)"
"27","Mo Alie-Cox (IND) ","vs. CIN"," 4.8","F","3.2","+0.1","40% (6/15)"
"28","Chris Herndon IV (NYJ) ","at MIA"," 4.0","F","3.1","-4.7","0% (0/6)"
"29","Cameron Brate (TB) ","vs. GB"," 5.8","F","3.1","+0.4","43% (7/16)"
"30","Dawson Knox (BUF) ","vs. KC"," 6.2","F","3.0","-1.2","20% (3/15)"
"31","Dan Arnold (ARI) ","at DAL"," 6.2","F","2.8","-0.2","36% (4/11)"
"32","Jack Doyle (IND) ","vs. CIN"," 5.2","F","2.8","-2.4","26% (4/15)"
"33","Noah Fant (DEN) ","at NE"," 2.8","F","2.7","+0.4","40% (6/15)"
"34","Nick Boyle (BAL) ","at PHI"," 9.2","F","2.7","+0.3","31% (5/16)"
"35","James O'Shaughnessy (JAC) ","vs. DET"," 6.4","F","2.6","+0.6","60% (3/5)"
"36","Tanner Hudson (TB) ","vs. GB"," 5.8","F","2.6","-","-"
"37","David Njoku (CLE) ","at PIT"," 4.0","F","2.4","+0.4","25% (1/4)"
"38","Ryan Izzo (NE) ","vs. DEN"," 5.4","F","2.2","-1.5","22% (2/9)"
"39","Vance McDonald (PIT) ","vs. CLE"," 6.6","F","2.1","-1.8","14% (2/14)"
"40","Tyler Kroft (BUF) ","vs. KC"," 6.2","F","2.0","-0.2","25% (4/16)"
"41","Anthony Firkser (TEN) ","vs. HOU"," 7.8","F","2.0","+0.1","50% (7/14)"
"42","Harrison Bryant (CLE) ","at PIT"," 4.0","F","1.9","+0.2","40% (2/5)"
"43","Richard Rodgers (PHI) ","vs. BAL"," 5.2","F","1.9","+0.4","40% (2/5)"
"44","Jace Sternberger (GB) ","at TB"," 5.2","F","1.9","-1.1","7% (1/13)"
"45","Ryan Griffin (NYJ) ","at MIA"," 3.8","F","1.8","+2.0","46% (6/13)"
"46","Jesse James (DET) ","at JAC"," 8.0","F","1.7","-0.6","18% (3/16)"
"47","Darrell Daniels (ARI) ","at DAL"," 7.0","F","1.6","+0.1","20% (3/15)"
"48","Kaden Smith (NYG) ","vs. WAS"," 8.2","F","1.6","+1.6","38% (5/13)"
"49","Jake Butt (DEN) ","at NE"," 2.6","F","1.6","-0.9","25% (1/4)"
"50","Demetrius Harris (CHI) ","at CAR"," 5.6","F","1.5","+0.5","35% (5/14)"
"51","Nick Vannett (DEN) ","at NE"," 2.6","F","1.4","-0.7","28% (4/14)"
"52","Adam Shaheen (MIA) ","vs. NYJ"," 6.6","F","1.4","-0.1","37% (3/8)"
"53","MyCole Pruitt (TEN) COV-IR ","vs. HOU"," 7.8","F","1.4","0.0","35% (5/14)"
"54","Blake Bell (DAL) ","vs. ARI"," 6.2","F","1.4","+0.1","26% (4/15)"
"55","Chris Manhertz (CAR) ","vs. CHI"," 7.2","F","1.3","-0.3","20% (3/15)"
"56","Cole Kmet (CHI) ","at CAR"," 5.6","F","1.3","-1.5","0% (0/5)"
"57","Albert Okwuegbunam (DEN) ","at NE"," 2.6","F","1.3","-0.7","0% (0/3)"
"58","Ross Dwelley (SF) ","vs. LAR"," 6.6","F","1.3","+0.4","23% (4/17)"
"59","Pharaoh Brown (HOU) ","at TEN"," 9.0","F","1.2","-","-"
"60","Luke Stocker (ATL) ","at MIN"," 5.8","F","1.2","-1.2","21% (3/14)"
"61","Trevon Wesco (NYJ) ","at MIA"," 3.8","F","1.2","-0.2","18% (3/16)"
"62","Cethan Carter (CIN) ","at IND"," 5.6","F","1.2","+0.2","14% (2/14)"
"63","Lee Smith (BUF) ","vs. KC"," 6.2","F","1.1","-0.1","21% (3/14)"
"64","Marcedes Lewis (GB) ","at TB"," 5.2","F","1.3","-0.3","23% (3/13)"
"65","Devin Asiasi (NE) ","vs. DEN"," 5.8","F","1.0","-1.9","0% (0/4)"
"66","Durham Smythe (MIA) ","vs. NYJ"," 6.6","F","0.9","-0.3","26% (4/15)"
"67","Jaeden Graham (ATL) ","at MIN"," 5.8","F","0.8","-0.1","33% (5/15)"
"68","Temarrick Hemingway (WAS) ","at NYG"," 3.8","F","0.8","-","-"
"69","Tyler Conklin (MIN) ","vs. ATL"," 8.2","F","0.8","-0.1","20% (3/15)"
"70","Nick Keizer (KC) ","at BUF"," 6.2","F","0.7","-0.8","0% (0/5)"
"71","Jeremy Sprinkle (WAS) ","at NYG"," 3.8","F","0.7","-0.6","18% (3/16)"
"72","Deon Yelder (KC) ","at BUF"," 6.2","F","0.7","-0.6","13% (2/15)"
"73","Mason Schreck (CIN) ","at IND"," 5.6","F","0.7","-","-"
"74","Charlie Woerner (SF) ","vs. LAR"," 6.6","F","0.7","-0.8","0% (0/5)"
"75","Levine Toilolo (NYG) ","vs. WAS"," 8.2","F","0.7","-0.7","12% (2/16)"
"76","Johnny Mundt (LAR) ","at SF"," 4.8","F","0.7","-0.1","23% (3/13)"
"77","J.P. Holtz (CHI) ","at CAR"," 5.6","F","0.6","-0.4","6% (1/15)"
"78","Andrew Beck (DEN) ","at NE"," 2.6","F","0.6","-0.1","28% (4/14)"
