"RK","PLAYER NAME",TEAM,"OPP","MATCHUP RATING","START/SIT","PROJ. FPTS","AVG. POINTS (?)","% GAMES (?)"
"74","Levine Toilolo",NYG,"at PHI"," 8.0","F","1.0","-0.8","6% (1/16)"
"75","Jaeden Graham",ATL,"vs. DET"," 5.6","F","1.9","-0.3","26% (4/15)"
"76","Jordan Thomas",ARI,"vs. SEA","-","F","1.9","-0.1","10% (1/10)"
"77","Johnny Mundt",LAR,"vs. CHI"," 7.4","F","1.8","-0.1","21% (3/14)"
"78","Deon Yelder",KC,"at DEN"," 4.8","F","1.8","-0.5","13% (2/15)"
"79","Gabe Nabers",LAC,"vs. JAC"," 7.8","F","1.8","-","-"
"80","Temarrick Hemingway",WAS,"vs. DAL"," 7.2","F","1.8","-","-"
"81","Paul Butler",FA,"-","-","F","1.8","-","-"
"82","Sean McKeon",DAL,"at WAS"," 8.0","F","1.5","-0.7","0% (0/5)"
"83","Marcus Baugh",WAS,"vs. DAL","-","F","1.4","-0.7","25% (1/4)"
"84","Andrew Beck",DEN,"vs. KC"," 6.2","F","1.4","-0.2","28% (4/14)"
"85","J.P. Holtz",CHI,"at LAR"," 6.6","F","1.3","-0.4","6% (1/16)"
"86","Garrett Griffin",NO,"vs. CAR","-","F","1.3","-","-"
"87","Derek Carrier",LV,"vs. TB"," 4.8","F","1.3","+0.1","26% (4/15)"
"88","Stephen Carlson",CLE,"at CIN"," 6.4","F","1.1","+0.1","28% (4/14)"
"89","Mason Schreck",CIN,"vs. CLE"," 5.8","F","0.9","-","-"
"90","Charlie Woerner",SF,"at NE"," 2.6","F","0.6","-0.8","0% (0/6)"
"91","Luke Willson",SEA,"at ARI"," 6.0","F","0.2","-1.3","0% (0/10)"
