"RK","PLAYER NAME",TEAM,"OPP","MATCHUP ","START/SIT","PROJ. FPTS"
"1","DeAndre Hopkins",ARI,"at SEA","5 out of 5 stars","A+","14.1"
"2","Davante Adams",GB,"at IND","2 out of 5 stars","A+","14.0"
"3","Tyreek Hill",KC,"at LV","4 out of 5 stars","A+","13.8"
"4","Julio Jones",ATL,"at NO","4 out of 5 stars","A+","13.2"
"5","D.K. Metcalf",SEA,"vs. ARI","3 out of 5 stars","A+","12.5"
"6","Keenan Allen",LAC,"vs. NYJ","4 out of 5 stars","A+","12.3"
"7","Terry McLaurin",WAS,"vs. CIN","5 out of 5 stars","A","12.2"
"8","Tyler Lockett",SEA,"vs. ARI","3 out of 5 stars","A","12.1"
"9","Adam Thielen",MIN,"vs. DAL","4 out of 5 stars","A","11.4"
"10","A.J. Brown",TEN,"at BAL","1 out of 5 stars","A","11.2"
"11","Chase Claypool",PIT,"at JAC","4 out of 5 stars","A","11.2"
"12","Diontae Johnson",PIT,"at JAC","4 out of 5 stars","A-","10.9"
"13","Michael Thomas",NO,"vs. ATL","5 out of 5 stars","A","10.6"
"14","JuJu Smith-Schuster",PIT,"at JAC","4 out of 5 stars","A-","10.5"
"15","Will Fuller V",HOU,"vs. NE","3 out of 5 stars","A-","10.5"
"16","Justin Jefferson",MIN,"vs. DAL","4 out of 5 stars","A-","10.4"
"17","Robby Anderson",CAR,"vs. DET","3 out of 5 stars","A-","10.4"
"18","Tee Higgins",CIN,"at WAS","1 out of 5 stars","B+","10.2"
"19","Cooper Kupp",LAR,"at TB","3 out of 5 stars","B+","10.2"
"20","Tyler Boyd",CIN,"at WAS","1 out of 5 stars","B+","10.0"
"21","Chris Godwin",TB,"vs. LAR","1 out of 5 stars","B","9.9"
"22","Robert Woods",LAR,"at TB","3 out of 5 stars","B","9.7"
"23","Amari Cooper",DAL,"at MIN","4 out of 5 stars","B","9.7"
"24","Mike Evans",TB,"vs. LAR","1 out of 5 stars","B","9.6"
