"RK","PLAYER NAME",TEAM,"OPP","MATCHUP (?)","START/SIT","PROJ. FPTS"
"1","Patrick Mahomes II",KC,"vs. NYJ","3 out of 5 stars","A+","23.2"
"2","Aaron Rodgers",GB,"vs. MIN","4 out of 5 stars","A","22.4"
"3","Russell Wilson",SEA,"vs. SF","3 out of 5 stars","A","21.6"
"4","Ryan Tannehill",TEN,"at CIN","5 out of 5 stars","A-","20.9"
"5","Tom Brady",TB,"at NYG","4 out of 5 stars","B+","20.1"
"6","Lamar Jackson",BAL,"vs. PIT","2 out of 5 stars","B+","19.6"
"7","Carson Wentz",PHI,"vs. DAL","4 out of 5 stars","B+","19.2"
"8","Josh Allen",BUF,"vs. NE","1 out of 5 stars","B","18.8"
"9","Justin Herbert",LAC,"at DEN","4 out of 5 stars","B","18.6"
"10","Teddy Bridgewater",CAR,"vs. ATL","5 out of 5 stars","B-","18.5"
"11","Matt Ryan",ATL,"at CAR","1 out of 5 stars","B-","18.2"
"12","Joe Burrow",CIN,"vs. TEN","5 out of 5 stars","B-","17.9"
"13","Jared Goff",LAR,"at MIA","2 out of 5 stars","C+","17.6"
"14","Derek Carr",LV,"at CLE","4 out of 5 stars","C+","17.3"
"15","Matthew Stafford",DET,"vs. IND","1 out of 5 stars","C+","17.0"
"16","Cam Newton",NE,"at BUF","4 out of 5 stars","C","16.8"
"17","Kirk Cousins",MIN,"at GB","3 out of 5 stars","C","16.6"
"18","Ben Roethlisberger",PIT,"at BAL","4 out of 5 stars","C-","16.4"
"19","Baker Mayfield",CLE,"vs. LV","4 out of 5 stars","C-","16.3"
"20","Jimmy Garoppolo",SF,"at SEA","5 out of 5 stars","D+","16.1"
"21","Drew Brees",NO,"at CHI","1 out of 5 stars","D","15.9"
"22","Philip Rivers",IND,"at DET","3 out of 5 stars","D","15.6"
"23","Tua Tagovailoa",MIA,"vs. LAR","3 out of 5 stars","D-","15.2"
"24","Nick Foles",CHI,"vs. NO","5 out of 5 stars","F","14.9"
"25","Daniel Jones",NYG,"vs. TB","1 out of 5 stars","F","14.3"
"26","Andy Dalton",DAL,"at PHI","5 out of 5 stars","F","13.3"
"27","Drew Lock",DEN,"vs. LAC","5 out of 5 stars","F","12.5"
"28","Sam Darnold",NYJ,"at KC","2 out of 5 stars","F","10.7"
"29","Taysom Hill",NO,"at CHI","1 out of 5 stars","F","6.1"
"30","Jalen Hurts",PHI,"vs. DAL","4 out of 5 stars","F","2.1"
"31","Jarrett Stidham",NE,"at BUF","4 out of 5 stars","F","3.0"
"32","Ben DiNucci",DAL,"at PHI","5 out of 5 stars","F","2.4"
"33","Joe Flacco",NYJ,"at KC","2 out of 5 stars","F","1.8"
"34","C.J. Beathard",SF,"at SEA","5 out of 5 stars","F","1.2"
"35","Brett Rypien",DEN,"vs. LAC","5 out of 5 stars","F","1.0"
"36","Mitchell Trubisky",CHI,"vs. NO","5 out of 5 stars","F","0.9"
