"RK","PLAYER NAME",TEAM,"OPP","MATCHUP (?)","START/SIT","PROJ. FPTS"
"1","Dalvin Cook",MIN,"vs. DET","5 out of 5 stars","A+","21.2"
"2","Alvin Kamara",NO,"at TB","1 out of 5 stars","A+","21.0"
"3","Christian McCaffrey",CAR,"at KC","2 out of 5 stars","A+","21.0"
"4","Derrick Henry",TEN,"vs. CHI","2 out of 5 stars","A","19.5"
"5","James Robinson",JAC,"vs. HOU","5 out of 5 stars","A","18.2"
"6","James Conner",PIT,"at DAL","4 out of 5 stars","A","17.5"
"7","Chase Edmonds",ARI,"vs. MIA","5 out of 5 stars","A","17.5"
"8","Josh Jacobs",LV,"at LAC","3 out of 5 stars","A","17.2"
"9","Antonio Gibson",WAS,"vs. NYG","3 out of 5 stars","A","16.7"
"10","Clyde Edwards-Helaire",KC,"vs. CAR","5 out of 5 stars","A-","15.9"
"11","Todd Gurley II",ATL,"vs. DEN","1 out of 5 stars","A-","15.8"
"12","Ezekiel Elliott",DAL,"vs. PIT","2 out of 5 stars","A-","15.4"
"13","David Johnson",HOU,"at JAC","5 out of 5 stars","A-","15.3"
"14","D'Andre Swift",DET,"at MIN","2 out of 5 stars","B+","14.8"
"15","David Montgomery",CHI,"at TEN","5 out of 5 stars","B+","14.5"
"16","J.K. Dobbins",BAL,"at IND","1 out of 5 stars","B","14.4"
"17","Justin Jackson",LAC,"vs. LV","4 out of 5 stars","B","14.1"
"18","Melvin Gordon III",DEN,"at ATL","2 out of 5 stars","B","13.3"
"19","Leonard Fournette",TB,"vs. NO","1 out of 5 stars","B","13.3"
"20","Damien Harris",NE,"at NYJ","4 out of 5 stars","B-","13.1"
"21","JaMycal Hasty",SF,"vs. GB","5 out of 5 stars","B-","11.8"
"22","Le'Veon Bell",KC,"vs. CAR","5 out of 5 stars","C+","11.7"
"23","Chris Carson",SEA,"at BUF","5 out of 5 stars","C+","11.1"
"24","Ronald Jones II",TB,"vs. NO","1 out of 5 stars","C+","10.7"
"25","Zack Moss",BUF,"vs. SEA","2 out of 5 stars","C+","10.6"
"26","Jonathan Taylor",IND,"vs. BAL","1 out of 5 stars","C+","10.1"
"27","DeeJay Dallas",SEA,"at BUF","5 out of 5 stars","C+","9.1"
"28","Devin Singletary",BUF,"vs. SEA","2 out of 5 stars","C","9.0"
"29","James White",NE,"at NYJ","4 out of 5 stars","C","9.0"
"30","Phillip Lindsay",DEN,"at ATL","2 out of 5 stars","C","8.6"
"31","Jerick McKinnon",SF,"vs. GB","5 out of 5 stars","C","8.5"
"32","Wayne Gallman",NYG,"at WAS","2 out of 5 stars","C","8.3"
"33","Matt Breida",MIA,"at ARI","3 out of 5 stars","C","8.2"
"34","Nyheim Hines",IND,"vs. BAL","1 out of 5 stars","C","8.0"
"35","Aaron Jones",GB,"at SF","1 out of 5 stars","B","8.0"
"36","Gus Edwards",BAL,"at IND","1 out of 5 stars","C-","7.7"
"37","Lamical Perine",NYJ,"vs. NE","4 out of 5 stars","C-","7.7"
"38","Jordan Wilkins",IND,"vs. BAL","1 out of 5 stars","C-","7.5"
