"RK","PLAYER NAME",TEAM,"OPP","MATCHUP ","START/SIT","PROJ. FPTS"
"1","Travis Kelce",KC,"at MIA","3 out of 5 stars","A+","11.6"
"2","Darren Waller",LV,"vs. IND","1 out of 5 stars","A","9.4"
"3","T.J. Hockenson",DET,"vs. GB","1 out of 5 stars","A-","7.7"
"4","Robert Tonyan",GB,"at DET","3 out of 5 stars","B+","7.7"
"5","Hunter Henry",LAC,"vs. ATL","5 out of 5 stars","B","6.8"
"6","Rob Gronkowski",TB,"vs. MIN","3 out of 5 stars","B-","6.6"
"7","Evan Engram",NYG,"vs. ARI","3 out of 5 stars","C+","6.5"
"8","Eric Ebron",PIT,"at BUF","4 out of 5 stars","C+","6.1"
"9","Mark Andrews",BAL,"at CLE","4 out of 5 stars","B-","6.0"
"10","Mike Gesicki",MIA,"vs. KC","3 out of 5 stars","C","5.9"
"11","Dallas Goedert",PHI,"vs. NO","1 out of 5 stars","C-","5.8"
"12","Noah Fant",DEN,"at CAR","3 out of 5 stars","C-","5.8"
"13","Hayden Hurst",ATL,"at LAC","4 out of 5 stars","D+","5.6"
"14","Logan Thomas",WAS,"at SF","1 out of 5 stars","D+","5.2"
"15","Dalton Schultz",DAL,"at CIN","4 out of 5 stars","D+","5.1"
"16","Jordan Reed",SF,"vs. WAS","3 out of 5 stars","D","4.9"
"17","Anthony Firkser",TEN,"at JAC","4 out of 5 stars","D","4.8"
"18","Jordan Akins",HOU,"at CHI","5 out of 5 stars","D","4.6"
"19","Tyler Higbee",LAR,"vs. NE","1 out of 5 stars","D-","4.6"
"20","Austin Hooper",CLE,"vs. BAL","3 out of 5 stars","D-","4.6"
"21","Kyle Rudolph",MIN,"at TB","3 out of 5 stars","F","4.3"
"22","Trey Burton",IND,"at LV","3 out of 5 stars","D-","4.3"
"23","Jared Cook",NO,"at PHI","3 out of 5 stars","F","4.2"
"24","Tyler Eifert",JAC,"vs. TEN","4 out of 5 stars","F","4.1"
"25","Cole Kmet",CHI,"vs. HOU","3 out of 5 stars","F","4.0"
"26","Zach Ertz",PHI,"vs. NO","1 out of 5 stars","F","4.0"
"27","Jacob Hollister",SEA,"vs. NYJ","4 out of 5 stars","F","3.9"
"28","Gerald Everett",LAR,"vs. NE","1 out of 5 stars","F","3.9"
"29","Drew Sample",CIN,"vs. DAL","4 out of 5 stars","F","3.8"
"30","Dan Arnold",ARI,"at NYG","2 out of 5 stars","F","3.7"
"31","Dawson Knox",BUF,"vs. PIT","1 out of 5 stars","F","3.6"
"32","Mo Alie-Cox",IND,"at LV","3 out of 5 stars","F","3.6"
"33","Will Dissly",SEA,"vs. NYJ","4 out of 5 stars","F","3.4"
"34","Cameron Brate",TB,"vs. MIN","3 out of 5 stars","F","3.2"
"35","Jimmy Graham",CHI,"vs. HOU","3 out of 5 stars","F","3.1"
"36","Irv Smith Jr.",MIN,"at TB","3 out of 5 stars","F","3.1"
"37","Darren Fells",HOU,"at CHI","5 out of 5 stars","F","3.0"
"38","Jack Doyle",IND,"at LV","3 out of 5 stars","F","2.7"
"39","Ian Thomas",CAR,"vs. DEN","3 out of 5 stars","F","2.6"
"40","Chris Herndon IV",NYJ,"at SEA","3 out of 5 stars","F","2.5"
"41","Harrison Bryant",CLE,"vs. BAL","3 out of 5 stars","F","2.4"
"42","Jonnu Smith",TEN,"at JAC","4 out of 5 stars","F","2.4"
"43","James O'Shaughnessy",JAC,"vs. TEN","4 out of 5 stars","F","2.4"
"44","Durham Smythe",MIA,"vs. KC","3 out of 5 stars","F","2.4"
"45","Ross Dwelley",SF,"vs. WAS","3 out of 5 stars","F","2.3"
"46","Jesse James",DET,"vs. GB","1 out of 5 stars","F","2.3"
"47","Luke Willson",BAL,"at CLE","4 out of 5 stars","F","2.3"
"48","Adam Shaheen",MIA,"vs. KC","3 out of 5 stars","F","2.2"
"49","MyCole Pruitt",TEN,"at JAC","4 out of 5 stars","F","2.1"
"50","Donald Parham Jr.",LAC,"vs. ATL","5 out of 5 stars","F","2.1"
"51","David Njoku",CLE,"vs. BAL","3 out of 5 stars","F","2.0"
"52","Adam Trautman",NO,"at PHI","3 out of 5 stars","F","2.0"
"53","Marcedes Lewis",GB,"at DET","3 out of 5 stars","F","2.0"
"54","Ryan Griffin",NYJ,"at SEA","3 out of 5 stars","F","2.0"
"55","Maxx Williams",ARI,"at NYG","2 out of 5 stars","F","1.9"
"56","Geoff Swaim",TEN,"at JAC","4 out of 5 stars","F","1.8"
"57","Foster Moreau",LV,"vs. IND","1 out of 5 stars","F","1.8"
