"RK","PLAYER NAME",TEAM,"OPP","MATCHUP RATING","START/SIT","PROJ. FPTS","AVG. POINTS (?)","% GAMES (?)"
"1","Russell Wilson",SEA,"at ARI"," 7.2","A+","24.0","+0.9","33% (5/15)"
"2","Patrick Mahomes II",KC,"at DEN"," 4.8","A+","23.3","0.0","42% (6/14)"
"3","Kyler Murray",ARI,"vs. SEA"," 5.4","A","22.5","+2.7","62% (10/16)"
"4","Josh Allen",BUF,"at NYJ"," 5.8","A","21.8","+3.2","64% (11/17)"
"5","Aaron Rodgers",GB,"at HOU"," 6.6","A-","21.1","+0.7","40% (6/15)"
"6","Deshaun Watson",HOU,"vs. GB"," 7.2","A-","20.5","+1.0","46% (7/15)"
"7","Matt Ryan",ATL,"vs. DET"," 5.4","B+","20.1","-1.6","40% (6/15)"
"8","Matthew Stafford",DET,"at ATL"," 8.6","B+","19.8","+3.5","75% (6/8)"
"9","Justin Herbert",LAC,"vs. JAC"," 9.4","B","19.6","+10.1","75% (3/4)"
"10","Cam Newton",NE,"vs. SF"," 7.8","B","19.1","+3.2","75% (3/4)"
"11","Ben Roethlisberger",PIT,"at TEN"," 6.0","B-","18.7","+0.6","80% (4/5)"
"12","Tom Brady",TB,"at LV"," 5.2","B-","18.3","-0.6","37% (6/16)"
"13","Ryan Tannehill",TEN,"vs. PIT"," 7.4","C+","17.9","+6.8","80% (12/15)"
"14","Drew Brees",NO,"vs. CAR"," 2.6","C+","17.5","+2.7","64% (9/14)"
"15","Joe Burrow",CIN,"vs. CLE"," 7.8","C","17.1","+1.0","66% (4/6)"
"16","Carson Wentz",PHI,"vs. NYG"," 6.0","C","16.8","+1.6","56% (9/16)"
"17","Gardner Minshew II",JAC,"at LAC"," 5.2","C","16.4","+2.2","62% (10/16)"
"18","Teddy Bridgewater",CAR,"at NO"," 6.4","C-","16.0","+0.8","33% (5/15)"
"19","Andy Dalton",DAL,"at WAS"," 9.0","D+","15.7","+0.8","33% (5/15)"
"20","Jared Goff",LAR,"vs. CHI"," 4.4","D","15.6","+1.6","62% (10/16)"
"21","Derek Carr",LV,"vs. TB"," 4.4","D","15.3","+2.5","68% (11/16)"
"22","Daniel Jones",NYG,"at PHI"," 8.4","D","14.9","+0.9","35% (5/14)"
"23","Jimmy Garoppolo",SF,"at NE"," 6.6","D-","14.6","+1.1","46% (7/15)"
"24","Baker Mayfield",CLE,"at CIN"," 7.0","F","14.2","+0.9","56% (9/16)"
"25","Kyle Allen",WAS,"vs. DAL"," 3.6","F","13.8","+1.0","50% (7/14)"
"26","Nick Foles",CHI,"at LAR"," 5.2","F","13.3","+0.2","36% (4/11)"
"27","Drew Lock",DEN,"vs. KC"," 4.8","F","13.0","-2.5","22% (2/9)"
"28","Joe Flacco",NYJ,"vs. BUF"," 4.6","F","12.1","-3.3","50% (2/4)"
"29","Jalen Hurts",PHI,"vs. NYG"," 5.8","F","5.2","-0.1","40% (2/5)"
"30","Brett Rypien",DEN,"vs. KC"," 6.6","F","1.6","-","-"
"31","Taysom Hill",NO,"vs. CAR","-","F","1.2","+4.2","71% (10/14)"
"32","C.J. Beathard",SF,"at NE"," 4.4","F","1.1","+4.9","100% (1/1)"
"33","Sam Darnold",NYJ,"vs. BUF","-","F","1.0","+2.1","46% (7/15)"
"34","Jarrett Stidham",NE,"vs. SF"," 9.2","F","1.0","0.0","8% (1/12)"
"35","Nick Mullens",SF,"at NE"," 6.0","F","0.9","-0.8","15% (2/13)"
"36","Alex Smith",WAS,"vs. DAL"," 6.2","F","0.9","-0.3","33% (1/3)"
