"RK","PLAYER NAME",TEAM,"OPP","MATCHUP ","START/SIT","PROJ. FPTS"
"148","Ja'Marcus Bradley",CLE,"at TEN","4 out of 5 stars","F","0.1"
"149","Austin Carr",NO,"at ATL","5 out of 5 stars","F","0.1"
"150","Malik Taylor",GB,"vs. PHI","3 out of 5 stars","F","0.1"
"151","Penny Hart",SEA,"vs. NYG","3 out of 5 stars","F","0.1"
"152","Terry Godwin",JAC,"at MIN","4 out of 5 stars","F","0.1"
"153","Isaiah Ford",NE,"at LAC","2 out of 5 stars","F","0.1"
"154","Trent Taylor",SF,"vs. BUF","2 out of 5 stars","F","0.1"
"155","Tommylee Lewis",NO,"at ATL","5 out of 5 stars","F","0.1"
"156","K.J. Hill",LAC,"vs. NE","3 out of 5 stars","F","0.1"
"157","Stanley Morgan Jr.",CIN,"at MIA","3 out of 5 stars","F","0.1"
"158","Gehrig Dieter",KC,"vs. DEN","2 out of 5 stars","F","0.1"
"159","Damion Ratley",HOU,"vs. IND","2 out of 5 stars","F","0.1"
"160","Trent Sherfield",ARI,"vs. LAR","1 out of 5 stars","F","0.1"
"161","Ashton Dulin",IND,"at HOU","4 out of 5 stars","F","0.1"
"162","Chris Moore",BAL,"vs. DAL","5 out of 5 stars","F","0.1"
"163","Diontae Spencer",DEN,"at KC","2 out of 5 stars","F","0.1"
