"RK","PLAYER NAME",TEAM,"OPP","MATCHUP ","START/SIT","PROJ. FPTS"
"1","Russell Wilson",SEA,"vs. NYJ","5 out of 5 stars","A+","23.0"
"2","Patrick Mahomes II",KC,"at MIA","2 out of 5 stars","A","22.7"
"3","Aaron Rodgers",GB,"at DET","4 out of 5 stars","A","21.9"
"4","Ryan Tannehill",TEN,"at JAC","5 out of 5 stars","A-","21.4"
"5","Justin Herbert",LAC,"vs. ATL","5 out of 5 stars","B+","20.8"
"6","Lamar Jackson",BAL,"at CLE","4 out of 5 stars","A-","20.3"
"7","Josh Allen",BUF,"vs. PIT","1 out of 5 stars","B","19.9"
"8","Deshaun Watson",HOU,"at CHI","2 out of 5 stars","B","19.6"
"9","Taysom Hill",NO,"at PHI","4 out of 5 stars","B","19.1"
"10","Kyler Murray",ARI,"at NYG","2 out of 5 stars","B","18.6"
"11","Tom Brady",TB,"vs. MIN","2 out of 5 stars","B","18.1"
"12","Ben Roethlisberger",PIT,"at BUF","4 out of 5 stars","B-","17.5"
"13","Matt Ryan",ATL,"at LAC","4 out of 5 stars","C+","17.0"
"14","Matthew Stafford",DET,"vs. GB","2 out of 5 stars","C","16.7"
"15","Philip Rivers",IND,"at LV","3 out of 5 stars","C","16.5"
"16","Kirk Cousins",MIN,"at TB","3 out of 5 stars","C","16.4"
"17","Mitchell Trubisky",CHI,"vs. HOU","3 out of 5 stars","C-","16.3"
"18","Derek Carr",LV,"vs. IND","2 out of 5 stars","C-","16.2"
"19","Teddy Bridgewater",CAR,"vs. DEN","3 out of 5 stars","D+","16.0"
"20","Cam Newton",NE,"at LAR","1 out of 5 stars","D+","15.8"
"21","Jalen Hurts",PHI,"vs. NO","3 out of 5 stars","D","15.6"
"22","Jared Goff",LAR,"vs. NE","1 out of 5 stars","D","15.4"
"23","Andy Dalton",DAL,"at CIN","4 out of 5 stars","D-","15.1"
"24","Baker Mayfield",CLE,"vs. BAL","3 out of 5 stars","F","14.8"
"25","Tua Tagovailoa",MIA,"vs. KC","3 out of 5 stars","F","14.5"
"26","Daniel Jones",NYG,"vs. ARI","4 out of 5 stars","F","14.1"
"27","Mike Glennon",JAC,"vs. TEN","5 out of 5 stars","F","13.9"
"28","Drew Lock",DEN,"at CAR","3 out of 5 stars","F","13.5"
"29","Nick Mullens",SF,"vs. WAS","3 out of 5 stars","F","13.2"
"30","Sam Darnold",NYJ,"at SEA","5 out of 5 stars","F","12.9"
"31","Alex Smith",WAS,"at SF","3 out of 5 stars","F","12.0"
"32","Brandon Allen",CIN,"vs. DAL","4 out of 5 stars","F","11.2"
"33","Jacoby Brissett",IND,"at LV","3 out of 5 stars","F","8.9"
"34","Colt McCoy",NYG,"vs. ARI","4 out of 5 stars","F","4.2"
"35","Ryan Finley",CIN,"vs. DAL","4 out of 5 stars","F","2.3"
"36","Ryan Fitzpatrick",MIA,"vs. KC","3 out of 5 stars","F","1.0"
"37","Carson Wentz",PHI,"vs. NO","3 out of 5 stars","F","1.0"
