"RK","PLAYER NAME",TEAM,"OPP","MATCHUP ","START/SIT","PROJ. FPTS"
"1","Darren Waller",LV,"vs. DEN","3 out of 5 stars","A+","9.2"
"2","T.J. Hockenson",DET,"vs. WAS","4 out of 5 stars","A-","7.4"
"3","Noah Fant",DEN,"at LV","3 out of 5 stars","B+","6.8"
"4","Dallas Goedert",PHI,"at NYG","2 out of 5 stars","B","6.7"
"5","Mark Andrews",BAL,"at NE","1 out of 5 stars","B","6.6"
"6","Rob Gronkowski",TB,"at CAR","2 out of 5 stars","B","6.4"
"7","Evan Engram",NYG,"vs. PHI","5 out of 5 stars","B-","6.4"
"8","Hunter Henry",LAC,"at MIA","3 out of 5 stars","C+","6.3"
"9","Jared Cook",NO,"vs. SF","1 out of 5 stars","C","5.9"
"10","Eric Ebron",PIT,"vs. CIN","4 out of 5 stars","C","5.8"
"11","Austin Hooper",CLE,"vs. HOU","4 out of 5 stars","C","5.8"
"12","Jonnu Smith",TEN,"vs. IND","1 out of 5 stars","C-","5.4"
"13","Robert Tonyan",GB,"vs. JAC","5 out of 5 stars","D+","5.3"
"14","Mike Gesicki",MIA,"vs. LAC","4 out of 5 stars","D+","5.3"
"15","Jimmy Graham",CHI,"vs. MIN","4 out of 5 stars","D+","5.3"
"16","Trey Burton",IND,"at TEN","5 out of 5 stars","D","4.9"
"17","Jordan Reed",SF,"at NO","3 out of 5 stars","D","4.7"
"18","Logan Thomas",WAS,"at DET","3 out of 5 stars","D","4.6"
"19","Gerald Everett",LAR,"vs. SEA","2 out of 5 stars","D","4.5"
"20","Tyler Higbee",LAR,"vs. SEA","2 out of 5 stars","D-","4.1"
"21","Jordan Akins",HOU,"at CLE","3 out of 5 stars","D-","4.0"
"22","Irv Smith Jr.",MIN,"at CHI","4 out of 5 stars","F","3.9"
"23","Ross Dwelley",SF,"at NO","3 out of 5 stars","F","3.9"
"24","Greg Olsen",SEA,"at LAR","4 out of 5 stars","F","3.9"
"25","Darren Fells",HOU,"at CLE","3 out of 5 stars","F","3.8"
"26","Mo Alie-Cox",IND,"at TEN","5 out of 5 stars","F","3.6"
"27","Tyler Eifert",JAC,"at GB","1 out of 5 stars","F","3.6"
"28","Jacob Hollister",SEA,"at LAR","4 out of 5 stars","F","3.5"
"29","Harrison Bryant",CLE,"vs. HOU","4 out of 5 stars","F","3.5"
"30","Anthony Firkser",TEN,"vs. IND","1 out of 5 stars","F","3.3"
"31","Drew Sample",CIN,"at PIT","1 out of 5 stars","F","3.0"
"32","Kyle Rudolph",MIN,"at CHI","4 out of 5 stars","F","2.9"
"33","Ian Thomas",CAR,"vs. TB","3 out of 5 stars","F","2.8"
