"RK","PLAYER NAME",TEAM,"OPP","MATCHUP ","START/SIT","PROJ. FPTS"
"1","Dalvin Cook",MIN,"vs. DAL","3 out of 5 stars","A+","20.4"
"2","Derrick Henry",TEN,"at BAL","2 out of 5 stars","A+","17.0"
"3","Alvin Kamara",NO,"vs. ATL","2 out of 5 stars","A","15.1"
"4","Aaron Jones",GB,"at IND","2 out of 5 stars","A","14.5"
"5","Josh Jacobs",LV,"vs. KC","3 out of 5 stars","A","14.2"
"6","Miles Sanders",PHI,"at CLE","2 out of 5 stars","A","13.8"
"7","Nick Chubb",CLE,"vs. PHI","2 out of 5 stars","A","13.5"
"8","James Robinson",JAC,"vs. PIT","2 out of 5 stars","A","13.4"
"9","James Conner",PIT,"at JAC","5 out of 5 stars","A","13.4"
"10","Mike Davis",CAR,"vs. DET","5 out of 5 stars","A-","13.2"
"11","Ezekiel Elliott",DAL,"at MIN","2 out of 5 stars","A-","13.1"
"12","Antonio Gibson",WAS,"vs. CIN","2 out of 5 stars","B+","13.1"
"13","Kalen Ballage",LAC,"vs. NYJ","5 out of 5 stars","A-","12.4"
"14","Kareem Hunt",CLE,"vs. PHI","2 out of 5 stars","B+","11.5"
"15","Clyde Edwards-Helaire",KC,"at LV","3 out of 5 stars","B","10.7"
"16","Damien Harris",NE,"at HOU","5 out of 5 stars","B","10.7"
"17","Todd Gurley II",ATL,"at NO","1 out of 5 stars","B","10.7"
"18","D'Andre Swift",DET,"at CAR","4 out of 5 stars","A-","10.5"
"19","Ronald Jones II",TB,"vs. LAR","2 out of 5 stars","B","10.4"
"20","Duke Johnson Jr.",HOU,"vs. NE","4 out of 5 stars","B","10.3"
"21","Salvon Ahmed",MIA,"at DEN","2 out of 5 stars","B","10.1"
"22","Giovani Bernard",CIN,"at WAS","3 out of 5 stars","B-","9.7"
"23","Melvin Gordon III",DEN,"vs. MIA","4 out of 5 stars","B-","9.6"
"24","Kenyan Drake",ARI,"at SEA","3 out of 5 stars","C+","9.6"
"25","Carlos Hyde",SEA,"vs. ARI","2 out of 5 stars","C+","8.9"
"26","Leonard Fournette",TB,"vs. LAR","2 out of 5 stars","C+","7.8"
"27","Chase Edmonds",ARI,"at SEA","3 out of 5 stars","C+","7.8"
"28","Jonathan Taylor",IND,"vs. GB","5 out of 5 stars","C","7.5"
"29","J.D. McKissic",WAS,"vs. CIN","2 out of 5 stars","C","7.4"
"30","J.K. Dobbins",BAL,"vs. TEN","5 out of 5 stars","C","7.3"
"31","Darrell Henderson",LAR,"at TB","1 out of 5 stars","C","7.3"
"32","Rex Burkhead",NE,"at HOU","5 out of 5 stars","C","7.3"
"33","Malcolm Brown",LAR,"at TB","1 out of 5 stars","C","7.1"
"34","Gus Edwards",BAL,"vs. TEN","5 out of 5 stars","C","6.9"
"35","Nyheim Hines",IND,"vs. GB","5 out of 5 stars","C","6.0"
"36","La'Mical Perine",NYJ,"at LAC","3 out of 5 stars","C","6.0"
"37","Phillip Lindsay",DEN,"vs. MIA","4 out of 5 stars","C-","5.9"
"38","Le'Veon Bell",KC,"at LV","3 out of 5 stars","C-","5.8"
"39","Mark Ingram II",BAL,"vs. TEN","5 out of 5 stars","C-","5.7"
"40","Latavius Murray",NO,"vs. ATL","2 out of 5 stars","D+","5.5"
"41","Joshua Kelley",LAC,"vs. NYJ","5 out of 5 stars","D+","5.5"
"42","Jamaal Williams",GB,"at IND","2 out of 5 stars","D","5.4"
"43","Jordan Wilkins",IND,"vs. GB","5 out of 5 stars","D","5.4"
"44","Tony Pollard",DAL,"at MIN","2 out of 5 stars","D","5.3"
"45","Cam Akers",LAR,"at TB","1 out of 5 stars","D-","5.2"
"46","Devontae Booker",LV,"vs. KC","3 out of 5 stars","D-","5.2"
"47","Adrian Peterson",DET,"at CAR","4 out of 5 stars","D-","5.1"
"48","James White",NE,"at HOU","5 out of 5 stars","F","4.9"
"49","Alexander Mattison",MIN,"vs. DAL","3 out of 5 stars","F","4.8"
"50","DeeJay Dallas",SEA,"vs. ARI","2 out of 5 stars","F","4.5"
"51","Boston Scott",PHI,"at CLE","2 out of 5 stars","F","4.5"
"52","Matt Breida",MIA,"at DEN","2 out of 5 stars","F","4.5"
"53","Kerryon Johnson",DET,"at CAR","4 out of 5 stars","F","4.3"
"54","Frank Gore",NYJ,"at LAC","3 out of 5 stars","F","4.1"
"55","D'Onta Foreman",TEN,"at BAL","2 out of 5 stars","F","3.8"
"56","Brian Hill",ATL,"at NO","1 out of 5 stars","F","3.6"
"57","Benny Snell Jr.",PIT,"at JAC","5 out of 5 stars","F","3.6"
"58","Samaje Perine",CIN,"at WAS","3 out of 5 stars","F","3.2"
"59","Jeremy McNichols",TEN,"at BAL","2 out of 5 stars","F","3.2"
