player,player_id,position,team_name,player_game_count,attempts,avoided_tackles,breakaway_attempts,breakaway_percent,breakaway_yards,declined_penalties,designed_yards,drops,elu_recv_mtf,elu_rush_mtf,elu_yco,elusive_rating,explosive,first_downs,franchise_id,fumbles,gap_attempts,grades_hands_fumble,grades_offense,grades_offense_penalty,grades_pass,grades_pass_block,grades_pass_route,grades_run,grades_run_block,longest,penalties,rec_yards,receptions,routes,run_plays,scramble_yards,scrambles,targets,total_touches,touchdowns,yards,yards_after_contact,yco_attempt,ypa,yprr,zone_attempts
Kareem Hunt,11841,HB,KC,1,27,7,0,0.0,0,0,103,0,0,7,64,59.3,0,5,16,0,6,79.2,65.2,76.0,,27.1,58.5,66.4,60.0,8,0,15,1,18,29,0,0,1,28,1,103,64,2.37,3.8,0.83,21
Kyren Williams,97118,HB,LA,1,22,5,1,29.7,30,0,101,0,1,5,91,107.9,1,9,26,1,17,26.5,59.9,77.5,,18.7,50.9,70.0,60.0,30,0,3,1,33,23,0,0,1,23,1,101,91,4.14,4.6,0.09,5
D'Andre Swift,57212,HB,CHI,1,21,2,1,24.7,18,0,73,0,0,2,45,18.6,1,5,6,0,13,77.9,61.0,76.8,,25.2,61.7,62.1,60.0,18,1,47,2,22,23,0,0,2,23,1,73,45,2.14,3.5,2.14,6
Rico Dowdle,40693,HB,DAL,1,20,6,0,0.0,0,0,87,0,0,6,53,72.3,3,6,9,1,6,26.1,67.3,77.1,,74.4,91.2,58.0,60.0,13,0,27,2,16,21,0,0,2,22,0,87,53,2.65,4.4,1.69,13
James Cook,83666,HB,BUF,1,20,2,0,0.0,0,0,82,0,1,2,46,31.4,3,5,4,0,8,77.9,63.2,76.6,,65.8,65.1,61.9,,12,0,17,2,13,22,0,0,3,22,1,82,46,2.3,4.1,1.31,12
Josh Jacobs,45953,HB,GB,1,19,2,0,0.0,0,0,73,0,1,2,68,53.7,2,6,12,0,9,77.0,78.3,76.5,,44.1,61.8,79.7,60.0,13,0,21,1,15,21,0,0,1,20,1,73,68,3.58,3.8,1.4,10
James Conner,11860,HB,ARZ,1,19,8,0,0.0,0,0,86,0,2,8,74,185.5,3,6,1,0,13,77.4,76.8,78.9,,75.6,59.6,76.5,66.7,14,0,14,2,20,24,0,0,3,21,0,86,74,3.89,4.5,0.7,6
Raheem Mostert,9783,HB,MIA,1,19,5,1,22.5,18,0,80,0,0,5,65,81.5,2,3,17,0,12,77.4,72.9,74.8,,56.7,63.0,73.1,60.0,18,0,18,2,17,22,0,0,2,21,0,80,65,3.42,4.2,1.06,7
Tyrone Tracy,84226,HB,NYG,1,18,1,2,40.3,52,0,129,0,0,1,66,19.3,4,5,21,0,12,76.7,72.0,78.6,,78.3,53.4,77.3,40.7,27,0,1,1,17,24,0,0,2,19,0,129,66,3.67,7.2,0.06,6
Derrick Henry,10679,HB,BLT,1,15,2,1,56.0,51,0,91,0,0,2,51,42.5,1,6,3,0,4,75.7,77.0,77.4,,78.8,54.7,78.1,59.3,51,0,4,1,14,21,0,0,1,16,1,91,51,3.4,6.1,0.29,11
