"Player","Team","Position","DK","FD","Std","Half","Full","DK Ceiling","FD Ceiling"
"Jalen Hurts","PHI","QB","23.6","23.3","22.6","22.6","22.6","36.2","36.1"
"Christian McCaffrey","SF","RB","23.7","21.1","17.8","20.2","22.6","39.7","36.4"
"Josh Allen","BUF","QB","23.1","22.9","22.2","22.2","22.2","35.0","34.9"
"Tyreek Hill","MIA","WR","22.9","19.4","14.4","18.0","21.5","40.1","34.8"
"Patrick Mahomes","KC","QB","22.6","22.4","21.2","21.2","21.2","33.4","33.2"
"Anthony Richardson","IND","QB","21.5","21.3","20.7","20.7","20.7","33.6","33.4"
"Amon-Ra St. Brown","DET","WR","21.1","17.4","12.6","16.3","20.0","37.6","32.0"
"C.J. Stroud","HOU","QB","21.5","21.3","20.0","20.0","20.0","32.6","32.5"
"Lamar Jackson","BAL","QB","20.5","20.2","19.6","19.6","19.6","31.8","31.5"
"Trevor Lawrence","JAX","QB","20.1","19.9","18.9","18.9","18.9","30.7","30.5"
"Tua Tagovailoa","MIA","QB","20.0","19.8","18.6","18.6","18.6","30.3","30.2"
"Kyler Murray","ARI","QB","19.3","19.1","18.5","18.5","18.5","30.4","30.2"
"Jordan Love","GB","QB","19.6","19.4","18.5","18.5","18.5","29.7","29.6"
"Puka Nacua","LA","WR","19.5","16.2","11.9","15.2","18.4","35.6","30.6"
"Jayden Daniels","WAS","QB","19.2","18.9","18.4","18.4","18.4","29.7","29.5"
"CeeDee Lamb","DAL","WR","19.3","15.9","11.5","14.9","18.3","34.8","29.6"
"Bijan Robinson","ATL","RB","19.0","17.0","14.3","16.2","18.1","33.2","30.5"
"Jared Goff","DET","QB","19.1","19.0","18.0","18.0","18.0","29.4","29.3"
"Joe Burrow","CIN","QB","18.9","18.6","17.9","17.9","17.9","28.8","28.7"
"Caleb Williams","CHI","QB","18.7","18.4","17.8","17.8","17.8","28.8","28.6"
"Breece Hall","NYJ","RB","18.2","16.0","13.3","15.4","17.5","32.1","29.1"
"Deshaun Watson","CLE","QB","18.2","18.0","17.4","17.4","17.4","28.3","28.1"
"Matthew Stafford","LA","QB","18.6","18.4","17.4","17.4","17.4","28.5","28.4"
"Justin Jefferson","MIN","WR","18.5","15.4","11.4","14.4","17.4","33.7","29.0"
"Daniel Jones","NYG","QB","18.1","17.7","17.2","17.2","17.2","28.1","27.8"
"Baker Mayfield","TB","QB","18.2","18.0","17.2","17.2","17.2","28.2","28.0"
"Rashee Rice","KC","WR","17.9","14.6","10.5","13.8","17.1","33.4","28.4"
"Justin Fields","PIT","QB","17.8","17.5","17.1","17.1","17.1","28.3","28.0"
"Geno Smith","SEA","QB","18.0","17.8","17.1","17.1","17.1","27.9","27.7"
"Ja'Marr Chase","CIN","WR","17.4","14.3","10.5","13.6","16.6","32.4","27.7"
"Brock Purdy","SF","QB","17.6","17.5","16.6","16.6","16.6","27.4","27.3"
"Cooper Kupp","LA","WR","17.2","14.0","10.1","13.3","16.5","31.7","26.8"
"Alvin Kamara","NO","RB","17.0","14.7","12.2","14.3","16.4","30.3","27.3"
"Josh Jacobs","GB","RB","17.0","15.2","13.0","14.7","16.3","30.3","28.0"
"Rachaad White","TB","RB","17.0","15.2","13.0","14.7","16.3","30.7","28.3"
"Dak Prescott","DAL","QB","17.2","17.0","16.2","16.2","16.2","26.8","26.7"
"Kirk Cousins","ATL","QB","16.8","16.7","16.0","16.0","16.0","26.4","26.3"
"De'Von Achane","MIA","RB","16.5","14.5","12.1","14.1","16.0","30.4","27.6"
"Garrett Wilson","NYJ","WR","16.7","13.7","9.9","13.0","16.0","31.1","26.4"
"Jonathan Taylor","IND","RB","16.8","15.6","13.6","14.7","15.8","31.4","29.8"
"Davante Adams","LV","WR","16.6","13.6","9.9","12.8","15.8","30.6","26.0"
"Sam Darnold","MIN","QB","16.3","16.1","15.5","15.5","15.5","25.5","25.4"
"A.J. Brown","PHI","WR","16.3","13.6","10.0","12.8","15.5","30.9","26.5"
"Jahmyr Gibbs","DET","RB","15.9","14.1","11.9","13.7","15.4","29.8","27.2"
"Travis Etienne","JAX","RB","15.8","14.0","11.9","13.6","15.3","28.7","26.3"
"Justin Herbert","LAC","QB","16.0","15.8","15.3","15.3","15.3","24.9","24.7"
"Drake London","ATL","WR","16.0","13.1","9.6","12.4","15.2","30.4","25.9"
"Nico Collins","HOU","WR","16.0","13.4","10.0","12.6","15.2","31.4","27.2"
"James Cook","BUF","RB","15.8","14.2","12.2","13.6","15.1","29.1","26.9"
