"Player","Position","Team","Opp","DK Salary","DK Small","DK Medium","DK Large","FD Salary","FD Large"
"Ja'Marr Chase","WR","CIN","PHI","8500","18.6%","17.4%","16.6%","9200","18.1%"
"Amon-Ra St. Brown","WR","DET","TEN","8400","7.0%","6.9%","6.9%","8900","10.4%"
"Saquon Barkley","RB","PHI","@CIN","8300","1.7%","2.8%","3.6%","9100","6.7%"
"A.J. Brown","WR","PHI","@CIN","8200","5.8%","6.2%","6.4%","9000","7.2%"
"Derrick Henry","RB","BAL","@CLE","8100","14.5%","13.2%","12.3%","9200","13.0%"
"Lamar Jackson","QB","BAL","@CLE","8000","5.5%","5.5%","5.5%","8800","11.8%"
"Josh Allen","QB","BUF","@SEA","7800","1.8%","2.1%","2.4%","9400","1.6%"
"Kenneth Walker III","RB","SEA","BUF","7800","6.6%","7.6%","8.3%","7800","17.0%"
"Joe Mixon","RB","HOU","IND","7700","19.3%","19.4%","19.5%","9000","18.7%"
"Alvin Kamara","RB","NO","@LAC","7600","2.0%","3.2%","4.0%","8200","2.6%"
"Jalen Hurts","QB","PHI","@CIN","7500","3.2%","3.5%","3.7%","8600","6.5%"
"Jonathan Taylor","RB","IND","@HOU","7500","0.3%","0.5%","0.6%","8000","4.4%"
"Stefon Diggs","WR","HOU","IND","7500","6.6%","7.7%","8.5%","8500","3.5%"
"Jahmyr Gibbs","RB","DET","TEN","7400","7.7%","8.9%","9.8%","8400","9.6%"
"Jayden Daniels","QB","WAS","CHI","7300","2.8%","3.0%","3.1%","9000","1.8%"
"Breece Hall","RB","NYJ","@NE","7300","41.8%","35.7%","31.7%","7900","37.4%"
"Bijan Robinson","RB","ATL","@TB","7200","11.6%","11.8%","12.0%","8600","7.2%"
"Drake London","WR","ATL","@TB","7200","17.2%","16.7%","16.4%","7900","15.9%"
"Jordan Love","QB","GB","@JAX","7100","9.0%","8.0%","7.4%","8900","6.1%"
"Davante Adams","WR","NYJ","@NE","7100","0.9%","2.0%","2.8%","7800","2.0%"
"Joe Burrow","QB","CIN","PHI","7000","4.3%","4.9%","5.2%","7700","12.3%"
