"Player","Position","Team","Opp","DK Salary","DK Small","DK Medium","DK Large","FD Salary","FD Large"
"John Bates","TE","WAS","CAR","2500","0.0%","0.0%","0.0%","4200","0.0%"
"Jared Wiley","TE","KC","@SF","2500","0.0%","0.0%","0.0%","4200","0.0%"
"Charlie Woerner","TE","ATL","SEA","2500","0.0%","0.0%","0.0%","4200","0.0%"
"Brady Russell","TE","SEA","@ATL","2500","0.0%","0.0%","0.0%","4000","0.0%"
"Ross Dwelley","TE","ATL","SEA","2500","0.0%","0.0%","0.0%","4000","0.0%"
"Quintin Morris","TE","BUF","TEN","2500","0.0%","0.0%","0.0%","4100","0.0%"
"Geoff Swaim","TE","CLE","CIN","2500","0.0%","0.0%","0.0%","4000","0.0%"
"Parker Hesse","TE","DET","@MIN","2500","0.0%","0.0%","0.0%","4000","0.0%"
"Chris Manhertz","TE","NYG","PHI","2500","0.0%","0.0%","0.0%","4000","0.0%"
"Davis Allen","TE","LA","LV","2500","0.0%","0.0%","0.0%","4000","0.0%"
"Ian Thomas","TE","CAR","@WAS","2500","0.0%","0.0%","0.0%","4200","0.0%"
"Feleipe Franks","TE","CAR","@WAS","2500","0.0%","0.0%","0.0%","4000","0.0%"
"Ben Sinnott","TE","WAS","CAR","2500","0.0%","0.0%","0.0%","4100","0.0%"
"Jake Tonges","TE","SF","KC","2500","0.0%","0.0%","0.0%","4000","0.0%"
"Panthers ","DST","CAR","@WAS","2400","0.4%","0.6%","0.7%","3000","3.9%"
"Titans ","DST","TEN","@BUF","2300","3.6%","4.0%","4.3%","3100","5.3%"
