"Player","Position","Team","Opponent","Completions","Attempts","Pass Yards","Pass TDs","Pass INTs","Carries","Rush Yards","Rush TDs","Receptions","Receiving Yards","Receiving TDs"
"Kyler Murray","QB","ARI","NYJ","19.3","29.9","208.5","1.28","0.65","5.3","31.0","0.25",,"0.0",
"James Conner","RB","ARI","NYJ",,"0.0",,,,"18.2","80.5","0.62","2.4","16.7","0.09"
"Emari Demercado","RB","ARI","NYJ",,"0.0",,,,"2.1","9.6","0.07","1.2","8.7","0.04"
"Trey Benson","RB","ARI","NYJ",,"0.0",,,,"3.9","16.8","0.10","0.3","2.4","0.01"
"Marvin Harrison Jr.","WR","ARI","NYJ",,"0.0",,,,"0.0","0.0","0.00","3.9","55.1","0.38"
"Greg Dortch","WR","ARI","NYJ",,"0.0",,,,"0.1","0.7","0.01","1.6","16.8","0.10"
"Zach Pascal","WR","ARI","NYJ",,"0.0",,,,"0.0","0.0","0.00","0.0","0.5","0.00"
"Michael Wilson","WR","ARI","NYJ",,"0.0",,,,"0.0","0.0","0.00","2.4","30.7","0.19"
"Zay Jones","WR","ARI","NYJ",,"0.0",,,,"0.0","0.0","0.00","0.6","7.4","0.05"
"Tip Reiman","TE","ARI","NYJ",,"0.0",,,,"0.0","0.0","0.00","0.2","2.2","0.02"
"Elijah Higgins","TE","ARI","NYJ",,"0.0",,,,"0.0","0.0","0.00","0.9","9.4","0.08"
"Trey McBride","TE","ARI","NYJ",,"0.0",,,,"0.1","0.5","0.01","5.7","58.6","0.32"
"Kirk Cousins","QB","ATL","@NO","22.2","33.6","251.7","1.66","0.66","1.9","2.2","0.06",,"0.0",
"Bijan Robinson","RB","ATL","@NO",,"0.0",,,,"15.2","72.2","0.63","4.3","31.5","0.23"
"Avery Williams","RB","ATL","@NO",,"0.0",,,,"0.3","1.2","0.01",,"0.0",
"Tyler Allgeier","RB","ATL","@NO",,"0.0",,,,"9.5","44.3","0.33","0.8","5.8","0.03"
"Chris Blair","WR","ATL","@NO",,"0.0",,,,"0.0","0.0","0.00","0.1","0.7","0.00"
"Drake London","WR","ATL","@NO",,"0.0",,,,"0.0","0.0","0.00","5.2","66.2","0.43"
"KhaDarel Hodge","WR","ATL","@NO",,"0.0",,,,"0.0","0.0","0.00","0.2","3.1","0.02"
"Ray-Ray McCloud","WR","ATL","@NO",,"0.0",,,,"0.8","4.6","0.05","2.9","31.7","0.18"
"Darnell Mooney","WR","ATL","@NO",,"0.0",,,,"0.0","0.0","0.00","4.6","62.1","0.39"
"Charlie Woerner","TE","ATL","@NO",,"0.0",,,,"0.0","0.0","0.00","0.2","2.5","0.02"
"Ross Dwelley","TE","ATL","@NO",,"0.0",,,,"0.0","0.0","0.00","0.1","0.7","0.01"
"Kyle Pitts","TE","ATL","@NO",,"0.0",,,,"0.0","0.0","0.00","3.8","47.4","0.34"
"Josh Allen","QB","BUF","@IND","21.4","31.7","233.3","1.58","0.70","6.3","30.9","0.39",,"0.0",
"Ty Johnson","RB","BUF","@IND",,"0.0",,,,"2.3","10.4","0.07","0.9","6.8","0.05"
"Ray Davis","RB","BUF","@IND",,"0.0",,,,"6.1","27.5","0.17","0.9","6.7","0.04"
"James Cook","RB","BUF","@IND",,"0.0",,,,"14.8","67.5","0.51","2.5","23.1","0.11"
"Khalil Shakir","WR","BUF","@IND",,"0.0",,,,"0.3","1.4","0.02","5.6","65.0","0.35"
"Mack Hollins","WR","BUF","@IND",,"0.0",,,,"0.0","0.0","0.00","2.3","30.7","0.22"
"Curtis Samuel","WR","BUF","@IND",,"0.0",,,,"0.5","2.8","0.03","2.0","21.2","0.16"
"Jalen Virgil","WR","BUF","@IND",,"0.0",,,,"0.0","0.0","0.00","0.6","7.7","0.07"
"Dawson Knox","TE","BUF","@IND",,"0.0",,,,"0.0","0.0","0.00","1.5","16.9","0.18"
