"Player","Position","Team","Opp","DK Salary","DK Small","DK Medium","DK Large","FD Salary","FD Large"
"Justin Jefferson","WR","MIN","@TEN","8600","2.5%","1.9%","1.6%","9000","4.2%"
"Christian McCaffrey","RB","SF","SEA","8300","48.0%","40.2%","35.0%","9800","21.8%"
"Alvin Kamara","RB","NO","CLE","8200","40.0%","32.9%","28.2%","8200","37.4%"
"Derrick Henry","RB","BAL","@PIT","8100","1.9%","2.9%","3.5%","9400","4.0%"
"Lamar Jackson","QB","BAL","@PIT","8000","2.6%","2.6%","2.6%","9000","9.9%"
"Amon-Ra St. Brown","WR","DET","JAX","8000","9.4%","10.1%","10.5%","9200","5.3%"
"Kyren Williams","RB","LA","@NE","7900","12.5%","12.8%","13.1%","9200","9.7%"
"Josh Allen","QB","BUF","KC","7800","2.9%","3.1%","3.2%","8800","8.3%"
"Bijan Robinson","RB","ATL","@DEN","7800","9.7%","10.5%","11.0%","8900","8.6%"
"Jonathan Taylor","RB","IND","@NYJ","7600","1.0%","3.3%","4.8%","8400","9.3%"
"Breece Hall","RB","NYJ","IND","7500","17.3%","15.4%","14.1%","8500","12.0%"
"Cooper Kupp","WR","LA","@NE","7500","4.2%","5.7%","6.8%","8800","0.7%"
"Tyreek Hill","WR","MIA","LV","7400","3.9%","5.0%","5.7%","8500","3.4%"
"Jahmyr Gibbs","RB","DET","JAX","7300","13.9%","15.5%","16.6%","8300","12.0%"
"Puka Nacua","WR","LA","@NE","7300","8.0%","8.8%","9.3%","8300","4.4%"
"De'Von Achane","RB","MIA","LV","7200","33.0%","30.4%","28.7%","8700","13.1%"
"Davante Adams","WR","NYJ","IND","7200","5.8%","6.8%","7.5%","7400","15.0%"
"Josh Jacobs","RB","GB","@CHI","7100","2.7%","4.2%","5.2%","7400","13.4%"
"Garrett Wilson","WR","NYJ","IND","7100","7.5%","8.3%","8.9%","8100","5.5%"
"Jordan Love","QB","GB","@CHI","7000","0.3%","0.4%","0.5%","7700","1.1%"
"Kenneth Walker III","RB","SEA","@SF","7000","9.1%","10.2%","11.0%","7800","9.9%"
"George Pickens","WR","PIT","BAL","7000","13.4%","12.7%","12.3%","7500","13.4%"
"Aaron Jones","RB","MIN","@TEN","6900","5.8%","6.3%","6.7%","7600","10.6%"
"Zay Flowers","WR","BAL","@PIT","6900","3.7%","3.4%","3.2%","7600","1.8%"
"Patrick Mahomes","QB","KC","@BUF","6800","1.5%","1.7%","1.9%","7900","4.0%"
"James Cook","RB","BUF","KC","6800","1.8%","2.4%","2.8%","7900","2.5%"
"Deebo Samuel Sr.","WR","SF","SEA","6800","14.3%","13.5%","12.9%","8200","3.6%"
"Kareem Hunt","RB","KC","@BUF","6700","2.9%","3.9%","4.5%","8000","1.8%"
"Drake London","WR","ATL","@DEN","6700","6.1%","6.8%","7.2%","7800","5.7%"
"Brock Purdy","QB","SF","SEA","6600","19.9%","18.0%","16.7%","8400","9.1%"
"D'Andre Swift","RB","CHI","GB","6600","1.1%","3.5%","5.1%","7100","8.0%"
"Darnell Mooney","WR","ATL","@DEN","6600","0.3%","0.4%","0.5%","7000","3.2%"
"Kirk Cousins","QB","ATL","@DEN","6500","0.3%","0.4%","0.5%","7100","1.0%"
"David Montgomery","RB","DET","JAX","6500","6.7%","9.1%","10.7%","8100","3.0%"
"DK Metcalf","WR","SEA","@SF","6500","6.2%","6.5%","6.7%","8000","0.5%"
"Jaxon Smith-Njigba","WR","SEA","@SF","6500","0.3%","0.8%","1.1%","7300","0.6%"
"Tony Pollard","RB","TEN","MIN","6400","0.3%","0.7%","1.0%","6900","2.3%"
"Jayden Reed","WR","GB","@CHI","6400","0.5%","1.3%","1.9%","7700","0.5%"
"Josh Downs","WR","IND","@NYJ","6400","0.3%","0.4%","0.5%","6900","0.5%"
"Jared Goff","QB","DET","JAX","6300","1.2%","1.9%","2.3%","8300","1.0%"
"Travis Etienne Jr.","RB","JAX","@DET","6300","1.5%","2.6%","3.4%","6700","8.8%"
"Travis Kelce","TE","KC","@BUF","6300","17.1%","16.3%","15.8%","7400","12.4%"
"Khalil Shakir","WR","BUF","KC","6300","15.2%","14.1%","13.3%","6500","21.0%"
"Bo Nix","QB","DEN","ATL","6200","12.2%","11.1%","10.4%","7400","11.0%"
"Najee Harris","RB","PIT","BAL","6200","0.3%","0.8%","1.2%","7000","1.9%"
"Calvin Ridley","WR","TEN","MIN","6200","5.8%","6.9%","7.6%","6400","19.7%"
"Sam Darnold","QB","MIN","@TEN","6100","1.7%","2.7%","3.4%","7500","3.4%"
"Rhamondre Stevenson","RB","NE","LA","6100","8.0%","8.8%","9.3%","6500","20.9%"
"Brian Thomas Jr.","WR","JAX","@DET","6100","0.3%","0.4%","0.5%","6600","1.1%"
"Tua Tagovailoa","QB","MIA","LV","6000","1.6%","2.6%","3.3%","8000","0.9%"
"Nick Chubb","RB","CLE","@NO","6000","4.2%","5.4%","6.2%","6200","17.9%"
"DJ Moore","WR","CHI","GB","6000","0.3%","0.4%","0.5%","6100","5.3%"
"Michael Pittman Jr.","WR","IND","@NYJ","6000","0.3%","0.4%","0.5%","5900","0.5%"
"Russell Wilson","QB","PIT","BAL","5900","10.1%","8.5%","7.4%","7800","1.4%"
"Jordan Mason","RB","SF","SEA","5900","0.0%","0.0%","0.0%","5200","0.0%"
"Courtland Sutton","WR","DEN","ATL","5900","15.5%","15.5%","15.4%","6800","12.9%"
"Jaylen Waddle","WR","MIA","LV","5900","0.3%","0.4%","0.5%","6200","3.3%"
"Matthew Stafford","QB","LA","@NE","5800","1.1%","1.7%","2.1%","7400","1.2%"
"Raheem Mostert","RB","MIA","LV","5800","0.1%","0.2%","0.3%","6600","0.3%"
"Brock Bowers","TE","LV","@MIA","5800","7.3%","9.3%","10.7%","7200","3.8%"
"Jameson Williams","WR","DET","JAX","5800","1.0%","1.5%","1.8%","6300","8.2%"
"Tyler Lockett","WR","SEA","@SF","5800","0.3%","0.4%","0.5%","6100","0.5%"
"Geno Smith","QB","SEA","@SF","5700","7.6%","8.5%","9.1%","7600","3.3%"
"Javonte Williams","RB","DEN","ATL","5700","0.3%","0.4%","0.5%","5500","0.3%"
"DeAndre Hopkins","WR","KC","@BUF","5700","12.2%","11.2%","10.5%","6700","4.4%"
"Amari Cooper","WR","BUF","KC","5700","0.3%","0.4%","0.5%","6300","0.5%"
"Drake Maye","QB","NE","LA","5600","7.1%","7.0%","7.0%","6700","8.4%"
"Jakobi Meyers","WR","LV","@MIA","5600","25.1%","22.7%","21.1%","6200","22.0%"
"Xavier Worthy","WR","KC","@BUF","5600","0.3%","0.4%","0.5%","6000","0.3%"
"Jameis Winston","QB","CLE","@NO","5500","19.5%","16.2%","14.0%","7200","7.2%"
"Aaron Rodgers","QB","NYJ","IND","5500","4.0%","4.7%","5.2%","7100","3.9%"
"Alexander Mattison","RB","LV","@MIA","5500","1.2%","1.9%","2.4%","5700","9.0%"
"Braelon Allen","RB","NYJ","IND","5500","0.1%","0.2%","0.3%","5400","0.3%"
"David Njoku","TE","CLE","@NO","5500","4.6%","5.3%","5.7%","6600","5.3%"
"Romeo Doubs","WR","GB","@CHI","5500","0.3%","1.1%","1.6%","5800","7.4%"
"Caleb Williams","QB","CHI","GB","5400","0.3%","0.4%","0.5%","7000","0.5%"
"Ray Davis","RB","BUF","KC","5400","0.0%","0.0%","0.0%","5300","0.0%"
"Blake Corum","RB","LA","@NE","5400","0.0%","0.0%","0.0%","4900","0.0%"
"Jerry Jeudy","WR","CLE","@NO","5400","6.7%","7.7%","8.4%","5800","17.0%"
"Alec Pierce","WR","IND","@NYJ","5400","0.1%","0.2%","0.3%","5400","0.3%"
"Anthony Richardson","QB","IND","@NYJ","5300","4.5%","5.4%","6.0%","6400","7.6%"
"Jaylen Warren","RB","PIT","BAL","5300","0.3%","0.4%","0.5%","5500","0.8%"
"Tyler Allgeier","RB","ATL","@DEN","5300","0.1%","0.2%","0.3%","5800","0.5%"
"Jauan Jennings","WR","SF","SEA","5300","33.7%","28.5%","25.0%","6200","19.0%"
"Cedric Tillman","WR","CLE","@NO","5300","28.8%","25.5%","23.3%","6500","14.6%"
"Derek Carr","QB","NO","CLE","5200","0.9%","1.5%","1.9%","7200","0.5%"
"Justice Hill","RB","BAL","@PIT","5200","0.1%","0.2%","0.3%","5300","0.3%"
"Evan Engram","TE","JAX","@DET","5200","6.4%","6.8%","7.1%","5900","13.0%"
"Keenan Allen","WR","CHI","GB","5200","2.0%","2.7%","3.2%","5800","3.5%"
"Christian Watson","WR","GB","@CHI","5200","0.3%","0.4%","0.5%","5700","0.5%"
"Will Levis","QB","TEN","MIN","5100","0.3%","0.5%","0.7%","6700","0.5%"
"Zach Charbonnet","RB","SEA","@SF","5100","0.1%","0.2%","0.3%","5100","0.3%"
"Jordan Addison","WR","MIN","@TEN","5100","0.3%","0.4%","0.5%","5800","0.5%"
"Demarcus Robinson","WR","LA","@NE","5100","0.1%","0.2%","0.3%","5900","0.3%"
"Gardner Minshew II","QB","LV","@MIA","5000","0.4%","0.6%","0.7%","6600","0.5%"
"Desmond Ridder","QB","LV","@MIA","5000","0.0%","0.0%","0.0%","6600","0.0%"
"Isaac Guerendo","RB","SF","SEA","5000","0.0%","0.0%","0.0%","4700","0.0%"
"Rome Odunze","WR","CHI","GB","5000","0.3%","0.4%","0.5%","5600","0.7%"
"Dontayvion Wicks","WR","GB","@CHI","5000","0.1%","0.2%","0.3%","5000","0.3%"
"Mac Jones","QB","JAX","@DET","4900","0.3%","0.4%","0.6%","6800","0.5%"
"Jaylen Wright","RB","MIA","LV","4900","0.1%","0.2%","0.3%","4900","0.3%"
"Tyler Goodson","RB","IND","@NYJ","4900","0.0%","0.0%","0.0%","5100","0.0%"
