"Player","Position","Team","Opponent","Completions","Attempts","Pass Yards","Pass TDs","Pass INTs","Carries","Rush Yards","Rush TDs","Receptions","Receiving Yards","Receiving TDs"
"Kyler Murray","QB","ARI","NE","21.4","31.8","235.6","1.62","0.61","5.0","27.6","0.26",,"0.0",
"James Conner","RB","ARI","NE",,"0.0",,,,"16.7","74.8","0.69","3.1","22.4","0.13"
"Trey Benson","RB","ARI","NE",,"0.0",,,,"6.0","26.8","0.20","0.5","3.4","0.02"
"DeeJay Dallas","RB","ARI","NE",,"0.0",,,,"1.0","4.6","0.04","0.5","3.3","0.02"
"Marvin Harrison Jr.","WR","ARI","NE",,"0.0",,,,"0.0","0.0","0.00","4.4","61.8","0.47"
"Greg Dortch","WR","ARI","NE",,"0.0",,,,"0.3","1.4","0.02","1.1","11.5","0.08"
"Zach Pascal","WR","ARI","NE",,"0.0",,,,"0.0","0.0","0.00","0.1","0.6","0.00"
"Michael Wilson","WR","ARI","NE",,"0.0",,,,"0.0","0.0","0.00","2.9","38.8","0.26"
"Zay Jones","WR","ARI","NE",,"0.0",,,,"0.0","0.0","0.00","0.8","10.1","0.07"
"Tip Reiman","TE","ARI","NE",,"0.0",,,,"0.0","0.0","0.00","0.3","3.5","0.03"
"Elijah Higgins","TE","ARI","NE",,"0.0",,,,"0.0","0.0","0.00","1.0","10.4","0.11"
"Trey McBride","TE","ARI","NE",,"0.0",,,,"0.1","0.5","0.01","6.7","69.8","0.44"
"Lamar Jackson","QB","BAL","@NYG","18.7","27.3","225.2","1.70","0.46","8.8","47.7","0.33",,"0.0",
"Justice Hill","RB","BAL","@NYG",,"0.0",,,,"4.7","23.3","0.18","2.5","19.1","0.11"
"Derrick Henry","RB","BAL","@NYG",,"0.0",,,,"20.9","112.0","1.12","0.9","7.7","0.04"
"Keaton Mitchell","RB","BAL","@NYG",,"0.0",,,,"0.8","4.2","0.03","0.1","0.8","0.00"
"Patrick Ricard","RB","BAL","@NYG",,"0.0",,,,"0.0","0.0","0.00","0.2","1.6","0.01"
"Zay Flowers","WR","BAL","@NYG",,"0.0",,,,"0.6","3.7","0.05","4.7","64.6","0.43"
"Nelson Agholor","WR","BAL","@NYG",,"0.0",,,,"0.0","0.0","0.00","1.1","14.2","0.12"
"Tylan Wallace","WR","BAL","@NYG",,"0.0",,,,"0.0","0.0","0.00","0.7","9.8","0.07"
"Devontez Walker","WR","BAL","@NYG",,"0.0",,,,"0.0","0.0","0.00","0.0","0.6","0.00"
"Rashod Bateman","WR","BAL","@NYG",,"0.0",,,,"0.0","0.0","0.00","2.8","41.3","0.28"
"Zaire Mitchell-Paden","TE","BAL","@NYG",,"0.0",,,,"0.0","0.0","0.00","0.2","2.0","0.02"
"Mark Andrews","TE","BAL","@NYG",,"0.0",,,,"0.0","0.0","0.00","3.1","36.4","0.37"
"Isaiah Likely","TE","BAL","@NYG",,"0.0",,,,"0.0","0.0","0.00","2.4","27.0","0.24"
"Josh Allen","QB","BUF","@DET","22.6","34.4","263.4","1.73","0.80","7.5","37.8","0.63",,"0.0",
"Ty Johnson","RB","BUF","@DET",,"0.0",,,,"1.9","8.2","0.05","0.8","6.4","0.05"
"Ray Davis","RB","BUF","@DET",,"0.0",,,,"4.2","18.5","0.11","0.6","4.4","0.02"
"James Cook","RB","BUF","@DET",,"0.0",,,,"11.9","53.6","0.41","2.1","18.5","0.09"
"Amari Cooper","WR","BUF","@DET",,"0.0",,,,"0.0","0.0","0.00","3.9","57.5","0.41"
"Khalil Shakir","WR","BUF","@DET",,"0.0",,,,"0.1","0.5","0.01","5.5","61.8","0.35"
"Keon Coleman","WR","BUF","@DET",,"0.0",,,,"0.0","0.0","0.00","2.2","31.1","0.21"
"Mack Hollins","WR","BUF","@DET",,"0.0",,,,"0.0","0.0","0.00","1.4","20.2","0.13"
"Curtis Samuel","WR","BUF","@DET",,"0.0",,,,"0.4","2.1","0.02","1.6","16.4","0.12"
"Dawson Knox","TE","BUF","@DET",,"0.0",,,,"0.0","0.0","0.00","0.9","10.2","0.09"
"Dalton Kincaid","TE","BUF","@DET",,"0.0",,,,"0.0","0.0","0.00","3.4","35.6","0.25"
"Quintin Morris","TE","BUF","@DET",,"0.0",,,,"0.0","0.0","0.00","0.1","1.3","0.01"
"Bryce Young","QB","CAR","DAL","20.1","31.5","216.4","1.44","0.69","3.1","17.0","0.12",,"0.0",
"Mike Boone","RB","CAR","DAL",,"0.0",,,,"3.2","13.6","0.10","0.8","5.4","0.03"
"Velus Jones Jr.","RB","CAR","DAL",,"0.0",,,,"0.6","3.3","0.02","0.0","0.6","0.00"
"Chuba Hubbard","RB","CAR","DAL",,"0.0",,,,"21.2","89.9","0.75","2.9","17.8","0.09"
"Xavier Legette","WR","CAR","DAL",,"0.0",,,,"0.5","2.6","0.03","3.3","40.8","0.28"
"Adam Thielen","WR","CAR","DAL",,"0.0",,,,"0.0","0.0","0.00","5.1","60.7","0.39"
"David Moore","WR","CAR","DAL",,"0.0",,,,"0.0","0.0","0.00","2.4","30.9","0.20"
"Jalen Coker","WR","CAR","DAL",,"0.0",,,,"0.0","0.0","0.00","1.6","22.2","0.12"
"Deven Thompkins","WR","CAR","DAL",,"0.0",,,,"0.1","0.7","0.01","0.1","1.1","0.01"
"Tommy Tremble","TE","CAR","DAL",,"0.0",,,,"0.0","0.0","0.00","1.5","15.1","0.14"
"Ja'Tavion Sanders","TE","CAR","DAL",,"0.0",,,,"0.0","0.0","0.00","2.4","21.9","0.17"
"Joe Burrow","QB","CIN","@TEN","25.5","38.1","291.4","2.03","0.72","2.9","10.4","0.12",,"0.0",
"Khalil Herbert","RB","CIN","@TEN",,"0.0",,,,"2.9","12.3","0.09","0.3","2.1","0.01"
"Trayveon Williams","RB","CIN","@TEN",,"0.0",,,,"0.1","0.4","0.00",,"0.0",
"Chase Brown","RB","CIN","@TEN",,"0.0",,,,"17.3","73.2","0.64","4.1","30.4","0.19"
"Ja'Marr Chase","WR","CIN","@TEN",,"0.0",,,,"0.2","1.1","0.01","7.4","96.8","0.66"
"Jermaine Burton","WR","CIN","@TEN",,"0.0",,,,"0.0","0.0","0.00","0.1","1.6","0.01"
"Tee Higgins","WR","CIN","@TEN",,"0.0",,,,"0.0","0.0","0.00","6.1","80.7","0.54"
"Isaiah Williams","WR","CIN","@TEN",,"0.0",,,,"0.0","0.0","0.00","0.1","0.7","0.00"
"Andrei Iosivas","WR","CIN","@TEN",,"0.0",,,,"0.0","0.0","0.00","2.0","25.7","0.19"
"Mike Gesicki","TE","CIN","@TEN",,"0.0",,,,"0.0","0.0","0.00","2.5","27.2","0.21"
