"Player","Team","Position","DK","FD","Std","Half","Full","DK Ceiling","FD Ceiling"
"Jalen Hurts","PHI","QB","24.5","24.2","23.5","23.5","23.5","36.8","36.6"
"CeeDee Lamb","DAL","WR","22.5","18.5","14.5","18.5","22.4","11.0","11.0"
"Patrick Mahomes","KC","QB","23.4","23.2","22.0","22.0","22.0","34.6","34.4"
"Josh Allen","BUF","QB","22.7","22.5","21.7","21.7","21.7","34.2","34.0"
"Lamar Jackson","BAL","QB","22.2","21.9","21.3","21.3","21.3","33.9","33.7"
"Cooper Kupp","LA","WR","22.4","18.4","13.5","17.4","21.3","38.7","33.1"
"Breece Hall","NYJ","RB","22.4","20.1","16.9","19.0","21.2","37.6","34.7"
"Jayden Daniels","WAS","QB","21.7","21.4","20.8","20.8","20.8","33.4","33.1"
"Tyreek Hill","MIA","WR","21.8","18.3","13.7","17.1","20.5","38.2","33.1"
"Kyler Murray","ARI","QB","21.1","20.8","20.2","20.2","20.2","32.5","32.3"
"Deebo Samuel","SF","WR","20.7","18.1","14.9","17.4","19.9","37.7","33.9"
"Bijan Robinson","ATL","RB","20.6","18.2","15.1","17.4","19.6","34.7","31.7"
"Dak Prescott","DAL","QB","19.8","19.5","19.5","19.5","19.5","15.8","15.6"
"Amon-Ra St. Brown","DET","WR","20.5","17.0","12.4","15.9","19.4","36.9","31.6"
"Justin Jefferson","MIN","WR","20.7","17.3","12.7","16.1","19.4","36.8","31.7"
"Anthony Richardson","IND","QB","20.0","19.8","19.3","19.3","19.3","31.1","30.9"
"C.J. Stroud","HOU","QB","20.3","20.1","19.0","19.0","19.0","31.1","30.9"
"Jared Goff","DET","QB","19.8","19.7","18.6","18.6","18.6","30.4","30.3"
"Tua Tagovailoa","MIA","QB","19.4","19.2","18.1","18.1","18.1","29.6","29.5"
"Garrett Wilson","NYJ","WR","18.8","15.4","11.2","14.5","17.9","33.9","28.9"
"Brock Purdy","SF","QB","19.0","18.9","17.9","17.9","17.9","29.3","29.2"
"Baker Mayfield","TB","QB","19.0","18.7","17.7","17.7","17.7","29.3","29.2"
"Rashee Rice","KC","WR","18.5","15.2","11.0","14.3","17.6","34.0","29.1"
"Kyren Williams","LA","RB","18.7","17.1","14.8","16.2","17.6","33.0","31.1"
"De'Von Achane","MIA","RB","17.9","15.6","13.0","15.2","17.4","32.2","29.1"
"Joe Burrow","CIN","QB","18.2","18.0","17.2","17.2","17.2","28.4","28.2"
"Daniel Jones","NYG","QB","17.9","17.5","17.2","17.2","17.2","28.2","27.9"
"Joe Mixon","HOU","RB","17.9","16.5","14.4","15.7","16.9","31.7","30.0"
"Ja'Marr Chase","CIN","WR","17.6","14.4","10.5","13.6","16.8","32.6","27.8"
"Jonathan Taylor","IND","RB","18.0","16.7","14.4","15.6","16.8","32.0","30.3"
"Saquon Barkley","PHI","RB","17.8","16.5","14.4","15.6","16.8","32.1","30.4"
"Trevor Lawrence","JAX","QB","17.5","17.2","16.7","16.7","16.7","27.2","27.0"
"Alvin Kamara","NO","RB","17.3","14.8","12.0","14.3","16.7","30.7","27.3"
