"Player","Position","Team","Opp","DK Salary","DK Small","DK Medium","DK Large","FD Salary","FD Large"
"Justin Jefferson","WR","MIN","@GB","8700","1.7%","2.4%","2.9%","9400","4.2%"
"Saquon Barkley","RB","PHI","@TB","8000","6.8%","8.5%","9.6%","9700","3.4%"
"Breece Hall","RB","NYJ","DEN","7800","21.0%","19.8%","19.0%","8000","27.2%"
"Jonathan Taylor","RB","IND","PIT","7700","1.1%","2.6%","3.6%","8200","11.9%"
"Ja'Marr Chase","WR","CIN","@CAR","7700","5.0%","6.4%","7.4%","9200","1.1%"
"Alvin Kamara","RB","NO","@ATL","7600","21.1%","19.5%","18.4%","8600","14.3%"
"Marvin Harrison Jr.","WR","ARI","WAS","7500","5.7%","7.0%","7.9%","8200","5.6%"
"Bijan Robinson","RB","ATL","NO","7400","22.1%","21.8%","21.7%","8300","22.1%"
"Kyren Williams","RB","LA","@CHI","7300","21.0%","20.3%","19.8%","8100","21.5%"
"Rashee Rice","WR","KC","@LAC","7300","32.2%","28.6%","26.2%","8500","15.6%"
"Jalen Hurts","QB","PHI","@TB","7200","6.1%","6.2%","6.2%","8600","9.9%"
"Nico Collins","WR","HOU","JAX","7200","26.1%","23.8%","22.4%","7700","18.4%"
"Patrick Mahomes","QB","KC","@LAC","7100","2.1%","2.9%","3.3%","8500","4.2%"
"C.J. Stroud","QB","HOU","JAX","7000","6.8%","6.9%","7.0%","7800","13.0%"
"Travis Etienne Jr.","RB","JAX","@HOU","7000","2.8%","3.4%","3.9%","7200","8.3%"
"Mike Evans","WR","TB","PHI","7000","0.3%","1.1%","1.6%","8000","1.6%"
"Deebo Samuel Sr.","WR","SF","NE","7000","0.3%","0.4%","0.5%","7500","0.5%"
"Garrett Wilson","WR","NYJ","DEN","6900","9.6%","10.4%","10.9%","7800","6.2%"
"Kyler Murray","QB","ARI","WAS","6800","18.3%","16.2%","14.8%","8700","8.8%"
"Joe Mixon","RB","HOU","JAX","6800","0.3%","0.4%","0.5%","7900","0.5%"
"Chris Godwin","WR","TB","PHI","6800","14.2%","13.2%","12.6%","7300","16.6%"
"Jordan Mason","RB","SF","NE","6700","40.3%","34.5%","30.7%","8800","21.3%"
"DJ Moore","WR","CHI","LA","6700","2.4%","3.5%","4.2%","6500","17.0%"
"Joe Burrow","QB","CIN","@CAR","6600","7.6%","8.5%","9.0%","8000","8.0%"
"Josh Jacobs","RB","GB","MIN","6600","0.9%","2.7%","3.8%","7100","15.2%"
"Stefon Diggs","WR","HOU","JAX","6600","12.0%","12.4%","12.6%","7100","4.5%"
"Jayden Daniels","QB","WAS","@ARI","6500","24.5%","21.6%","19.8%","8200","13.6%"
"James Conner","RB","ARI","WAS","6500","14.1%","14.7%","15.2%","7500","15.8%"
"Chris Olave","WR","NO","@ATL","6500","4.1%","5.0%","5.7%","6900","13.1%"
"Baker Mayfield","QB","TB","PHI","6400","0.6%","1.0%","1.2%","7400","2.4%"
"Aaron Jones","RB","MIN","@GB","6400","20.4%","19.1%","18.2%","7600","12.4%"
"Brandon Aiyuk","WR","SF","NE","6400","24.8%","20.6%","17.7%","7600","13.2%"
"Anthony Richardson","QB","IND","PIT","6300","0.4%","0.8%","1.1%","7500","2.5%"
"J.K. Dobbins","RB","LAC","KC","6300","4.0%","5.1%","5.9%","7000","8.3%"
"Amari Cooper","WR","CLE","@LV","6300","4.3%","4.9%","5.4%","6400","13.2%"
