"Player","Position","Team","Opp","DK Salary","DK Small","DK Medium","DK Large","FD Salary","FD Large"
"CeeDee Lamb","WR","DAL","NO","8800","27.4%","23.5%","20.9%","9100","27.8%"
"Justin Jefferson","WR","MIN","SF","8300","5.0%","6.7%","7.8%","8900","7.9%"
"Amon-Ra St. Brown","WR","DET","TB","8100","16.1%","16.3%","16.5%","9000","9.0%"
"Ja'Marr Chase","WR","CIN","@KC","7800","3.2%","4.1%","4.7%","8700","2.8%"
"Lamar Jackson","QB","BAL","LV","7700","6.5%","7.1%","7.5%","8800","13.2%"
"Jonathan Taylor","RB","IND","@GB","7700","1.5%","2.4%","3.0%","8200","10.4%"
"Cooper Kupp","WR","LA","@ARI","7600","34.8%","31.1%","28.6%","7700","34.5%"
"Mike Evans","WR","TB","@DET","7500","1.5%","2.6%","3.4%","8000","5.6%"
"Breece Hall","RB","NYJ","@TEN","7400","53.0%","44.6%","39.1%","8500","34.0%"
"Davante Adams","WR","LV","@BAL","7300","0.5%","0.5%","0.5%","7100","1.3%"
"Travis Etienne Jr.","RB","JAX","CLE","7200","0.5%","1.0%","1.3%","7300","5.1%"
"Garrett Wilson","WR","NYJ","@TEN","7100","11.4%","11.8%","12.1%","8100","5.9%"
"Patrick Mahomes","QB","KC","CIN","7000","18.3%","16.5%","15.4%","8700","15.2%"
"Alvin Kamara","RB","NO","@DAL","7000","8.3%","9.5%","10.2%","7800","5.9%"
"Isiah Pacheco","RB","KC","CIN","6900","11.1%","11.5%","11.8%","7400","18.6%"
"Marvin Harrison Jr.","WR","ARI","LA","6900","0.5%","0.5%","0.5%","6500","3.8%"
"Anthony Richardson","QB","IND","@GB","6800","4.3%","4.4%","4.5%","8500","3.2%"
"Kyren Williams","RB","LA","@ARI","6800","28.3%","26.4%","25.2%","8000","20.5%"
"Deebo Samuel Sr.","WR","SF","@MIN","6800","29.5%","26.8%","24.9%","7300","28.6%"
"Dak Prescott","QB","DAL","NO","6700","5.0%","5.1%","5.2%","7700","9.4%"
"Derrick Henry","RB","BAL","LV","6700","2.5%","5.0%","6.6%","7500","11.9%"
"Rashee Rice","WR","KC","CIN","6700","22.6%","21.2%","20.2%","6900","22.4%"
"Kyler Murray","QB","ARI","LA","6600","9.8%","9.9%","9.9%","8000","8.9%"
"Jahmyr Gibbs","RB","DET","TB","6600","16.1%","15.5%","15.2%","7900","6.2%"
"Michael Pittman Jr.","WR","IND","@GB","6600","3.3%","3.8%","4.1%","6400","10.4%"
"Josh Jacobs","RB","GB","IND","6500","1.8%","3.2%","4.2%","7100","6.0%"
"Brandon Aiyuk","WR","SF","@MIN","6500","4.0%","5.4%","6.4%","7000","8.7%"
"Jared Goff","QB","DET","TB","6400","4.0%","4.3%","4.5%","7800","4.0%"
"James Conner","RB","ARI","LA","6400","8.9%","9.6%","10.1%","6500","20.1%"
"Chris Olave","WR","NO","@DAL","6400","1.9%","3.5%","4.6%","6700","6.2%"
"Joe Burrow","QB","CIN","@KC","6300","0.5%","0.9%","1.2%","7400","1.8%"
"Rachaad White","RB","TB","@DET","6300","7.0%","7.9%","8.5%","7600","2.4%"
"Sam LaPorta","TE","DET","TB","6300","3.8%","5.0%","5.7%","7900","3.9%"
"Zay Flowers","WR","BAL","LV","6300","0.9%","1.1%","1.2%","6300","3.8%"
"Jayden Daniels","QB","WAS","NYG","6200","16.8%","15.4%","14.5%","7900","10.4%"
"Rhamondre Stevenson","RB","NE","SEA","6200","22.6%","18.9%","16.4%","6900","20.3%"
"Travis Kelce","TE","KC","CIN","6200","19.1%","16.3%","14.4%","7400","15.7%"
"Amari Cooper","WR","CLE","@JAX","6200","0.6%","1.1%","1.4%","6300","4.8%"
"Brock Purdy","QB","SF","@MIN","6100","3.0%","3.2%","3.4%","7300","4.5%"
"Aaron Jones","RB","MIN","SF","6100","2.9%","3.5%","3.9%","7000","3.2%"
"Xavier Worthy","WR","KC","CIN","6100","0.5%","0.9%","1.2%","6200","5.6%"
