"Player","Position","Team","Opp","DK Salary","DK Small","DK Medium","DK Large","FD Salary","FD Large"
"Ja'Marr Chase","WR","CIN","PIT","8600","6.0%","7.1%","7.8%","9300","4.5%"
"Saquon Barkley","RB","PHI","@BAL","8500","2.8%","4.3%","5.3%","9200","8.5%"
"A.J. Brown","WR","PHI","@BAL","8300","10.4%","8.9%","8.0%","8800","10.0%"
"Justin Jefferson","WR","MIN","ARI","8100","10.2%","11.2%","11.9%","8900","7.4%"
"Lamar Jackson","QB","BAL","PHI","8000","2.4%","3.1%","3.5%","8700","10.0%"
"Joe Mixon","RB","HOU","@JAX","8000","10.3%","10.7%","11.0%","9500","7.1%"
"Nico Collins","WR","HOU","@JAX","7900","16.5%","15.5%","14.8%","9100","3.7%"
"Derrick Henry","RB","BAL","PHI","7800","2.8%","3.6%","4.2%","9000","4.0%"
"Jalen Hurts","QB","PHI","@BAL","7700","2.4%","2.6%","2.8%","9200","1.5%"
"Alvin Kamara","RB","NO","LA","7700","33.3%","28.7%","25.7%","8300","28.3%"
"Puka Nacua","WR","LA","@NO","7600","26.9%","23.3%","20.9%","8700","10.1%"
"Breece Hall","RB","NYJ","SEA","7500","1.5%","3.8%","5.3%","8700","3.5%"
"Cooper Kupp","WR","LA","@NO","7400","14.7%","14.4%","14.3%","9000","1.8%"
"Bijan Robinson","RB","ATL","LAC","7300","25.0%","23.2%","22.0%","8500","18.1%"
"Jayden Daniels","QB","WAS","TEN","7200","4.6%","5.6%","6.3%","8800","6.2%"
"Kyren Williams","RB","LA","@NO","7200","16.4%","16.9%","17.2%","8400","19.4%"
"Terry McLaurin","WR","WAS","TEN","7100","0.3%","0.4%","0.5%","7900","1.5%"
"Joe Burrow","QB","CIN","PIT","7000","3.6%","4.6%","5.2%","8300","7.1%"
"Kenneth Walker III","RB","SEA","@NYJ","7000","9.9%","11.5%","12.6%","8000","12.4%"
"Davante Adams","WR","NYJ","SEA","7000","2.2%","3.0%","3.6%","7000","13.1%"
"Jonathan Taylor","RB","IND","@NE","6900","5.8%","7.5%","8.7%","7900","14.3%"
"Garrett Wilson","WR","NYJ","SEA","6900","1.9%","3.1%","3.9%","8000","1.1%"
"George Pickens","WR","PIT","@CIN","6800","7.3%","8.7%","9.6%","7400","13.2%"
"Chuba Hubbard","RB","CAR","TB","6700","14.5%","15.1%","15.5%","7400","25.3%"
"Mike Evans","WR","TB","@CAR","6700","17.6%","16.3%","15.5%","8300","6.3%"
"Baker Mayfield","QB","TB","@CAR","6600","3.5%","3.8%","3.9%","8500","2.1%"
"James Conner","RB","ARI","@MIN","6600","1.6%","2.6%","3.3%","7600","3.4%"
"Tee Higgins","WR","CIN","PIT","6600","25.3%","23.0%","21.5%","7600","16.5%"
"Aaron Jones","RB","MIN","ARI","6500","6.2%","7.9%","9.0%","7700","8.3%"
"Drake London","WR","ATL","LAC","6500","16.0%","13.8%","12.3%","7300","13.7%"
"C.J. Stroud","QB","HOU","@JAX","6400","1.9%","2.9%","3.5%","8000","3.8%"
"DK Metcalf","WR","SEA","@NYJ","6400","0.5%","1.1%","1.5%","7800","1.5%"
"Tony Pollard","RB","TEN","@WAS","6300","1.8%","3.8%","5.2%","7000","8.8%"
