"Player","Position","Team","Opponent","Completions","Attempts","Pass Yards","Pass TDs","Pass INTs","Carries","Rush Yards","Rush TDs","Receptions","Receiving Yards","Receiving TDs"
"Kyler Murray","QB","ARI","@GB","19.8","30.8","213.5","1.24","0.69","6.0","36.2","0.27",,"0.0",
"James Conner","RB","ARI","@GB",,"0.0",,,,"16.8","73.8","0.51","1.9","13.0","0.06"
"Emari Demercado","RB","ARI","@GB",,"0.0",,,,"2.3","9.9","0.06","0.9","6.4","0.02"
"Trey Benson","RB","ARI","@GB",,"0.0",,,,"3.3","13.9","0.08","0.1","0.4","0.00"
"Xavier Weaver","WR","ARI","@GB",,"0.0",,,,"0.0","0.0","0.00","0.0","0.6","0.00"
"Marvin Harrison Jr.","WR","ARI","@GB",,"0.0",,,,"0.0","0.0","0.00","4.4","60.1","0.41"
"Greg Dortch","WR","ARI","@GB",,"0.0",,,,"0.3","1.4","0.02","2.9","30.0","0.16"
"Zach Pascal","WR","ARI","@GB",,"0.0",,,,"0.0","0.0","0.00","0.0","0.5","0.00"
"Michael Wilson","WR","ARI","@GB",,"0.0",,,,"0.0","0.0","0.00","3.3","42.7","0.23"
"Tip Reiman","TE","ARI","@GB",,"0.0",,,,"0.0","0.0","0.00","0.1","1.1","0.01"
"Elijah Higgins","TE","ARI","@GB",,"0.0",,,,"0.0","0.0","0.00","0.9","8.6","0.06"
"Trey McBride","TE","ARI","@GB",,"0.0",,,,"0.0","0.0","0.00","5.2","50.1","0.28"
"Kirk Cousins","QB","ATL","@CAR","23.0","34.8","266.4","1.79","0.64","1.7","1.9","0.04",,"0.0",
"Bijan Robinson","RB","ATL","@CAR",,"0.0",,,,"15.2","67.9","0.63","3.1","23.1","0.16"
"Avery Williams","RB","ATL","@CAR",,"0.0",,,,"0.3","1.1","0.01",,"0.0",
"Tyler Allgeier","RB","ATL","@CAR",,"0.0",,,,"9.4","41.7","0.33","1.3","9.9","0.06"
"Drake London","WR","ATL","@CAR",,"0.0",,,,"0.0","0.0","0.00","6.0","78.6","0.53"
"KhaDarel Hodge","WR","ATL","@CAR",,"0.0",,,,"0.0","0.0","0.00","0.3","5.0","0.03"
"Ray-Ray McCloud","WR","ATL","@CAR",,"0.0",,,,"0.5","3.1","0.05","3.9","44.3","0.25"
"Darnell Mooney","WR","ATL","@CAR",,"0.0",,,,"0.0","0.0","0.00","4.6","60.5","0.40"
"Charlie Woerner","TE","ATL","@CAR",,"0.0",,,,"0.0","0.0","0.00","0.4","3.9","0.04"
"Ross Dwelley","TE","ATL","@CAR",,"0.0",,,,"0.0","0.0","0.00","0.1","0.7","0.01"
"Kyle Pitts","TE","ATL","@CAR",,"0.0",,,,"0.0","0.0","0.00","3.3","40.4","0.32"
"Lamar Jackson","QB","BAL","WAS","19.9","29.3","237.9","1.72","0.58","10.2","58.8","0.40",,"0.0",
"Rasheen Ali","RB","BAL","WAS",,"0.0",,,,"0.3","1.4","0.01","0.1","0.5","0.00"
"Justice Hill","RB","BAL","WAS",,"0.0",,,,"4.1","19.5","0.14","2.8","22.5","0.13"
"Derrick Henry","RB","BAL","WAS",,"0.0",,,,"18.3","88.9","0.90","1.4","11.1","0.05"
"Patrick Ricard","RB","BAL","WAS",,"0.0",,,,"0.0","0.0","0.00","0.2","1.9","0.01"
"Deonte Harty","WR","BAL","WAS",,"0.0",,,,"0.0","0.0","0.00","0.1","0.6","0.00"
"Zay Flowers","WR","BAL","WAS",,"0.0",,,,"0.6","3.5","0.06","5.4","69.0","0.46"
"Nelson Agholor","WR","BAL","WAS",,"0.0",,,,"0.0","0.0","0.00","1.8","23.8","0.18"
"Tylan Wallace","WR","BAL","WAS",,"0.0",,,,"0.0","0.0","0.00","0.3","4.0","0.03"
"Rashod Bateman","WR","BAL","WAS",,"0.0",,,,"0.0","0.0","0.00","2.8","41.8","0.26"
"Mark Andrews","TE","BAL","WAS",,"0.0",,,,"0.0","0.0","0.00","2.2","27.8","0.29"
"Isaiah Likely","TE","BAL","WAS",,"0.0",,,,"0.0","0.0","0.00","2.4","27.7","0.22"
"Charlie Kolar","TE","BAL","WAS",,"0.0",,,,"0.1","0.6","0.06","0.6","7.3","0.08"
"Andy Dalton","QB","CAR","ATL","21.9","34.1","233.7","1.31","0.86","1.9","6.5","0.05",,"0.0",
"Miles Sanders","RB","CAR","ATL",,"0.0",,,,"5.7","23.7","0.13","2.3","16.1","0.06"
"Chuba Hubbard","RB","CAR","ATL",,"0.0",,,,"16.8","70.9","0.50","3.3","23.3","0.09"
"Raheem Blackshear","RB","CAR","ATL",,"0.0",,,,"0.5","2.0","0.02","0.1","0.5","0.00"
"Xavier Legette","WR","CAR","ATL",,"0.0",,,,"0.4","1.9","0.02","3.8","48.4","0.26"
"Jonathan Mingo","WR","CAR","ATL",,"0.0",,,,"0.4","1.9","0.03","2.7","32.0","0.17"
"David Moore","WR","CAR","ATL",,"0.0",,,,"0.0","0.0","0.00","0.2","2.7","0.02"
"Jalen Coker","WR","CAR","ATL",,"0.0",,,,"0.0","0.0","0.00","0.8","10.0","0.05"
"Diontae Johnson","WR","CAR","ATL",,"0.0",,,,"0.5","2.5","0.03","5.2","64.8","0.41"
"Feleipe Franks","TE","CAR","ATL",,"0.0",,,,"0.0","0.0","0.00","0.4","3.9","0.03"
"Jordan Matthews","TE","CAR","ATL",,"0.0",,,,"0.0","0.0","0.00","0.3","4.2","0.02"
"Ian Thomas","TE","CAR","ATL",,"0.0",,,,"0.0","0.0","0.00","0.6","6.2","0.05"
"Ja'Tavion Sanders","TE","CAR","ATL",,"0.0",,,,"0.0","0.0","0.00","2.3","21.7","0.13"
