"Player","Position","Team","Opp","DK Salary","DK Small","DK Medium","DK Large","FD Salary","FD Large"
"Ja'Marr Chase","WR","CIN","BAL","8000","6.6%","7.1%","7.5%","9300","5.7%"
"Derrick Henry","RB","BAL","@CIN","7800","18.0%","18.6%","19.0%","9200","15.4%"
"Josh Allen","QB","BUF","@HOU","7700","5.1%","5.4%","5.6%","9300","7.9%"
"Nico Collins","WR","HOU","BUF","7700","25.8%","23.1%","21.3%","8800","21.1%"
"Kyren Williams","RB","LA","GB","7600","35.0%","30.2%","27.0%","8400","35.8%"
"Tyreek Hill","WR","MIA","@NE","7600","0.3%","0.4%","0.5%","8600","0.8%"
"Lamar Jackson","QB","BAL","@CIN","7500","10.8%","10.0%","9.5%","8800","13.5%"
"Marvin Harrison Jr.","WR","ARI","@SF","7500","0.5%","1.6%","2.3%","7400","8.2%"
"Jordan Mason","RB","SF","ARI","7400","41.0%","35.6%","32.0%","8700","31.8%"
"C.J. Stroud","QB","HOU","BUF","7200","3.2%","3.5%","3.8%","8400","6.5%"
"De'Von Achane","RB","MIA","@NE","7200","0.5%","1.3%","1.8%","7800","1.9%"
"James Cook","RB","BUF","@HOU","7000","5.0%","6.8%","8.0%","8200","7.0%"
"DK Metcalf","WR","SEA","NYG","7000","7.8%","9.6%","10.7%","8200","8.4%"
"Stefon Diggs","WR","HOU","BUF","6900","2.5%","3.6%","4.2%","7600","3.7%"
"Jayden Daniels","QB","WAS","CLE","6800","11.0%","11.0%","11.0%","8700","8.8%"
"Kenneth Walker III","RB","SEA","NYG","6800","28.0%","25.0%","23.0%","7400","26.1%"
"Deebo Samuel Sr.","WR","SF","ARI","6800","24.3%","21.9%","20.2%","8000","21.2%"
"Kyler Murray","QB","ARI","@SF","6700","1.9%","2.4%","2.7%","7500","4.6%"
"Travis Etienne Jr.","RB","JAX","IND","6700","7.5%","8.7%","9.5%","7200","15.6%"
"Brian Robinson Jr.","RB","WAS","CLE","6600","4.6%","5.0%","5.3%","7700","5.7%"
"DJ Moore","WR","CHI","CAR","6600","0.8%","1.7%","2.2%","6400","6.2%"
"Jordan Love","QB","GB","@LA","6500","12.0%","12.6%","13.0%","8200","6.3%"
"James Conner","RB","ARI","@SF","6500","1.7%","3.4%","4.5%","7900","3.6%"
"Jayden Reed","WR","GB","@LA","6500","32.1%","29.9%","28.4%","7200","31.9%"
"Joe Burrow","QB","CIN","BAL","6400","4.8%","5.1%","5.3%","7800","5.4%"
"Josh Jacobs","RB","GB","@LA","6400","13.5%","14.7%","15.5%","7000","16.0%"
"Zach Charbonnet","RB","SEA","NYG","6400","0.3%","0.4%","0.5%","6100","0.5%"
"Zay Flowers","WR","BAL","@CIN","6400","2.3%","3.1%","3.7%","6900","3.8%"
"Brandon Aiyuk","WR","SF","ARI","6300","4.3%","6.0%","7.2%","6700","9.2%"
"Brock Purdy","QB","SF","ARI","6200","15.0%","13.8%","13.0%","7700","12.5%"
"Raheem Mostert","RB","MIA","@NE","6200","0.1%","0.2%","0.3%","5700","0.5%"
"Amari Cooper","WR","CLE","@WAS","6200","4.7%","6.6%","7.9%","6200","13.0%"
"Chuba Hubbard","RB","CAR","@CHI","6100","24.5%","21.8%","20.1%","6800","20.6%"
"Diontae Johnson","WR","CAR","@CHI","6100","22.3%","20.1%","18.7%","7100","13.1%"
"Terry McLaurin","WR","WAS","CLE","6100","2.9%","4.0%","4.7%","6600","4.0%"
"Zack Moss","RB","CIN","BAL","6000","1.3%","2.8%","3.7%","6600","1.7%"
"Rhamondre Stevenson","RB","NE","MIA","6000","0.3%","0.4%","0.5%","6700","0.5%"
"Michael Pittman Jr.","WR","IND","@JAX","6000","35.8%","31.8%","29.0%","6100","30.4%"
"Tee Higgins","WR","CIN","BAL","6000","1.2%","2.2%","2.9%","6800","2.4%"
"Geno Smith","QB","SEA","NYG","5900","10.0%","9.4%","9.0%","7400","8.4%"
"Tank Bigsby","RB","JAX","IND","5900","0.1%","0.2%","0.3%","5800","0.3%"
"Trey McBride","TE","ARI","@SF","5900","5.0%","4.8%","4.6%","6500","8.1%"
"Brian Thomas Jr.","WR","JAX","IND","5900","10.0%","11.2%","12.0%","6300","10.4%"
"Caleb Williams","QB","CHI","CAR","5800","1.3%","2.1%","2.7%","7200","1.2%"
"Jerome Ford","RB","CLE","@WAS","5800","11.0%","12.2%","13.0%","6300","13.2%"
"Jaxon Smith-Njigba","WR","SEA","NYG","5800","2.1%","3.1%","3.7%","6300","2.9%"
"Keenan Allen","WR","CHI","CAR","5800","1.1%","1.6%","2.0%","5800","2.8%"
"Trevor Lawrence","QB","JAX","IND","5700","10.3%","9.0%","8.1%","7000","5.9%"
"D'Andre Swift","RB","CHI","CAR","5700","19.1%","18.5%","18.2%","6400","14.7%"
"Trey Sermon","RB","IND","@JAX","5700","0.9%","2.5%","3.5%","5900","6.0%"
"Christian Kirk","WR","JAX","IND","5700","10.0%","11.2%","12.0%","6100","9.1%"
"Jaylen Waddle","WR","MIA","@NE","5700","0.3%","0.4%","0.5%","6500","0.5%"
