"Player","Position","Team","Opp","DK Salary","DK Small","DK Medium","DK Large","FD Salary","FD Large"
"Saquon Barkley","RB","PHI","PIT","8600","4.4%","7.1%","8.8%","9300","14.1%"
"Josh Allen","QB","BUF","@DET","8500","7.7%","6.4%","5.5%","9500","11.8%"
"Ja'Marr Chase","WR","CIN","@TEN","8400","20.3%","20.0%","19.8%","9400","10.6%"
"Lamar Jackson","QB","BAL","@NYG","8300","0.5%","0.7%","0.8%","9000","6.7%"
"Derrick Henry","RB","BAL","@NYG","8300","15.3%","15.4%","15.5%","9200","22.7%"
"Nico Collins","WR","HOU","MIA","8100","11.5%","12.2%","12.7%","9200","6.5%"
"Jalen Hurts","QB","PHI","PIT","8000","0.1%","0.3%","0.5%","8500","2.5%"
"A.J. Brown","WR","PHI","PIT","8000","0.8%","1.4%","1.8%","8600","2.1%"
"De'Von Achane","RB","MIA","@HOU","7900","2.1%","2.3%","2.4%","8600","4.4%"
"Joe Mixon","RB","HOU","MIA","7800","16.2%","16.6%","16.9%","9000","11.9%"
"Alvin Kamara","RB","NO","WAS","7700","3.1%","5.0%","6.3%","8800","3.9%"
"Amon-Ra St. Brown","WR","DET","BUF","7600","14.7%","12.8%","11.5%","8500","6.7%"
"Jayden Daniels","QB","WAS","@NO","7500","3.8%","4.3%","4.6%","8700","7.0%"
"Jahmyr Gibbs","RB","DET","BUF","7500","7.5%","7.0%","6.7%","8000","8.5%"
"Tyreek Hill","WR","MIA","@HOU","7400","3.8%","5.5%","6.6%","8700","1.8%"
"Joe Burrow","QB","CIN","@TEN","7300","9.0%","8.5%","8.2%","8600","7.5%"
"CeeDee Lamb","WR","DAL","@CAR","7300","2.4%","2.8%","3.0%","8400","1.2%"
"Chase Brown","RB","CIN","@TEN","7200","27.0%","23.9%","21.8%","8100","21.7%"
"Terry McLaurin","WR","WAS","@NO","7200","1.7%","2.7%","3.4%","8200","2.1%"
"Mike Evans","WR","TB","@LAC","7100","6.0%","6.6%","7.0%","8300","2.6%"
"David Montgomery","RB","DET","BUF","7000","3.7%","3.4%","3.2%","7700","3.0%"
"Jonathan Taylor","RB","IND","@DEN","6900","1.8%","3.6%","4.8%","7800","7.6%"
"Davante Adams","WR","NYJ","@JAX","6900","7.2%","8.5%","9.3%","7900","4.4%"
"James Cook","RB","BUF","@DET","6800","0.5%","0.5%","0.5%","8300","0.5%"
"Tee Higgins","WR","CIN","@TEN","6800","18.1%","17.0%","16.2%","7800","11.3%"
"Patrick Mahomes","QB","KC","@CLE","6700","0.3%","0.5%","0.6%","7900","2.5%"
"Tony Pollard","RB","TEN","CIN","6700","3.0%","4.6%","5.6%","7600","7.4%"
"James Conner","RB","ARI","NE","6600","27.3%","25.6%","24.5%","7900","21.8%"
"Courtland Sutton","WR","DEN","IND","6600","17.4%","16.1%","15.2%","7200","18.2%"
"Jared Goff","QB","DET","BUF","6500","3.1%","3.6%","4.0%","8000","3.1%"
"Chuba Hubbard","RB","CAR","DAL","6500","54.1%","44.9%","38.7%","7500","37.9%"
"Garrett Wilson","WR","NYJ","@JAX","6500","5.5%","6.5%","7.2%","7400","6.3%"
"Baker Mayfield","QB","TB","@LAC","6400","0.3%","0.5%","0.6%","7700","1.0%"
"Breece Hall","RB","NYJ","@JAX","6400","0.4%","0.5%","0.6%","8500","0.5%"
"Malik Nabers","WR","NYG","BAL","6400","4.3%","6.5%","7.9%","8000","0.6%"
"Bo Nix","QB","DEN","IND","6300","5.6%","6.2%","6.7%","7600","4.3%"
