"Player","Team","Position","DK","FD","Std","Half","Full","DK Ceiling","FD Ceiling"
"Alvin Kamara","NO","RB","25.0","22.0","18.1","20.9","23.7","40.9","37.2"
"Saquon Barkley","PHI","RB","25.1","23.7","20.5","21.8","23.1","42.4","40.6"
"Jalen Hurts","PHI","QB","23.3","23.1","22.6","22.6","22.6","37.0","36.9"
"Josh Allen","BUF","QB","23.2","23.0","22.1","22.1","22.1","35.2","35.0"
"Joe Burrow","CIN","QB","22.7","22.5","21.2","21.2","21.2","33.7","33.6"
"Chase Brown","CIN","RB","21.0","18.9","16.1","18.0","20.0","35.8","33.3"
"Ja'Marr Chase","CIN","WR","21.0","17.6","13.0","16.4","19.9","37.5","32.4"
"Tee Higgins","CIN","WR","20.5","17.2","12.8","16.1","19.4","36.3","31.4"
"Sam Darnold","MIN","QB","20.1","19.9","19.0","19.0","19.0","30.7","30.6"
"Baker Mayfield","TB","QB","20.1","19.9","19.0","19.0","19.0","30.7","30.5"
"Kyler Murray","ARI","QB","19.6","19.4","18.8","18.8","18.8","30.8","30.7"
"Puka Nacua","LA","WR","19.6","16.2","11.7","15.1","18.5","34.9","29.9"
"Justin Jefferson","MIN","WR","19.6","16.4","12.2","15.3","18.5","35.0","30.3"
"Patrick Mahomes","KC","QB","19.5","19.3","18.4","18.4","18.4","29.5","29.4"
"Mike Evans","TB","WR","19.3","16.3","12.4","15.3","18.2","34.5","30.2"
"De'Von Achane","MIA","RB","18.8","16.6","13.9","16.0","18.1","33.4","30.3"
"Bijan Robinson","ATL","RB","18.7","16.6","13.9","15.9","18.0","32.5","29.8"
"Amon-Ra St. Brown","DET","WR","18.9","15.5","11.3","14.7","18.0","33.9","29.1"
"Brock Purdy","SF","QB","18.7","18.5","17.9","17.9","17.9","28.7","28.6"
"CeeDee Lamb","DAL","WR","18.4","14.9","10.8","14.2","17.7","33.1","28.1"
"Jordan Love","GB","QB","18.9","18.7","17.7","17.7","17.7","29.1","29.0"
"Brock Bowers","LV","TE","18.5","14.9","10.5","14.1","17.7","31.6","26.2"
"Jared Goff","DET","QB","18.5","18.4","17.4","17.4","17.4","28.5","28.4"
"Russell Wilson","PIT","QB","18.1","17.9","17.3","17.3","17.3","28.2","28.0"
"Tua Tagovailoa","MIA","QB","18.4","18.2","17.2","17.2","17.2","28.4","28.3"
"Caleb Williams","CHI","QB","17.7","17.4","16.9","16.9","16.9","28.0","27.8"
"Geno Smith","SEA","QB","17.9","17.7","16.9","16.9","16.9","27.9","27.8"
"Zach Charbonnet","SEA","RB","17.7","15.8","13.2","15.0","16.8","30.8","28.5"
"Davante Adams","NYJ","WR","17.5","14.2","10.3","13.5","16.7","31.4","26.6"
"Will Levis","TEN","QB","17.5","17.2","16.7","16.7","16.7","27.6","27.4"
"James Conner","ARI","RB","17.4","15.6","13.3","14.9","16.6","31.3","29.1"
"Cooper Rush","DAL","QB","17.6","17.4","16.5","16.5","16.5","27.5","27.4"
"Jahmyr Gibbs","DET","RB","17.1","15.5","13.3","14.8","16.3","32.3","30.1"
"Josh Jacobs","GB","RB","17.2","15.8","13.8","15.1","16.3","31.0","29.2"
"Matthew Stafford","LA","QB","17.4","17.2","16.3","16.3","16.3","27.4","27.3"
"Bucky Irving","TB","RB","17.0","15.3","13.1","14.7","16.3","31.4","29.1"
"Drake London","ATL","WR","17.0","14.0","10.2","13.2","16.2","31.0","26.5"
"Justin Herbert","LAC","QB","17.0","16.8","16.2","16.2","16.2","26.7","26.5"
"Cooper Kupp","LA","WR","16.8","13.5","9.7","12.9","16.2","30.4","25.6"
"A.J. Brown","PHI","WR","17.1","14.4","10.8","13.5","16.2","31.5","27.4"
"Tony Pollard","TEN","RB","16.7","14.8","12.5","14.2","16.0","30.1","27.8"
"Trey McBride","ARI","TE","16.4","13.0","9.2","12.5","15.8","28.6","23.6"
"Jameis Winston","CLE","QB","16.7","16.4","15.7","15.7","15.7","26.6","26.4"
"Rico Dowdle","DAL","RB","16.2","14.7","12.6","14.0","15.4","29.2","27.2"
"Kyren Williams","LA","RB","16.3","15.1","13.3","14.4","15.4","29.7","28.2"
"Aaron Rodgers","NYJ","QB","15.8","15.6","15.0","15.0","15.0","25.1","25.0"
"Jaxon Smith-Njigba","SEA","WR","15.6","12.6","9.1","12.0","15.0","28.7","24.3"
"Najee Harris","PIT","RB","15.7","14.5","12.7","13.8","14.9","29.6","28.1"
"Aaron Jones","MIN","RB","15.5","14.0","12.1","13.5","14.8","28.5","26.6"
"George Pickens","PIT","WR","15.5","13.2","10.1","12.4","14.7","29.7","26.1"
"James Cook","BUF","RB","15.2","13.8","11.9","13.2","14.6","28.6","26.7"
"Aidan O'Connell","LV","QB","15.5","15.3","14.6","14.6","14.6","24.6","24.5"
"Malik Nabers","NYG","WR","15.2","12.4","9.0","11.8","14.6","28.6","24.3"
"Kirk Cousins","ATL","QB","15.4","15.3","14.5","14.5","14.5","24.8","24.7"
"Travis Kelce","KC","TE","14.9","11.8","8.4","11.5","14.5","26.1","21.6"
"Isaac Guerendo","SF","RB","15.4","14.3","12.5","13.5","14.5","29.2","27.7"
"DK Metcalf","SEA","WR","15.2","12.7","9.5","12.0","14.5","28.8","25.0"
"Jayden Reed","GB","WR","15.0","12.5","9.6","12.0","14.4","29.1","25.4"
"David Montgomery","DET","RB","14.8","13.6","11.9","13.1","14.2","29.0","27.3"
"Deebo Samuel","SF","WR","14.6","12.4","9.9","12.0","14.2","28.8","25.4"
"Khalil Shakir","BUF","WR","14.6","11.7","8.4","11.2","14.1","27.1","22.8"
"Jerry Jeudy","CLE","WR","14.9","12.4","9.1","11.6","14.1","28.1","24.2"
"Garrett Wilson","NYJ","WR","14.6","11.8","8.5","11.3","14.1","26.9","22.8"
"Jauan Jennings","SF","WR","14.7","12.1","8.9","11.5","14.1","27.8","23.8"
"Calvin Ridley","TEN","WR","14.6","12.3","9.4","11.6","13.9","28.1","24.6"
"Jakobi Meyers","LV","WR","14.3","11.6","8.4","11.1","13.7","26.7","22.8"
"Derek Carr","NO","QB","14.3","14.1","13.7","13.7","13.7","22.7","22.6"
"Tyreek Hill","MIA","WR","14.1","11.8","9.0","11.3","13.6","27.6","24.0"
"Keenan Allen","CHI","WR","13.9","11.3","8.2","10.8","13.5","26.1","22.1"
"Drew Lock","NYG","QB","13.9","13.7","13.5","13.5","13.5","22.4","22.2"
"Braelon Allen","NYJ","RB","14.2","12.8","11.0","12.3","13.5","26.1","24.3"
