"Player","Team","Position","DK","FD","Std","Half","Full","DK Ceiling","FD Ceiling"
"Lamar Jackson","BAL","QB","22.3","22.0","21.4","21.4","21.4","34.1","33.9"
"Kyler Murray","ARI","QB","21.8","21.6","21.0","21.0","21.0","33.6","33.5"
"Jayden Daniels","WAS","QB","21.8","21.5","20.9","20.9","20.9","33.4","33.1"
"Breece Hall","NYJ","RB","21.1","18.7","15.6","18.0","20.3","35.9","32.7"
"Josh Allen","BUF","QB","20.6","20.3","19.7","19.7","19.7","31.3","31.1"
"C.J. Stroud","HOU","QB","20.4","20.2","19.1","19.1","19.1","31.1","31.0"
"Joe Burrow","CIN","QB","20.1","19.9","19.0","19.0","19.0","30.6","30.5"
"Bijan Robinson","ATL","RB","19.7","17.6","14.9","16.9","18.9","33.4","30.7"
"Dak Prescott","DAL","QB","20.0","19.8","18.9","18.9","18.9","30.6","30.4"
"Jalen Hurts","PHI","QB","19.5","19.3","18.9","18.9","18.9","30.3","30.1"
"Patrick Mahomes","KC","QB","19.6","19.4","18.7","18.7","18.7","29.0","28.8"
"Nico Collins","HOU","WR","19.6","16.5","12.3","15.4","18.4","35.0","30.5"
"CeeDee Lamb","DAL","WR","19.1","15.9","11.8","15.0","18.2","34.3","29.7"
"Saquon Barkley","PHI","RB","19.4","17.5","14.9","16.5","18.2","33.5","31.3"
"Rashee Rice","KC","WR","18.9","15.3","11.1","14.5","18.0","33.2","28.1"
"Malik Nabers","NYG","WR","18.6","15.3","11.3","14.6","17.8","32.8","28.1"
"Amon-Ra St. Brown","DET","WR","18.4","15.0","10.9","14.2","17.6","32.8","27.9"
"Kyren Williams","LA","RB","18.7","17.1","14.7","16.1","17.5","31.9","30.0"
"Justin Jefferson","MIN","WR","18.5","15.5","11.5","14.5","17.4","33.1","28.7"
"Justin Fields","PIT","QB","17.9","17.6","17.3","17.3","17.3","28.0","27.8"
"Jordan Mason","SF","RB","18.5","17.6","15.6","16.4","17.2","32.9","31.8"
"Ja'Marr Chase","CIN","WR","17.7","14.6","10.8","13.9","17.0","32.3","27.7"
"Alvin Kamara","NO","RB","17.6","15.6","13.0","15.0","16.9","30.2","27.6"
"Daniel Jones","NYG","QB","17.5","17.2","16.9","16.9","16.9","27.7","27.5"
"Geno Smith","SEA","QB","17.8","17.5","16.8","16.8","16.8","27.5","27.4"
"Caleb Williams","CHI","QB","17.5","17.2","16.7","16.7","16.7","27.4","27.2"
"Brock Purdy","SF","QB","17.5","17.3","16.6","16.6","16.6","27.1","26.9"
"Jordan Love","GB","QB","17.3","17.1","16.4","16.4","16.4","26.8","26.7"
"De'Von Achane","MIA","RB","17.1","15.2","12.8","14.6","16.3","29.4","26.9"
"Chris Godwin","TB","WR","17.0","13.9","10.1","13.2","16.3","30.9","26.3"
"Marvin Harrison Jr.","ARI","WR","17.1","14.4","11.0","13.6","16.2","32.0","27.9"
"Aaron Jones","MIN","RB","16.8","14.8","12.4","14.3","16.1","29.5","27.0"
