"Player","Team","Opponent","DK Position","DK Salary","DK Projection","DK Value","DK Large Ownership","DK Small Ownership","DKSlateID","DK Floor","DK Ceiling"
"Bijan Robinson","ATL","CAR","RB","8500","23.9","4.1","30.6","37.9","37179477","9.7","40.3"
"Joshua Dobbs","SF","@ARI","QB","4000","16.4","3.9","22.4","30.5","37179470","9.2","27.5"
"Bucky Irving","TB","NO","RB","7700","22.1","3.9","32.2","40.3","37179483","8.9","37.8"
"Michael Carter","ARI","SF","RB","4700","15.7","3.4","33.6","45.1","37179573","5.7","28.8"
"Will Shipley","PHI","NYG","RB","4600","15.2","3.1","0.5","0.3","37179579","5.9","29.3"
"Mike Evans","TB","NO","WR","8000","21.2","2.4","17.3","17.8","37179781","7.8","37.2"
"Packers ","GB","CHI","DST","3400","10.2","2.4","18.3","22.4","37180579","3.7","17.9"
"Broncos ","DEN","KC","DST","3000","9.3","2.3","20.7","25.6","37180587","3.0","16.9"
"Buccaneers ","TB","NO","DST","3600","10.3","2.2","18.8","19.4","37180577","3.7","18.2"
"Jaxon Smith-Njigba","SEA","@LA","WR","6100","17.0","2.0","34.1","42.8","37179807","6.9","32.9"
"Trey McBride","ARI","SF","TE","6500","17.6","1.8","27.4","32.9","37180295","7.5","30.3"
"Jakobi Meyers","LV","LAC","WR","5700","16.0","1.8","10.7","8.0","37179821","6.0","29.5"
"Bills ","BUF","@NE","DST","3100","8.9","1.7","12.7","14.7","37180585","2.7","16.5"
"Seahawks ","SEA","@LA","DST","2900","8.4","1.7","4.4","3.9","37180588","2.3","15.8"
"Josh Downs","IND","JAX","WR","5300","15.1","1.6","32.1","40.2","37179839","5.6","27.8"
"Brian Thomas Jr.","JAX","@IND","WR","7300","19.1","1.6","21.3","23.7","37179787","7.3","34.1"
"Tyler Huntley","MIA","@NYJ","QB","4800","16.6","1.6","5.0","3.6","37179422","8.5","26.4"
"Tony Pollard","TEN","HOU","RB","6200","16.7","1.4","7.5","7.3","37179503","5.8","27.6"
"Drake London","ATL","CAR","WR","6500","17.1","1.2","20.8","22.0","37179799","6.0","31.5"
"Rico Dowdle","DAL","WAS","RB","5800","15.7","1.2","20.9","22.6","37179511","6.1","29.0"
"Titans ","TEN","HOU","DST","3000","8.2","1.2","2.2","1.3","37180586","2.1","15.6"
"Kyler Murray","ARI","SF","QB","6000","19.7","1.1","11.3","15.8","37179391","10.4","30.6"
"Nikko Remigio","KC","@DEN","WR","3000","10.0","1.1","8.0","10.8","37180203","2.2","18.1"
"Brock Bowers","LV","LAC","TE","6600","17.1","1.1","5.9","2.2","37180293","7.3","29.6"
"Cardinals ","ARI","SF","DST","2700","7.5","1.1","4.0","3.0","37180592","1.6","14.7"
"Michael Pittman Jr.","IND","JAX","WR","5200","14.2","0.9","18.4","20.6","37179841","4.8","26.6"
"Eagles ","PHI","NYG","DST","3300","8.4","0.9","3.6","2.3","37180580","2.2","16.0"
"Davante Adams","NYJ","MIA","WR","7000","17.7","0.8","17.3","18.9","37179791","6.8","31.6"
"Jets ","NYJ","MIA","DST","2600","6.9","0.8","2.9","1.7","37180594","1.2","14.0"
"Falcons ","ATL","CAR","DST","3200","8.1","0.7","4.1","1.5","37180583","2.0","15.5"
"Giants ","NYG","@PHI","DST","2400","6.5","0.7","0.9","0.5","37180598","0.8","13.5"
"Joe Flacco","IND","JAX","QB","5400","17.4","0.6","5.8","5.8","37179406","8.6","27.4"
"Zach Charbonnet","SEA","@LA","RB","6700","16.9","0.6","11.1","7.3","37179497","6.3","29.3"
"Courtland Sutton","DEN","KC","WR","6400","16.2","0.5","19.6","21.4","37179801","5.2","29.5"
"Jonathan Taylor","IND","JAX","RB","8200","19.7","0.5","15.9","12.2","37179479","7.8","34.6"
"Jake Ferguson","DAL","WAS","TE","3900","11.1","0.4","22.5","27.5","37180315","4.1","20.7"
"Justin Herbert","LAC","@LV","QB","5900","18.7","0.4","7.1","4.9","37179394","9.9","28.8"
"Texans ","HOU","@TEN","DST","2800","7.0","0.4","2.3","1.7","37180590","1.2","14.1"
"Blake Corum","LA","SEA","RB","5600","14.4","0.3","12.5","10.0","37179523","5.4","26.3"
"Malik Nabers","NYG","@PHI","WR","7100","17.3","0.3","12.1","9.7","37179789","6.6","30.6"
"Patriots ","NE","BUF","DST","2600","6.4","0.3","1.1","0.7","37180595","0.9","13.4"
"Michael Penix Jr.","ATL","CAR","QB","5400","17.0","0.2","3.3","2.1","37179405","8.5","26.8"
"Zach Davidson","BUF","@NE","TE","2500","8.2","0.2","0.0","0.0","37180443","0.0","0.0"
"DJ Moore","CHI","@GB","WR","5900","14.8","0.1","13.8","13.1","37179815","5.4","27.6"
