"Player","Team","Opponent","DK Position","DK Salary","DK Projection","DK Value","DK Large Ownership","DK Small Ownership","DKSlateID","DK Floor","DK Ceiling"
"Alvin Kamara","NO","@CAR","RB","7800","22.9","4.4","27.1","34.9","36450073","9.5","39.7"
"Chase Brown","CIN","LV","RB","5900","17.8","3.1","31.2","45.3","36450113","7.0","31.8"
"CeeDee Lamb","DAL","@ATL","WR","8800","22.7","2.3","15.1","23.2","36450319","9.0","39.7"
"Kyren Williams","LA","@SEA","RB","8000","21.1","2.2","13.5","15.1","36450071","8.6","36.4"
"Chris Olave","NO","@CAR","WR","6100","17.0","1.9","25.0","30.8","36450359","5.9","31.7"
"Drake London","ATL","DAL","WR","6700","18.1","1.8","26.2","30.7","36450343","6.4","32.8"
"James Conner","ARI","CHI","RB","6600","17.5","1.4","14.9","17.1","36450091","6.6","31.8"
"Titans ","TEN","NE","DST","3200","8.7","1.3","12.6","15.3","36451039","2.5","16.2"
"Bijan Robinson","ATL","DAL","RB","7400","18.9","1.2","20.1","21.6","36450077","6.8","34.5"
"De'Von Achane","MIA","@BUF","RB","6700","17.4","1.2","19.3","20.6","36450089","6.7","31.5"
"Tyreek Hill","MIA","@BUF","WR","7300","18.5","1.1","13.0","14.9","36450331","6.8","34.0"
"Ja'Marr Chase","CIN","LV","WR","8600","21.0","1.0","11.3","13.6","36450321","8.3","36.8"
"Mike Gesicki","CIN","LV","TE","3100","10.1","1.0","23.5","28.1","36450821","2.8","19.6"
"Geno Smith","SEA","LA","QB","5800","18.9","1.0","9.1","11.7","36450002","9.9","29.2"
"Cardinals ","ARI","CHI","DST","2600","7.1","0.9","17.1","20.8","36451049","1.1","14.4"
"Jameis Winston","CLE","LAC","QB","5400","17.4","0.7","7.1","9.3","36450008","8.9","27.3"
"Gardner Minshew II","LV","@CIN","QB","4500","14.8","0.7","5.0","6.0","36450028","7.2","23.4"
"Justin Herbert","LAC","@CLE","QB","5300","17.2","0.7","2.9","2.9","36450011","8.8","26.5"
"Malik Nabers","NYG","WAS","WR","7500","18.6","0.7","11.9","10.6","36450329","7.1","33.3"
"Kenneth Walker III","SEA","LA","RB","7300","18.1","0.7","12.2","11.2","36450079","7.3","32.6"
"Jakobi Meyers","LV","@CIN","WR","5300","14.1","0.6","16.7","18.1","36450387","4.7","26.3"
"Saquon Barkley","PHI","JAX","RB","8200","19.8","0.6","9.9","8.9","36450069","7.7","35.0"
"David Njoku","CLE","LAC","TE","5500","14.4","0.5","8.9","7.7","36450779","5.5","25.8"
"Giants ","NYG","WAS","DST","2300","6.1","0.5","13.8","16.5","36451055","0.3","13.0"
"D'Andre Swift","CHI","@ARI","RB","6400","16.1","0.4","11.2","11.1","36450097","5.9","29.4"
"Daniel Jones","NYG","WAS","QB","5200","16.6","0.4","6.0","5.8","36450014","8.6","27.8"
"Eagles ","PHI","JAX","DST","3100","7.5","0.4","7.5","9.8","36451040","1.6","14.8"
"Trey McBride","ARI","CHI","TE","5800","14.7","0.2","13.2","13.5","36450777","5.6","26.2"
"Dak Prescott","DAL","@ATL","QB","6300","19.7","0.2","9.1","10.5","36449998","10.3","29.9"
"Chargers ","LAC","@CLE","DST","3300","7.7","0.2","6.8","6.8","36451038","1.6","15.3"
"Ravens ","BAL","DEN","DST","3500","8.0","0.1","5.3","4.6","36451036","1.9","15.6"
"Commanders ","WAS","@NYG","DST","3400","7.7","0.0","3.2","3.0","36451037","1.7","15.0"
"Cedric Tillman","CLE","LAC","WR","4300","11.5","-0.1","28.9","34.8","36450427","3.3","23.0"
"Mason Rudolph","TEN","NE","QB","4600","14.3","-0.1","2.1","1.8","36450024","6.8","22.5"
"Rams ","LA","@SEA","DST","2800","6.4","-0.1","3.1","2.3","36451045","0.6","13.6"
"Lamar Jackson","BAL","DEN","QB","8000","24.4","-0.2","6.6","7.0","36449989","12.8","37.8"
"Bryce Young","CAR","NO","QB","4400","13.6","-0.2","0.9","0.6","36450031","6.4","21.8"
"Chuba Hubbard","CAR","NO","RB","6500","15.7","-0.2","9.8","11.2","36450093","6.1","28.5"
"Saints ","NO","@CAR","DST","3800","8.4","-0.2","2.6","1.0","36451033","2.2","15.9"
"Josh Allen","BUF","MIA","QB","7700","23.4","-0.3","8.5","8.3","36449991","12.9","35.3"
"Alexander Mattison","LV","@CIN","RB","5700","14.0","-0.3","6.2","2.7","36450123","5.1","25.7"
"Jaxon Smith-Njigba","SEA","LA","WR","6200","15.0","-0.3","8.4","5.9","36450357","5.5","27.5"
"Bills ","BUF","MIA","DST","3000","6.6","-0.3","4.4","3.4","36451042","0.8","13.8"
"Tyler Lockett","SEA","LA","WR","5600","13.7","-0.4","9.4","10.8","36450375","4.4","26.4"
"Tyrone Tracy Jr.","NYG","WAS","RB","5500","13.4","-0.5","11.6","10.9","36450121","4.4","25.5"
"Tony Pollard","TEN","NE","RB","6800","15.9","-0.5","7.7","6.4","36450087","5.8","29.0"
"Raiders ","LV","@CIN","DST","2400","5.2","-0.5","3.1","2.1","36451053","-0.3","11.9"
"Darnell Mooney","ATL","DAL","WR","6000","14.3","-0.6","7.9","6.6","36450361","4.5","27.4"
"Derrick Henry","BAL","DEN","RB","8300","18.8","-0.6","5.2","5.3","36450067","5.8","34.5"
"Bo Nix","DEN","@BAL","QB","5900","17.7","-0.6","1.4","1.6","36450001","9.3","27.7"
"Amon-Ra St. Brown","DET","@GB","WR","7900","18.0","-0.6","4.0","1.7","36450325","6.8","32.4"
"Brock Bowers","LV","@CIN","TE","6000","14.3","-0.6","13.4","13.3","36450775","5.3","25.5"
"Matthew Stafford","LA","@SEA","QB","5700","17.0","-0.6","2.9","1.8","36450003","8.5","26.7"
"Taysom Hill","NO","@CAR","TE","3800","9.9","-0.6","7.9","8.8","36450805","1.5","22.5"
"Bears ","CHI","@ARI","DST","2800","6.0","-0.6","1.9","2.0","36451046","0.3","12.9"
"Bengals ","CIN","LV","DST","3700","7.8","-0.6","0.6","0.4","36451034","1.8","15.0"
"Patriots ","NE","@TEN","DST","3000","6.4","-0.6","1.7","1.2","36451041","0.7","13.3"
"Kyler Murray","ARI","CHI","QB","6600","19.7","-0.7","5.3","3.5","36449995","10.2","31.0"
"Browns ","CLE","LAC","DST","2900","6.1","-0.7","1.9","1.4","36451043","0.4","13.0"
"Kirk Cousins","ATL","DAL","QB","6400","19.0","-0.8","5.5","5.5","36449997","9.6","29.3"
"James Cook","BUF","MIA","RB","7200","16.4","-0.8","4.4","3.0","36450081","5.4","31.1"
"Jahmyr Gibbs","DET","@GB","RB","7600","17.2","-0.8","4.9","3.0","36450075","5.9","32.5"
"Calvin Ridley","TEN","NE","WR","5700","13.5","-0.8","8.2","6.8","36450373","4.0","26.3"
"J.K. Dobbins","LAC","@CLE","RB","7000","16.0","-0.9","6.7","4.1","36450083","5.9","29.2"
"Ladd McConkey","LAC","@CLE","WR","5600","13.2","-0.9","11.7","10.4","36450377","4.1","24.9"
"Cooper Kupp","LA","@SEA","WR","7700","17.4","-0.9","2.6","1.4","36450327","6.7","31.3"
"Jalen Hurts","PHI","JAX","QB","7800","23.1","-0.9","4.8","3.9","36449990","12.3","36.0"
"Jayden Daniels","WAS","@NYG","QB","7500","22.2","-0.9","5.1","5.2","36449992","11.7","34.3"
"Seahawks ","SEA","LA","DST","2600","5.2","-0.9","3.7","1.8","36451050","-0.3","11.9"
"Joe Burrow","CIN","LV","QB","6900","20.3","-1.0","8.2","7.7","36449994","10.9","30.8"
"Evan Engram","JAX","@PHI","TE","5300","12.5","-1.0","5.7","3.9","36450781","5.0","22.4"
"AJ Barner","SEA","LA","TE","2600","7.2","-1.0","15.0","17.5","36450855","1.4","15.0"
"A.J. Brown","PHI","JAX","WR","8100","17.9","-1.1","7.7","6.1","36450323","6.3","32.6"
"Falcons ","ATL","DAL","DST","2900","5.6","-1.1","3.4","3.4","36451044","0.0","12.5"
"Panthers ","CAR","NO","DST","2400","4.7","-1.1","2.5","1.7","36451054","-0.7","11.3"
"Jaguars ","JAX","@PHI","DST","2300","4.4","-1.1","2.1","1.8","36451056","-1.0","11.0"
"Kyle Pitts","ATL","DAL","TE","4900","11.5","-1.2","7.3","8.2","36450787","3.2","22.3"
"Jake Ferguson","DAL","@ATL","TE","5100","11.8","-1.3","9.4","8.7","36450783","3.9","21.8"
"Will Dissly","LAC","@CLE","TE","3100","7.8","-1.3","7.5","11.8","36450819","2.0","15.4"
"Hunter Henry","NE","@TEN","TE","3900","9.5","-1.3","5.4","4.0","36450803","2.5","18.4"
"Derek Carr","NO","@CAR","QB","5600","16.0","-1.3","4.2","3.9","36450005","7.9","25.2"
"Caleb Williams","CHI","@ARI","QB","6100","17.5","-1.4","2.6","1.6","36450000","8.9","27.4"
"Rhamondre Stevenson","NE","@TEN","RB","6300","14.1","-1.4","4.2","2.0","36450099","5.4","25.9"
"Dalton Kincaid","BUF","MIA","TE","5000","11.4","-1.5","1.9","1.0","36450785","3.6","21.6"
"Puka Nacua","LA","@SEA","WR","7200","15.8","-1.5","3.6","0.8","36450333","5.4","30.4"
"Cowboys ","DAL","@ATL","DST","2500","4.5","-1.5","1.7","0.7","36451051","-1.0","11.0"
"Packers ","GB","DET","DST","2700","4.8","-1.5","0.7","0.1","36451048","-0.6","11.5"
"Dolphins ","MIA","@BUF","DST","2500","4.5","-1.5","0.1","0.1","36451052","-1.0","11.1"
"Elijah Moore","CLE","LAC","WR","4200","9.6","-1.7","7.2","5.7","36450429","2.5","19.3"
"Courtland Sutton","DEN","@BAL","WR","5400","12.0","-1.7","4.0","3.0","36450383","3.5","23.5"
"David Montgomery","DET","@GB","RB","6500","14.2","-1.7","0.9","0.8","36450095","4.0","28.2"
