"Player","Position","Team","Opp","DK Salary","DK Small","DK Medium","DK Large","FD Salary","FD Large"
"CeeDee Lamb","WR","DAL","@ATL","8800","23.2%","18.3%","15.1%","9100","16.8%"
"Ja'Marr Chase","WR","CIN","LV","8600","13.6%","12.2%","11.3%","9500","8.9%"
"Derrick Henry","RB","BAL","DEN","8300","5.3%","5.2%","5.2%","9000","6.6%"
"Saquon Barkley","RB","PHI","JAX","8200","8.9%","9.5%","9.9%","9400","6.3%"
"A.J. Brown","WR","PHI","JAX","8100","6.1%","7.0%","7.7%","9000","4.3%"
"Lamar Jackson","QB","BAL","DEN","8000","7.0%","6.8%","6.6%","8900","11.6%"
"Kyren Williams","RB","LA","@SEA","8000","15.1%","14.1%","13.5%","8900","13.3%"
"Amon-Ra St. Brown","WR","DET","@GB","7900","1.7%","3.1%","4.0%","8600","2.5%"
"Jalen Hurts","QB","PHI","JAX","7800","3.9%","4.5%","4.8%","9300","5.0%"
"Alvin Kamara","RB","NO","@CAR","7800","34.9%","30.2%","27.1%","8800","19.9%"
"Josh Allen","QB","BUF","MIA","7700","8.3%","8.4%","8.5%","9000","9.4%"
"Cooper Kupp","WR","LA","@SEA","7700","1.4%","2.1%","2.6%","8200","2.1%"
"Jahmyr Gibbs","RB","DET","@GB","7600","3.0%","4.1%","4.9%","8600","2.3%"
"Jayden Daniels","QB","WAS","@NYG","7500","5.2%","5.1%","5.1%","8700","8.0%"
"Malik Nabers","WR","NYG","WAS","7500","10.6%","11.4%","11.9%","8400","5.1%"
"Bijan Robinson","RB","ATL","DAL","7400","21.6%","20.7%","20.1%","8500","12.6%"
"Kenneth Walker III","RB","SEA","LA","7300","11.2%","11.8%","12.2%","8000","14.5%"
"Tyreek Hill","WR","MIA","@BUF","7300","14.9%","13.8%","13.0%","8500","6.8%"
"James Cook","RB","BUF","MIA","7200","3.0%","3.8%","4.4%","7900","7.3%"
"Puka Nacua","WR","LA","@SEA","7200","0.8%","2.5%","3.6%","8100","1.0%"
"Terry McLaurin","WR","WAS","@NYG","7100","0.3%","0.4%","0.5%","7400","2.4%"
"Jordan Love","QB","GB","DET","7000","0.3%","0.4%","0.5%","8400","0.5%"
"J.K. Dobbins","RB","LAC","@CLE","7000","4.1%","5.7%","6.7%","7100","17.3%"
"Zay Flowers","WR","BAL","DEN","7000","0.3%","0.4%","0.5%","7200","2.4%"
"Joe Burrow","QB","CIN","LV","6900","7.7%","8.0%","8.2%","7900","11.6%"
"Josh Jacobs","RB","GB","DET","6900","1.0%","2.1%","2.9%","7400","4.4%"
"Marvin Harrison Jr.","WR","ARI","CHI","6900","0.3%","0.4%","0.5%","7000","2.2%"
"Tony Pollard","RB","TEN","NE","6800","6.4%","7.2%","7.7%","7300","12.3%"
"DeVonta Smith","WR","PHI","JAX","6800","0.3%","0.6%","0.8%","7800","0.5%"
"De'Von Achane","RB","MIA","@BUF","6700","20.6%","19.8%","19.3%","7800","4.0%"
"Drake London","WR","ATL","DAL","6700","30.7%","28.0%","26.2%","7900","14.8%"
"Kyler Murray","QB","ARI","CHI","6600","3.5%","4.6%","5.3%","7700","6.2%"
"James Conner","RB","ARI","CHI","6600","17.1%","15.8%","14.9%","7700","13.5%"
"Brian Thomas Jr.","WR","JAX","@PHI","6600","0.3%","0.4%","0.5%","7000","0.5%"
"Jared Goff","QB","DET","@GB","6500","0.3%","0.4%","0.5%","8000","0.5%"
"Chuba Hubbard","RB","CAR","NO","6500","11.2%","10.4%","9.8%","6900","19.6%"
"David Montgomery","RB","DET","@GB","6500","0.8%","0.9%","0.9%","8100","0.5%"
"DJ Moore","WR","CHI","@ARI","6500","2.8%","3.8%","4.5%","6600","12.8%"
"Kirk Cousins","QB","ATL","DAL","6400","5.5%","5.5%","5.5%","7500","5.8%"
"D'Andre Swift","RB","CHI","@ARI","6400","11.1%","11.2%","11.2%","7200","11.9%"
"Jayden Reed","WR","GB","DET","6400","1.1%","1.7%","2.1%","7300","2.0%"
"Dak Prescott","QB","DAL","@ATL","6300","10.5%","9.7%","9.1%","8100","3.8%"
"Rhamondre Stevenson","RB","NE","@TEN","6300","2.0%","3.3%","4.2%","6800","9.1%"
"Brian Robinson Jr.","RB","WAS","@NYG","6300","0.4%","0.9%","1.2%","7600","0.8%"
"Diontae Johnson","WR","BAL","DEN","6300","0.0%","0.0%","0.0%","6700","0.0%"
"Tua Tagovailoa","QB","MIA","@BUF","6200","0.3%","0.4%","0.5%","7300","1.1%"
"Javonte Williams","RB","DEN","@BAL","6200","0.3%","0.4%","0.5%","6000","2.8%"
"Tank Bigsby","RB","JAX","@PHI","6200","0.1%","0.3%","0.5%","6700","0.5%"
"Jaxon Smith-Njigba","WR","SEA","LA","6200","5.9%","7.4%","8.4%","6500","13.6%"
"Caleb Williams","QB","CHI","@ARI","6100","1.6%","2.2%","2.6%","7200","4.6%"
"Devin Singletary","RB","NYG","WAS","6100","0.1%","0.2%","0.3%","6100","0.3%"
"Chris Olave","WR","NO","@CAR","6100","30.8%","27.3%","25.0%","7100","18.7%"
"Rico Dowdle","RB","DAL","@ATL","6000","0.3%","0.5%","0.7%","6000","5.8%"
"Raheem Mostert","RB","MIA","@BUF","6000","0.1%","0.3%","0.5%","6400","0.5%"
"Brock Bowers","TE","LV","@CIN","6000","13.3%","13.4%","13.4%","7700","5.6%"
"Darnell Mooney","WR","ATL","DAL","6000","6.6%","7.4%","7.9%","6700","8.7%"
"Bo Nix","QB","DEN","@BAL","5900","1.6%","1.5%","1.4%","7200","2.0%"
"Chase Brown","RB","CIN","LV","5900","45.3%","36.8%","31.2%","6300","38.3%"
"Travis Etienne Jr.","RB","JAX","@PHI","5900","0.1%","0.3%","0.5%","7000","0.5%"
"Khalil Shakir","WR","BUF","MIA","5900","1.9%","2.6%","3.2%","6100","10.8%"
"Geno Smith","QB","SEA","LA","5800","11.7%","10.1%","9.1%","7400","5.9%"
"Nick Chubb","RB","CLE","LAC","5800","1.1%","2.1%","2.7%","6500","2.9%"
"Trey McBride","TE","ARI","CHI","5800","13.5%","13.3%","13.2%","6800","15.8%"
"Wan'Dale Robinson","WR","NYG","WAS","5800","0.3%","0.5%","0.6%","5800","5.4%"
"Amari Cooper","WR","BUF","MIA","5800","0.3%","0.4%","0.5%","6800","0.5%"
"Matthew Stafford","QB","LA","@SEA","5700","1.8%","2.5%","2.9%","7600","1.2%"
"Alexander Mattison","RB","LV","@CIN","5700","2.7%","4.8%","6.2%","5900","16.6%"
"Calvin Ridley","WR","TEN","NE","5700","6.8%","7.7%","8.2%","6200","14.8%"
"Romeo Doubs","WR","GB","DET","5700","0.3%","0.4%","0.5%","6300","1.5%"
"Derek Carr","QB","NO","@CAR","5600","3.9%","4.1%","4.2%","7000","1.3%"
"Trevor Lawrence","QB","JAX","@PHI","5600","0.3%","0.4%","0.5%","7400","0.5%"
"Ladd McConkey","WR","LAC","@CLE","5600","10.4%","11.2%","11.7%","6400","8.6%"
"Tyler Lockett","WR","SEA","LA","5600","10.8%","10.0%","9.4%","6200","14.0%"
"Drake Maye","QB","NE","@TEN","5500","0.3%","0.4%","0.5%","6900","0.5%"
"Tyrone Tracy Jr.","RB","NYG","WAS","5500","10.9%","11.3%","11.6%","6200","14.3%"
"David Njoku","TE","CLE","LAC","5500","7.7%","8.4%","8.9%","7000","4.1%"
"Jaylen Waddle","WR","MIA","@BUF","5500","5.0%","6.0%","6.8%","6200","7.1%"
"Keenan Allen","WR","CHI","@ARI","5500","5.4%","5.1%","5.0%","6000","6.7%"
"Jameis Winston","QB","CLE","LAC","5400","9.3%","8.0%","7.1%","7000","2.0%"
"Zach Charbonnet","RB","SEA","LA","5400","0.1%","0.3%","0.5%","5400","0.5%"
"Courtland Sutton","WR","DEN","@BAL","5400","3.0%","3.6%","4.0%","6000","8.4%"
"Keon Coleman","WR","BUF","MIA","5400","0.3%","0.4%","0.5%","6000","0.9%"
"Justin Herbert","QB","LAC","@CLE","5300","2.9%","2.9%","2.9%","7100","0.7%"
"Austin Ekeler","RB","WAS","@NYG","5300","0.3%","0.4%","0.5%","5500","0.5%"
