"Player","Team","Opponent","DK Position","DK Salary","DK Projection","DK Value","DK Large Ownership","DK Small Ownership","DKSlateID","DK Floor","DK Ceiling"
"Alvin Kamara","NO","@NYG","RB","8000","25.0","6.2","36.0","47.4","36869670","11.7","40.9"
"Zach Charbonnet","SEA","@ARI","RB","4800","17.7","5.2","8.2","11.4","36869728","7.7","30.8"
"Saquon Barkley","PHI","CAR","RB","9000","25.1","4.3","15.1","16.4","36869666","10.4","42.4"
"Brock Bowers","LV","@TB","TE","6500","18.5","2.7","22.3","27.6","36870264","7.8","31.6"
"Mike Evans","TB","LV","WR","7200","19.3","2.0","8.8","8.0","36869882","6.8","34.5"
"Will Levis","TEN","JAX","QB","5000","17.5","2.0","15.0","17.8","36869615","8.8","27.6"
"Isaac Guerendo","SF","CHI","RB","5400","15.4","1.7","23.5","29.1","36869708","5.2","29.2"
"Puka Nacua","LA","BUF","WR","7700","19.6","1.4","14.3","13.5","36869880","7.7","34.9"
"Jauan Jennings","SF","CHI","WR","5200","14.7","1.4","30.1","39.0","36869932","4.9","27.8"
"Saints ","NO","@NYG","DST","2900","8.1","1.4","21.0","27.4","36870486","2.1","15.5"
"Trey McBride","ARI","SEA","TE","6100","16.4","1.3","16.6","20.7","36870266","6.7","28.6"
"Drake London","ATL","@MIN","WR","6400","17.0","1.3","25.7","35.0","36869896","6.2","31.0"
"Jaguars ","JAX","@TEN","DST","2600","7.5","1.3","13.9","16.2","36870490","1.5","14.8"
"Sam Darnold","MIN","ATL","QB","6100","20.1","1.2","14.1","17.9","36869603","10.7","30.7"
"Justin Jefferson","MIN","ATL","WR","7800","19.6","1.2","13.3","10.4","36869878","7.3","35.0"
"Braelon Allen","NYJ","@MIA","RB","5000","14.2","1.2","14.8","17.1","36869720","5.4","26.1"
"Davante Adams","NYJ","@MIA","WR","6700","17.5","1.2","6.6","6.0","36869892","6.7","31.4"
"49ers ","SF","CHI","DST","3100","8.4","1.2","9.9","8.3","36870484","2.1","16.0"
"Kyler Murray","ARI","SEA","QB","6000","19.6","1.1","14.0","17.0","36869604","10.2","30.8"
"James Conner","ARI","SEA","RB","6700","17.4","1.1","10.3","8.4","36869686","6.7","31.3"
"Steelers ","PIT","CLE","DST","3500","9.0","1.1","14.8","13.0","36870480","2.5","17.0"
"Tony Pollard","TEN","JAX","RB","6400","16.7","1.0","16.3","15.5","36869692","6.5","30.1"
"Titans ","TEN","JAX","DST","2800","7.5","1.0","11.5","13.4","36870487","1.7","14.7"
"Bijan Robinson","ATL","@MIN","RB","7500","18.7","0.9","12.0","11.8","36869674","7.8","32.5"
"Bucky Irving","TB","LV","RB","6600","17.0","0.9","14.2","10.9","36869688","6.0","31.4"
"Eagles ","PHI","CAR","DST","3700","9.3","0.9","3.1","1.9","36870478","2.9","17.0"
"Najee Harris","PIT","CLE","RB","6000","15.7","0.8","20.9","20.8","36869696","5.3","29.6"
"Jerry Jeudy","CLE","@PIT","WR","5700","14.9","0.6","18.6","21.4","36869914","5.0","28.1"
"Aidan O'Connell","LV","@TB","QB","4800","15.5","0.6","5.1","5.6","36869618","7.6","24.6"
"Caleb Williams","CHI","@SF","QB","5600","17.7","0.4","6.6","7.7","36869608","9.2","28.0"
"David Njoku","CLE","@PIT","TE","5100","13.5","0.4","17.0","15.4","36870272","5.1","23.9"
"Baker Mayfield","TB","LV","QB","6400","20.1","0.3","5.5","5.9","36869600","10.8","30.7"
"Calvin Ridley","TEN","JAX","WR","5700","14.6","0.3","14.0","16.3","36869916","4.4","28.1"
"Jakobi Meyers","LV","@TB","WR","5600","14.3","0.2","21.7","26.6","36869918","5.0","26.7"
"Cardinals ","ARI","SEA","DST","3000","7.1","0.2","3.1","1.8","36870485","1.3","14.3"
"Jaxon Smith-Njigba","SEA","@ARI","WR","6300","15.6","0.1","8.9","9.1","36869898","5.7","28.7"
"Geno Smith","SEA","@ARI","QB","5800","17.9","0.0","6.4","5.7","36869606","9.3","27.9"
"Cade Otton","TB","LV","TE","4400","11.8","0.0","16.9","20.0","36870282","3.8","21.9"
"Bears ","CHI","@SF","DST","2400","5.8","0.0","4.2","3.5","36870495","0.2","12.7"
