"Player","Position","Team","Opponent","Completions","Attempts","Pass Yards","Pass TDs","Pass INTs","Carries","Rush Yards","Rush TDs","Receptions","Receiving Yards","Receiving TDs"
"Kyler Murray","QB","ARI","WAS","20.6","31.2","235.5","1.64","0.63","6.6","35.6","0.37",,"0.0",
"James Conner","RB","ARI","WAS",,"0.0",,,,"16.9","77.1","0.65","2.3","16.4","0.09"
"Emari Demercado","RB","ARI","WAS",,"0.0",,,,"2.0","9.3","0.06","1.1","7.8","0.04"
"Trey Benson","RB","ARI","WAS",,"0.0",,,,"4.6","19.8","0.13","0.2","1.7","0.01"
"Chris Moore","WR","ARI","WAS",,"0.0",,,,"0.0","0.0","0.00","0.1","1.3","0.01"
"Marvin Harrison Jr.","WR","ARI","WAS",,"0.0",,,,"0.0","0.0","0.00","5.3","75.9","0.56"
"Greg Dortch","WR","ARI","WAS",,"0.0",,,,"0.4","2.4","0.02","4.1","44.1","0.27"
"Zach Pascal","WR","ARI","WAS",,"0.0",,,,"0.0","0.0","0.00","0.1","0.6","0.00"
"Michael Wilson","WR","ARI","WAS",,"0.0",,,,"0.0","0.0","0.00","3.5","45.5","0.29"
"Tip Reiman","TE","ARI","WAS",,"0.0",,,,"0.0","0.0","0.00","0.8","8.5","0.08"
"Elijah Higgins","TE","ARI","WAS",,"0.0",,,,"0.0","0.0","0.00","3.1","32.6","0.28"
"Travis Vokolek","TE","ARI","WAS",,"0.0",,,,"0.0","0.0","0.00","0.1","1.1","0.01"
"Kirk Cousins","QB","ATL","NO","20.4","31.6","226.7","1.42","0.65","1.4","2.6","0.03",,"0.0",
"Bijan Robinson","RB","ATL","NO",,"0.0",,,,"17.5","75.0","0.59","4.0","28.9","0.19"
"Avery Williams","RB","ATL","NO",,"0.0",,,,"0.3","1.1","0.01",,"0.0",
"Tyler Allgeier","RB","ATL","NO",,"0.0",,,,"7.5","32.1","0.21","0.5","3.5","0.02"
"Drake London","WR","ATL","NO",,"0.0",,,,"0.0","0.0","0.00","5.1","64.4","0.39"
"KhaDarel Hodge","WR","ATL","NO",,"0.0",,,,"0.0","0.0","0.00","0.1","1.4","0.01"
"Ray-Ray McCloud","WR","ATL","NO",,"0.0",,,,"0.6","3.8","0.03","3.2","36.4","0.20"
"Darnell Mooney","WR","ATL","NO",,"0.0",,,,"0.0","0.0","0.00","3.9","48.4","0.28"
"Charlie Woerner","TE","ATL","NO",,"0.0",,,,"0.0","0.0","0.00","0.4","3.9","0.04"
"Ross Dwelley","TE","ATL","NO",,"0.0",,,,"0.0","0.0","0.00","0.1","0.6","0.01"
"Kyle Pitts","TE","ATL","NO",,"0.0",,,,"0.0","0.0","0.00","3.2","39.2","0.30"
"Lamar Jackson","QB","BAL","BUF","19.8","29.8","215.8","1.44","0.63","9.9","59.4","0.36",,"0.0",
"Justice Hill","RB","BAL","BUF",,"0.0",,,,"3.3","14.9","0.10","2.7","19.6","0.09"
"Derrick Henry","RB","BAL","BUF",,"0.0",,,,"17.3","77.6","0.71","1.2","8.9","0.03"
"Patrick Ricard","RB","BAL","BUF",,"0.0",,,,"0.0","0.0","0.00","0.2","1.7","0.01"
